# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        u        g        r        i        z
  63     1500  6.00  -23.488  -14.512   -9.354   -6.355   -4.139
  64     1600  3.50  -20.702  -12.588   -7.862   -5.116   -2.947
  65     1600  4.00  -20.483  -12.553   -7.881   -5.151   -3.038
  66     1600  4.50  -20.577  -12.608   -7.931   -5.218   -3.161
  67     1600  5.00  -20.679  -12.690   -8.002   -5.289   -3.265
  68     1600  5.50  -20.855  -12.772   -8.056   -5.336   -3.323
  69     1600  6.00  -21.006  -12.830   -8.098   -5.373   -3.359
  70     1700  3.50  -18.968  -11.019   -6.816   -4.212   -2.014
  71     1700  4.00  -18.593  -10.641   -6.446   -3.948   -1.872
  72     1700  4.50  -17.404   -9.707   -5.812   -3.415   -1.417
  73     1700  5.00  -18.457  -10.810   -6.543   -4.026   -2.012
  74     1700  5.50  -18.710  -11.201   -6.844   -4.322   -2.355
  75     1700  6.00  -18.890  -11.363   -6.994   -4.499   -2.599
  76     1800  3.50  -17.527   -9.963   -6.251   -3.690   -1.498
  77     1800  4.00  -17.185   -9.761   -6.039   -3.567   -1.459
  78     1800  4.50  -16.210   -9.064   -5.490   -3.169   -1.187
  79     1800  5.00  -16.087   -9.043   -5.457   -3.134   -1.188
  80     1800  5.50  -16.877   -9.702   -5.825   -3.481   -1.549
  81     1800  6.00  -16.975   -9.805   -5.858   -3.525   -1.603
  82     1900  3.50  -14.996   -8.766   -5.716   -3.156   -0.988
  83     1900  4.00  -16.116   -9.002   -5.726   -3.214   -1.101
  84     1900  4.50  -17.063   -9.589   -5.980   -3.476   -1.406
  85     1900  5.00  -16.059   -8.959   -5.497   -3.129   -1.163
  86     1900  5.50  -16.039   -9.193   -5.593   -3.294   -1.357
  87     1900  6.00  -15.982   -9.228   -5.553   -3.348   -1.455
  88     2000  3.50  -13.075   -8.029   -5.522   -2.869   -0.721
  89     2000  4.00  -14.452   -8.149   -5.382   -2.820   -0.748
  90     2000  4.50  -15.259   -8.234   -5.279   -2.785   -0.777
  91     2000  5.00  -15.694   -8.457   -5.306   -2.865   -0.903
  92     2000  5.50  -15.647   -8.874   -5.474   -3.131   -1.197
  93     2000  6.00  -15.163   -8.696   -5.270   -3.110   -1.236
  94     2100  4.00  -12.780   -7.449   -5.123   -2.524   -0.511
  95     2100  5.00  -14.558   -7.568   -4.868   -2.391   -0.507
  96     2100  5.50  -15.276   -8.144   -5.126   -2.697   -0.801
  97     2100  6.00  -15.070   -8.455   -5.206   -2.957   -1.049
  98     2200  3.50  -10.055   -6.616   -4.893   -2.265   -0.298
  99     2200  4.00  -11.206   -6.771   -4.809   -2.228   -0.310
 100     2200  4.50  -12.532   -6.942   -4.776   -2.191   -0.310
 101     2200  5.00  -13.703   -7.082   -4.689   -2.145   -0.328
 102     2200  5.50  -14.523   -7.397   -4.760   -2.266   -0.464
 103     2200  6.00  -14.607   -7.527   -4.723   -2.386   -0.551
 104     2300  3.50   -9.020   -6.025   -4.487   -1.962   -0.144
 105     2300  4.00  -10.014   -6.177   -4.436   -1.931   -0.151
 106     2300  4.50  -11.285   -6.396   -4.476   -1.922   -0.157
 107     2300  5.00  -12.681   -6.607   -4.457   -1.900   -0.182
 108     2300  5.50  -13.717   -6.809   -4.473   -1.937   -0.240
 109     2300  6.00  -13.977   -6.904   -4.397   -1.986   -0.280
 110     2400  3.50   -8.222   -5.499   -4.033   -1.665   -0.016
 111     2400  4.00   -9.039   -5.633   -4.014   -1.641   -0.020
 112     2400  4.50  -10.140   -5.851   -4.104   -1.648   -0.021
 113     2400  5.50  -12.632   -6.256   -4.159   -1.627   -0.054
 114     2400  6.00  -13.403   -6.453   -4.160   -1.704   -0.122
 115     2500  3.50   -7.683   -5.068   -3.591   -1.402    0.075
 116     2500  4.00   -8.307   -5.157   -3.577   -1.372    0.082
 117     2500  4.50   -9.237   -5.369   -3.713   -1.396    0.084
 118     2500  5.00  -10.386   -5.565   -3.763   -1.371    0.089
 119     2500  5.50  -11.665   -5.796   -3.839   -1.374    0.064
 120     2500  6.00  -12.595   -5.991   -3.875   -1.421    0.020
 121     2600  3.50   -7.258   -4.696   -3.199   -1.180    0.144
 122     2600  4.00   -7.747   -4.747   -3.174   -1.143    0.157
 123     2600  4.50   -8.517   -4.935   -3.322   -1.167    0.167
 124     2600  5.00   -9.444   -5.096   -3.366   -1.142    0.179
 125     2600  5.50  -10.636   -5.322   -3.463   -1.140    0.168
 126     2600  6.00  -11.692   -5.560   -3.560   -1.179    0.125
 127     2700  3.50   -6.917   -4.388   -2.886   -1.011    0.190
 128     2700  4.00   -7.279   -4.386   -2.821   -0.954    0.215
 129     2700  4.50   -7.903   -4.537   -2.953   -0.968    0.234
 130     2700  5.00   -8.668   -4.672   -2.985   -0.945    0.246
 131     2700  5.50   -9.699   -4.877   -3.080   -0.938    0.245
 132     2700  6.00  -10.776   -5.117   -3.201   -0.959    0.217
 133     2800  5.00   -9.038   -4.428   -2.615   -0.654    0.312
 134     2800  5.50  -10.017   -4.682   -2.731   -0.637    0.317
 135     2900  5.00   -8.260   -4.005   -2.234   -0.530    0.346
 136     2900  5.50   -9.174   -4.244   -2.356   -0.522    0.348
 137     3000  5.00   -7.601   -3.650   -1.916   -0.431    0.363
 138     3000  5.50   -8.380   -3.837   -2.007   -0.416    0.375
 139     3100  5.00   -7.024   -3.321   -1.633   -0.335    0.381
 140     3100  5.50   -7.672   -3.483   -1.707   -0.326    0.388
 141     3200  5.00   -6.558   -3.052   -1.404   -0.259    0.388
 142     3200  5.50   -7.056   -3.170   -1.444   -0.242    0.400
 143     3300  5.00   -6.152   -2.806   -1.202   -0.186    0.400
 144     3300  5.50   -6.536   -2.897   -1.224   -0.170    0.407
 145     3400  5.00   -5.817   -2.595   -1.032   -0.122    0.407
 146     3400  5.50   -6.094   -2.663   -1.040   -0.108    0.413
 147     3500  5.00   -5.534   -2.407   -0.883   -0.065    0.413
 148     3500  5.50   -5.720   -2.456   -0.882   -0.050    0.418
 149     3600  5.00   -5.290   -2.242   -0.753   -0.015    0.414
 150     3600  5.50   -5.396   -2.277   -0.749   -0.002    0.418
 151     3700  5.00   -5.080   -2.102   -0.646    0.021    0.406
 152     3700  5.50   -5.137   -2.118   -0.634    0.042    0.421
 153     3800  5.00   -4.880   -1.959   -0.542    0.062    0.405
 154     3800  5.50   -4.887   -1.975   -0.535    0.076    0.416
 155     3500  0.00   -6.955   -2.946   -1.244   -0.390    0.159
 156     3500  0.50   -6.536   -2.843   -1.247   -0.377    0.180
 157     3500  1.00   -6.130   -2.746   -1.241   -0.355    0.208
 158     3500  1.50   -5.756   -2.651   -1.223   -0.323    0.245
 159     3500  2.00   -5.423   -2.553   -1.187   -0.281    0.287
 160     3500  2.50   -5.138   -2.453   -1.135   -0.231    0.334
 161     3500  3.00   -4.916   -2.356   -1.057   -0.168    0.387
 162     3500  3.50   -4.752   -2.267   -0.945   -0.091    0.443
 163     3500  4.00   -4.664   -2.201   -0.832   -0.029    0.478
 164     3500  4.50   -4.676   -2.184   -0.755    0.009    0.492
 165     3500  5.00   -4.773   -2.211   -0.712    0.031    0.497
 166     3750  0.00   -6.292   -2.297   -0.737   -0.154    0.224
 167     3750  0.50   -5.935   -2.231   -0.734   -0.157    0.222
 168     3750  1.00   -5.612   -2.184   -0.736   -0.157    0.226
 169     3750  1.50   -5.324   -2.145   -0.738   -0.151    0.239
 170     3750  2.00   -5.066   -2.104   -0.735   -0.137    0.259
 171     3750  2.50   -4.838   -2.057   -0.724   -0.116    0.287
 172     3750  3.00   -4.657   -2.009   -0.702   -0.086    0.321
 173     3750  3.50   -4.522   -1.967   -0.662   -0.040    0.365
 174     3750  4.00   -4.402   -1.923   -0.600    0.017    0.411
 175     3750  4.50   -4.327   -1.889   -0.543    0.063    0.442
 176     3750  5.00   -4.328   -1.888   -0.506    0.091    0.459
 177     4000  0.00   -5.438   -1.806   -0.458    0.001    0.290
 178     4000  0.50   -5.114   -1.742   -0.457   -0.007    0.279
 179     4000  1.00   -4.841   -1.705   -0.460   -0.013    0.273
 180     4000  1.50   -4.621   -1.687   -0.463   -0.016    0.270
 181     4000  2.00   -4.449   -1.678   -0.466   -0.017    0.270
 182     4000  2.50   -4.320   -1.673   -0.466   -0.014    0.276
 183     4000  3.00   -4.223   -1.668   -0.460   -0.004    0.288
 184     4000  3.50   -4.158   -1.660   -0.447    0.015    0.310
 185     4000  4.00   -4.102   -1.654   -0.423    0.052    0.348
 186     4000  4.50   -4.031   -1.640   -0.390    0.096    0.389
 187     4000  5.00   -3.975   -1.628   -0.359    0.131    0.419
 188     4250  0.00   -4.652   -1.456   -0.268    0.111    0.336
 189     4250  0.50   -4.370   -1.391   -0.270    0.098    0.322
 190     4250  1.00   -4.132   -1.351   -0.275    0.088    0.312
 191     4250  1.50   -3.941   -1.328   -0.281    0.082    0.306
 192     4250  2.00   -3.793   -1.319   -0.287    0.077    0.302
 193     4250  2.50   -3.688   -1.318   -0.291    0.075    0.300
 194     4250  3.00   -3.625   -1.324   -0.293    0.075    0.300
 195     4250  3.50   -3.606   -1.336   -0.291    0.079    0.304
 196     4250  4.00   -3.618   -1.352   -0.284    0.089    0.314
 197     4250  4.50   -3.638   -1.371   -0.269    0.117    0.342
 198     4250  5.00   -3.630   -1.382   -0.248    0.152    0.377
 199     4500  0.00   -4.007   -1.193   -0.132    0.191    0.365
 200     4500  0.50   -3.773   -1.135   -0.135    0.175    0.348
 201     4500  1.00   -3.578   -1.098   -0.141    0.162    0.337
 202     4500  1.50   -3.421   -1.075   -0.148    0.153    0.329
 203     4500  2.00   -3.298   -1.063   -0.155    0.147    0.323
 204     4500  2.50   -3.207   -1.059   -0.161    0.142    0.320
 205     4500  3.00   -3.148   -1.060   -0.165    0.140    0.318
 206     4500  3.50   -3.125   -1.067   -0.166    0.140    0.318
 207     4500  4.00   -3.136   -1.081   -0.164    0.144    0.321
 208     4500  4.50   -3.174   -1.100   -0.159    0.153    0.329
 209     4500  5.00   -3.224   -1.126   -0.148    0.173    0.348
 210     4750  0.00   -3.456   -0.968   -0.037    0.243    0.376
 211     4750  0.50   -3.260   -0.923   -0.041    0.225    0.358
 212     4750  1.00   -3.096   -0.893   -0.048    0.211    0.345
 213     4750  1.50   -2.965   -0.874   -0.055    0.200    0.335
 214     4750  2.00   -2.865   -0.864   -0.062    0.192    0.328
 215     4750  2.50   -2.791   -0.859   -0.068    0.186    0.324
 216     4750  3.00   -2.741   -0.857   -0.073    0.182    0.320
 217     4750  3.50   -2.717   -0.858   -0.075    0.181    0.319
 218     4750  4.00   -2.720   -0.865   -0.074    0.183    0.320
 219     4750  4.50   -2.748   -0.876   -0.071    0.187    0.324
 220     4750  5.00   -2.803   -0.894   -0.065    0.196    0.330
 221     5000  0.00   -2.969   -0.761    0.031    0.266    0.366
 222     5000  0.50   -2.808   -0.734    0.023    0.249    0.349
 223     5000  1.00   -2.668   -0.715    0.015    0.235    0.335
 224     5000  1.50   -2.554   -0.704    0.006    0.223    0.325
 225     5000  2.00   -2.467   -0.698   -0.001    0.214    0.317
 226     5000  2.50   -2.404   -0.695   -0.007    0.207    0.311
 227     5000  3.00   -2.362   -0.695   -0.012    0.202    0.307
 228     5000  3.50   -2.342   -0.696   -0.014    0.200    0.305
 229     5000  4.00   -2.344   -0.698   -0.013    0.201    0.305
 230     5000  4.50   -2.366   -0.703   -0.010    0.205    0.308
 231     5000  5.00   -2.409   -0.712   -0.005    0.211    0.312
 232     5250  0.00   -2.554   -0.572    0.078    0.264    0.339
 233     5250  0.50   -2.427   -0.563    0.067    0.250    0.323
 234     5250  1.00   -2.312   -0.557    0.057    0.237    0.310
 235     5250  1.50   -2.213   -0.555    0.047    0.226    0.299
 236     5250  2.00   -2.136   -0.556    0.039    0.217    0.291
 237     5250  2.50   -2.077   -0.559    0.032    0.210    0.285
 238     5250  3.00   -2.037   -0.563    0.027    0.205    0.281
 239     5250  3.50   -2.016   -0.566    0.025    0.203    0.278
 240     5250  4.00   -2.015   -0.569    0.025    0.203    0.278
 241     5250  4.50   -2.033   -0.572    0.028    0.207    0.281
 242     5250  5.00   -2.067   -0.576    0.034    0.213    0.285
 243     5500  0.00   -2.227   -0.408    0.108    0.244    0.300
 244     5500  0.50   -2.128   -0.412    0.096    0.233    0.285
 245     5500  1.00   -2.031   -0.418    0.084    0.223    0.273
 246     5500  1.50   -1.946   -0.425    0.073    0.214    0.262
 247     5500  2.00   -1.874   -0.434    0.064    0.205    0.254
 248     5500  2.50   -1.817   -0.444    0.055    0.199    0.248
 249     5500  3.00   -1.775   -0.452    0.049    0.194    0.243
 250     5500  3.50   -1.748   -0.460    0.045    0.191    0.241
 251     5500  4.00   -1.739   -0.466    0.045    0.191    0.241
 252     5500  4.50   -1.748   -0.470    0.048    0.195    0.243
 253     5500  5.00   -1.772   -0.473    0.054    0.201    0.248
 254     5750  0.00   -1.977   -0.269    0.124    0.212    0.255
 255     5750  0.50   -1.905   -0.284    0.112    0.205    0.241
 256     5750  1.00   -1.826   -0.297    0.100    0.198    0.229
 257     5750  1.50   -1.750   -0.312    0.089    0.191    0.219
 258     5750  2.00   -1.681   -0.328    0.078    0.184    0.210
 259     5750  2.50   -1.623   -0.344    0.068    0.177    0.203
 260     5750  3.00   -1.577   -0.359    0.060    0.172    0.198
 261     5750  3.50   -1.542   -0.371    0.054    0.169    0.195
 262     5750  4.00   -1.523   -0.381    0.052    0.168    0.195
 263     5750  4.50   -1.518   -0.388    0.054    0.171    0.197
 264     5750  5.00   -1.530   -0.392    0.059    0.177    0.202
 265     6000  0.00   -1.777   -0.152    0.127    0.169    0.205
 266     6000  0.50   -1.736   -0.174    0.119    0.169    0.194
 267     6000  1.00   -1.676   -0.194    0.109    0.166    0.183
 268     6000  1.50   -1.612   -0.215    0.097    0.161    0.172
 269     6000  2.00   -1.549   -0.236    0.085    0.156    0.163
 270     6000  2.50   -1.490   -0.258    0.074    0.150    0.155
 271     6000  3.00   -1.439   -0.278    0.064    0.144    0.149
 272     6000  3.50   -1.396   -0.297    0.055    0.140    0.145
 273     6000  4.00   -1.364   -0.311    0.051    0.138    0.143
 274     6000  4.50   -1.346   -0.322    0.050    0.140    0.145
 275     6000  5.00   -1.343   -0.329    0.054    0.145    0.150
 276     6250  0.50   -1.597   -0.079    0.115    0.124    0.143
 277     6250  1.00   -1.561   -0.104    0.109    0.127    0.134
 278     6250  1.50   -1.511   -0.129    0.100    0.126    0.124
 279     6250  2.00   -1.457   -0.155    0.088    0.123    0.114
 280     6250  2.50   -1.401   -0.182    0.076    0.119    0.106
 281     6250  3.00   -1.347   -0.208    0.063    0.113    0.098
 282     6250  3.50   -1.298   -0.232    0.052    0.108    0.093
 283     6250  4.00   -1.255   -0.253    0.044    0.104    0.089
 284     6250  4.50   -1.223   -0.269    0.040    0.104    0.089
 285     6250  5.00   -1.205   -0.280    0.041    0.108    0.093
 286     6500  0.50   -1.476    0.004    0.101    0.071    0.088
 287     6500  1.00   -1.466   -0.025    0.101    0.081    0.082
 288     6500  1.50   -1.433   -0.054    0.096    0.086    0.074
 289     6500  2.00   -1.389   -0.084    0.086    0.086    0.064
 290     6500  2.50   -1.339   -0.115    0.074    0.084    0.055
 291     6500  3.00   -1.287   -0.146    0.060    0.079    0.047
 292     6500  3.50   -1.235   -0.175    0.047    0.073    0.040
 293     6500  4.00   -1.186   -0.202    0.035    0.068    0.034
 294     6500  4.50   -1.142   -0.224    0.027    0.066    0.032
 295     6500  5.00   -1.109   -0.240    0.024    0.067    0.034
 296     6750  0.50   -1.372    0.067    0.086    0.019    0.033
 297     6750  1.00   -1.379    0.045    0.084    0.028    0.025
 298     6750  1.50   -1.367    0.012    0.085    0.039    0.020
 299     6750  2.00   -1.336   -0.021    0.079    0.045    0.013
 300     6750  2.50   -1.295   -0.055    0.068    0.045    0.003
 301     6750  3.00   -1.248   -0.090    0.055    0.042   -0.006
 302     6750  3.50   -1.196   -0.124    0.040    0.037   -0.014
 303     6750  4.00   -1.144   -0.157    0.025    0.031   -0.021
 304     6750  4.50   -1.093   -0.185    0.013    0.026   -0.025
 305     6750  5.00   -1.048   -0.207    0.005    0.025   -0.026
 306     7000  0.50   -1.276    0.113    0.069   -0.032   -0.020
 307     7000  1.00   -1.299    0.097    0.066   -0.024   -0.029
 308     7000  1.50   -1.305    0.071    0.065   -0.014   -0.037
 309     7000  2.00   -1.291    0.036    0.065   -0.003   -0.042
 310     7000  2.50   -1.261   -0.002    0.058    0.003   -0.050
 311     7000  3.00   -1.220   -0.040    0.046    0.003   -0.059
 312     7000  3.50   -1.172   -0.078    0.030   -0.001   -0.068
 313     7000  4.00   -1.120   -0.115    0.014   -0.007   -0.076
 314     7000  4.50   -1.065   -0.149   -0.001   -0.013   -0.082
 315     7000  5.00   -1.013   -0.178   -0.014   -0.017   -0.085
 316     7250  0.50   -1.191    0.138    0.052   -0.078   -0.072
 317     7250  1.00   -1.224    0.133    0.046   -0.074   -0.082
 318     7250  1.50   -1.245    0.113    0.045   -0.065   -0.092
 319     7250  2.00   -1.248    0.085    0.043   -0.056   -0.100
 320     7250  2.50   -1.231    0.046    0.042   -0.044   -0.106
 321     7250  3.00   -1.199    0.004    0.033   -0.040   -0.113
 322     7250  3.50   -1.157   -0.037    0.019   -0.041   -0.122
 323     7250  4.00   -1.107   -0.078    0.002   -0.046   -0.131
 324     7250  4.50   -1.052   -0.117   -0.016   -0.052   -0.138
 325     7250  5.00   -0.996   -0.151   -0.031   -0.058   -0.143
 326     7500  0.50   -1.115    0.127    0.038   -0.111   -0.120
 327     7500  1.00   -1.149    0.151    0.023   -0.123   -0.136
 328     7500  1.50   -1.183    0.140    0.022   -0.115   -0.146
 329     7500  2.00   -1.201    0.117    0.020   -0.106   -0.156
 330     7500  2.50   -1.201    0.086    0.017   -0.097   -0.164
 331     7500  3.00   -1.181    0.044    0.015   -0.087   -0.170
 332     7500  3.50   -1.146   -0.000    0.004   -0.084   -0.178
 333     7500  4.00   -1.101   -0.044   -0.012   -0.086   -0.186
 334     7500  4.50   -1.048   -0.087   -0.031   -0.092   -0.194
 335     7500  5.00   -0.990   -0.127   -0.049   -0.098   -0.200
 336     7750  1.00   -1.080    0.149   -0.004   -0.169   -0.191
 337     7750  1.50   -1.121    0.151   -0.006   -0.166   -0.202
 338     7750  2.00   -1.153    0.136   -0.006   -0.157   -0.212
 339     7750  2.50   -1.167    0.111   -0.008   -0.148   -0.222
 340     7750  3.00   -1.161    0.076   -0.012   -0.139   -0.230
 341     7750  3.50   -1.136    0.031   -0.016   -0.131   -0.236
 342     7750  4.00   -1.098   -0.015   -0.030   -0.130   -0.243
 343     7750  4.50   -1.049   -0.061   -0.047   -0.133   -0.251
 344     7750  5.00   -0.993   -0.104   -0.067   -0.139   -0.257
 345     8000  1.00   -1.016    0.118   -0.036   -0.211   -0.248
 346     8000  1.50   -1.060    0.145   -0.040   -0.217   -0.259
 347     8000  2.00   -1.101    0.140   -0.039   -0.209   -0.269
 348     8000  2.50   -1.127    0.121   -0.038   -0.200   -0.279
 349     8000  3.00   -1.136    0.093   -0.041   -0.192   -0.289
 350     8000  3.50   -1.126    0.056   -0.045   -0.184   -0.297
 351     8000  4.00   -1.095    0.010   -0.052   -0.177   -0.302
 352     8000  4.50   -1.052   -0.038   -0.067   -0.177   -0.308
 353     8000  5.00   -1.000   -0.085   -0.086   -0.182   -0.315
 354     8250  1.00   -0.961    0.057   -0.078   -0.252   -0.314
 355     8250  1.50   -1.008    0.121   -0.079   -0.268   -0.319
 356     8250  2.00   -1.052    0.128   -0.077   -0.264   -0.330
 357     8250  2.50   -1.087    0.118   -0.075   -0.255   -0.340
 358     8250  3.00   -1.108    0.096   -0.075   -0.246   -0.349
 359     8250  3.50   -1.111    0.067   -0.078   -0.238   -0.358
 360     8250  4.00   -1.092    0.026   -0.082   -0.230   -0.364
 361     8250  4.50   -1.056   -0.021   -0.091   -0.224   -0.367
 362     8250  5.00   -1.008   -0.069   -0.108   -0.225   -0.373
 363     8500  1.50   -0.967    0.082   -0.122   -0.319   -0.382
 364     8500  2.00   -1.012    0.103   -0.121   -0.319   -0.392
 365     8500  2.50   -1.052    0.100   -0.118   -0.312   -0.402
 366     8500  3.00   -1.080    0.085   -0.116   -0.303   -0.411
 367     8500  3.50   -1.092    0.062   -0.116   -0.294   -0.420
 368     8500  4.00   -1.087    0.031   -0.120   -0.286   -0.427
 369     8500  4.50   -1.060   -0.011   -0.123   -0.277   -0.430
 370     8500  5.00   -1.017   -0.058   -0.134   -0.272   -0.433
 371     8750  1.50   -0.930    0.033   -0.171   -0.370   -0.448
 372     8750  2.00   -0.978    0.067   -0.168   -0.375   -0.456
 373     8750  2.50   -1.021    0.071   -0.165   -0.370   -0.466
 374     8750  3.00   -1.056    0.063   -0.162   -0.362   -0.476
 375     8750  3.50   -1.076    0.045   -0.160   -0.352   -0.485
 376     8750  4.00   -1.080    0.020   -0.161   -0.344   -0.492
 377     8750  4.50   -1.064   -0.013   -0.164   -0.335   -0.496
 378     8750  5.00   -1.026   -0.054   -0.166   -0.325   -0.495
 379     9000  1.50   -0.899   -0.021   -0.223   -0.423   -0.518
 380     9000  2.00   -0.952    0.025   -0.217   -0.430   -0.521
 381     9000  2.50   -0.997    0.036   -0.214   -0.429   -0.531
 382     9000  3.00   -1.037    0.032   -0.212   -0.422   -0.542
 383     9000  3.50   -1.064    0.019   -0.209   -0.413   -0.551
 384     9000  4.00   -1.074   -0.001   -0.207   -0.404   -0.558
 385     9000  4.50   -1.067   -0.028   -0.209   -0.395   -0.563
 386     9000  5.00   -1.039   -0.063   -0.210   -0.384   -0.563
 387     9250  2.00   -0.930   -0.022   -0.267   -0.485   -0.586
 388     9250  2.50   -0.978   -0.005   -0.265   -0.486   -0.596
 389     9250  3.00   -1.021   -0.005   -0.263   -0.482   -0.608
 390     9250  3.50   -1.053   -0.014   -0.260   -0.475   -0.617
 391     9250  4.00   -1.070   -0.030   -0.258   -0.466   -0.625
 392     9250  4.50   -1.070   -0.053   -0.257   -0.456   -0.630
 393     9250  5.00   -1.051   -0.082   -0.258   -0.446   -0.632
 394     9500  2.00   -0.912   -0.070   -0.319   -0.540   -0.652
 395     9500  2.50   -0.962   -0.049   -0.317   -0.543   -0.660
 396     9500  3.00   -1.006   -0.046   -0.315   -0.541   -0.672
 397     9500  3.50   -1.043   -0.053   -0.313   -0.536   -0.683
 398     9500  4.00   -1.067   -0.065   -0.311   -0.528   -0.692
 399     9500  4.50   -1.074   -0.084   -0.308   -0.518   -0.698
 400     9500  5.00   -1.063   -0.109   -0.308   -0.508   -0.700
 401     9750  2.00   -0.899   -0.119   -0.371   -0.595   -0.718
 402     9750  2.50   -0.951   -0.096   -0.369   -0.599   -0.725
 403     9750  3.00   -0.996   -0.090   -0.368   -0.600   -0.736
 404     9750  3.50   -1.035   -0.094   -0.366   -0.596   -0.748
 405     9750  4.00   -1.064   -0.105   -0.364   -0.589   -0.758
 406     9750  4.50   -1.079   -0.120   -0.362   -0.580   -0.765
 407     9750  5.00   -1.074   -0.142   -0.360   -0.571   -0.768
 408    10000  2.00   -0.889   -0.167   -0.423   -0.649   -0.783
 409    10000  2.50   -0.942   -0.143   -0.421   -0.655   -0.789
 410    10000  3.00   -0.989   -0.136   -0.421   -0.657   -0.800
