# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
  33     1000  5.50  -21.151  -45.144  -36.452  -30.184  -23.458  -28.279  -25.426
  34     1000  6.00  -20.198  -43.402  -34.896  -28.822  -22.342  -26.969  -24.103
  35     1100  3.50  -19.595  -40.661  -32.853  -27.338  -21.439  -25.627  -22.725
  36     1100  4.00  -19.329  -40.241  -32.476  -26.998  -21.142  -25.297  -22.392
  37     1100  4.50  -19.142  -40.244  -32.394  -26.863  -20.965  -25.150  -22.248
  38     1100  5.00  -18.642  -39.800  -31.898  -26.342  -20.442  -24.625  -21.724
  39     1100  5.50  -18.053  -39.131  -31.210  -25.665  -19.807  -23.955  -21.052
  40     1100  6.00  -23.043  -46.719  -38.193  -32.049  -25.393  -30.169  -27.311
  41     1200  3.50  -16.880  -35.578  -28.509  -23.572  -18.325  -22.018  -19.080
  42     1200  4.00  -16.880  -35.578  -28.509  -23.572  -18.325  -22.018  -19.080
  43     1200  4.50  -16.880  -35.578  -28.509  -23.572  -18.325  -22.018  -19.080
  44     1200  5.00  -16.749  -35.872  -28.639  -23.588  -18.234  -22.005  -19.072
  45     1200  6.00  -15.508  -34.227  -27.039  -22.076  -16.874  -20.525  -17.585
  46     1300  3.50  -14.478  -31.066  -24.704  -20.285  -15.606  -18.874  -15.905
  47     1300  4.00  -14.512  -31.094  -24.738  -20.322  -15.642  -18.911  -15.942
  48     1300  4.50  -14.879  -31.897  -25.394  -20.868  -16.068  -19.427  -16.463
  49     1300  5.00  -14.825  -31.926  -25.399  -20.849  -16.023  -19.400  -16.438
  50     1300  5.50  -14.600  -31.885  -25.258  -20.653  -15.796  -19.193  -16.234
  51     1300  6.00  -17.119  -35.706  -28.675  -23.766  -18.548  -22.220  -19.279
  52     1400  3.50  -12.481  -27.303  -21.547  -17.566  -13.371  -16.279  -13.285
  53     1400  4.00  -12.508  -27.344  -21.588  -17.603  -13.401  -16.314  -13.320
  54     1400  4.50  -12.726  -27.836  -21.999  -17.942  -13.653  -16.632  -13.642
  55     1400  5.00  -12.953  -28.357  -22.413  -18.280  -13.912  -16.949  -13.963
  56     1400  5.50  -12.709  -28.323  -22.253  -18.057  -13.654  -16.712  -13.728
  57     1400  6.00  -12.712  -28.341  -22.265  -18.064  -13.658  -16.718  -13.735
  58     1500  3.50  -10.953  -24.481  -19.186  -15.538  -11.692  -14.344  -11.332
  59     1500  4.00  -10.917  -24.364  -19.094  -15.464  -11.642  -14.275  -11.262
  60     1500  4.50  -11.130  -24.898  -19.516  -15.798  -11.886  -14.585  -11.576
  61     1500  5.00  -11.228  -25.132  -19.706  -15.947  -11.995  -14.723  -11.716
  62     1500  5.50  -11.297  -25.380  -19.880  -16.069  -12.070  -14.831  -11.827
  63     1500  6.00  -11.279  -25.460  -19.903  -16.060  -12.043  -14.816  -11.813
  64     1600  3.50   -9.634  -22.474  -17.431  -13.937  -10.264  -12.770   -9.766
  65     1600  4.00   -9.639  -22.228  -17.275  -13.859  -10.257  -12.722   -9.705
  66     1600  4.50   -9.690  -22.333  -17.351  -13.917  -10.311  -12.783   -9.761
  67     1600  5.00   -9.767  -22.441  -17.447  -14.004  -10.389  -12.868   -9.846
  68     1600  5.50   -9.836  -22.640  -17.589  -14.104  -10.459  -12.960   -9.938
  69     1600  6.00   -9.894  -22.820  -17.705  -14.179  -10.509  -13.026  -10.006
  70     1700  3.50   -8.431  -20.722  -15.547  -12.254   -8.877  -11.022   -8.170
  71     1700  4.00   -8.056  -20.320  -15.233  -11.830   -8.474  -10.642   -7.743
  72     1700  4.50   -7.331  -19.075  -14.032  -10.745   -7.642   -9.598   -6.743
  73     1700  5.00   -8.192  -20.116  -15.319  -11.967   -8.629  -10.834   -7.878
  74     1700  5.50   -8.520  -20.363  -15.645  -12.379   -9.009  -11.287   -8.272
  75     1700  6.00   -8.674  -20.567  -15.813  -12.549   -9.171  -11.470   -8.439
  76     1800  3.50   -7.719  -19.204  -13.880  -11.121   -8.032   -9.806   -7.159
  77     1800  4.00   -7.502  -18.788  -13.878  -10.812   -7.793   -9.600   -6.857
  78     1800  4.50   -6.906  -17.721  -13.030   -9.985   -7.137   -8.853   -6.069
  79     1800  5.00   -6.889  -17.562  -13.012   -9.919   -7.113   -8.813   -6.011
  80     1800  5.50   -7.371  -18.422  -13.861  -10.672   -7.678   -9.569   -6.665
  81     1800  6.00   -7.438  -18.538  -13.971  -10.805   -7.770   -9.718   -6.763
  82     1900  3.50   -6.963  -16.235  -11.567   -9.804   -7.137   -8.473   -6.027
  83     1900  4.00   -7.039  -17.553  -12.708   -9.998   -7.221   -8.711   -6.185
  84     1900  4.50   -7.413  -18.637  -13.786  -10.591   -7.649   -9.355   -6.691
  85     1900  5.00   -6.894  -17.522  -12.947   -9.825   -7.078   -8.660   -5.959
  86     1900  5.50   -7.060  -17.485  -13.098  -10.046   -7.290   -8.941   -6.115
  87     1900  6.00   -7.051  -17.449  -13.063  -10.093   -7.318   -9.044   -6.115
  88     2000  3.50   -6.560  -14.047  -10.003   -8.995   -6.632   -7.695   -5.346
  89     2000  4.00   -6.498  -15.543  -11.170   -9.067   -6.573   -7.774   -5.406
  90     2000  4.50   -6.469  -16.552  -11.990   -9.110   -6.549   -7.814   -5.433
  91     2000  5.00   -6.596  -17.108  -12.496   -9.286   -6.694   -8.022   -5.544
  92     2000  5.50   -6.870  -17.037  -12.745   -9.685   -7.043   -8.530   -5.818
  93     2000  6.00   -6.688  -16.528  -12.323   -9.464   -6.888   -8.405   -5.545
  94     2100  4.00   -6.043  -13.629   -9.809   -8.269   -6.038   -7.054   -4.708
  95     2100  5.00   -5.961  -15.747  -11.424   -8.312   -5.961   -7.028   -4.731
  96     2100  5.50   -6.396  -16.623  -12.202   -8.885   -6.447   -7.605   -5.157
  97     2100  6.00   -6.592  -16.404  -12.222   -9.200   -6.732   -7.987   -5.323
  98     2200  3.50   -5.558  -10.820   -7.634   -7.427   -5.505   -6.339   -3.865
  99     2200  4.00   -5.552  -11.925   -8.571   -7.494   -5.490   -6.393   -3.978
 100     2200  4.50   -5.601  -13.258   -9.698   -7.632   -5.534   -6.454   -4.179
 101     2200  5.00   -5.630  -14.646  -10.710   -7.753   -5.569   -6.505   -4.274
 102     2200  5.50   -5.862  -15.705  -11.463   -8.054   -5.825   -6.754   -4.458
 103     2200  6.00   -5.973  -15.873  -11.610   -8.190   -5.973   -6.820   -4.423
 104     2300  3.50   -5.052   -9.756   -6.826   -6.773   -4.971   -5.799   -3.208
 105     2300  4.00   -5.062  -10.701   -7.619   -6.829   -4.969   -5.843   -3.307
 106     2300  4.50   -5.168  -11.927   -8.678   -6.999   -5.064   -5.937   -3.559
 107     2300  5.00   -5.266  -13.430   -9.873   -7.191   -5.163   -6.036   -3.767
 108     2300  5.50   -5.419  -14.673  -10.775   -7.384   -5.321   -6.128   -3.879
 109     2300  6.00   -5.498  -15.102  -11.045   -7.489   -5.430   -6.138   -3.814
 110     2400  3.50   -4.559   -8.949   -6.200   -6.183   -4.468   -5.315   -2.609
 111     2400  4.00   -4.578   -9.715   -6.844   -6.219   -4.471   -5.344   -2.683
 112     2400  4.50   -4.704  -10.749   -7.745   -6.375   -4.580   -5.434   -2.919
 113     2400  5.50   -4.965  -13.394   -9.917   -6.732   -4.830   -5.581   -3.285
 114     2400  6.00   -5.142  -14.361  -10.585   -6.959   -5.027   -5.663   -3.331
 115     2500  3.50   -4.121   -8.421   -5.767   -5.687   -4.032   -4.908   -2.104
 116     2500  4.00   -4.124   -8.993   -6.257   -5.685   -4.018   -4.905   -2.132
 117     2500  4.50   -4.268   -9.850   -7.002   -5.829   -4.137   -4.995   -2.346
 118     2500  5.00   -4.378  -10.961   -7.982   -5.974   -4.235   -5.058   -2.549
 119     2500  5.50   -4.557  -12.316   -9.119   -6.190   -4.405   -5.145   -2.746
 120     2500  6.00   -4.746  -13.400   -9.944   -6.407   -4.599   -5.207   -2.808
 121     2600  3.50   -3.741   -8.008   -5.424   -5.256   -3.660   -4.546   -1.668
 122     2600  4.00   -3.722   -8.446   -5.805   -5.221   -3.624   -4.518   -1.658
 123     2600  4.50   -3.860   -9.145   -6.403   -5.342   -3.733   -4.598   -1.835
 124     2600  5.00   -3.945  -10.020   -7.187   -5.437   -3.803   -4.638   -1.980
 125     2600  5.50   -4.119  -11.220   -8.249   -5.629   -3.962   -4.718   -2.172
 126     2600  6.00   -4.347  -12.399   -9.209   -5.886   -4.184   -4.812   -2.301
 127     2700  3.50   -3.435   -7.676   -5.146   -4.899   -3.363   -4.240   -1.312
 128     2700  4.00   -3.373   -7.989   -5.432   -4.813   -3.283   -4.168   -1.246
 129     2700  4.50   -3.485   -8.547   -5.899   -4.897   -3.364   -4.226   -1.374
 130     2700  5.00   -3.548   -9.262   -6.534   -4.962   -3.415   -4.256   -1.475
 131     2700  5.50   -3.700  -10.264   -7.441   -5.117   -3.548   -4.327   -1.635
 132     2700  6.00   -3.926  -11.413   -8.427   -5.357   -3.757   -4.417   -1.772
 133     2800  5.00   -3.098  -10.645   -7.567   -4.514   -2.901   -3.741   -0.798
 134     2800  5.50   -3.315  -11.553   -8.451   -4.776   -3.062   -3.888   -0.944
 135     2900  5.00   -2.709   -9.800   -6.831   -4.053   -2.547   -3.367   -0.341
 136     2900  5.50   -2.910  -10.659   -7.660   -4.288   -2.691   -3.493   -0.470
 137     3000  5.00   -2.381   -9.043   -6.199   -3.668   -2.251   -3.048    0.040
 138     3000  5.50   -2.549   -9.827   -6.926   -3.857   -2.367   -3.145   -0.056
 139     3100  5.00   -2.097   -8.366   -5.650   -3.327   -1.998   -2.765    0.373
 140     3100  5.50   -2.236   -9.040   -6.252   -3.489   -2.094   -2.846    0.297
 141     3200  5.00   -1.867   -7.795   -5.186   -3.049   -1.793   -2.525    0.627
 142     3200  5.50   -1.966   -8.345   -5.672   -3.169   -1.858   -2.584    0.574
 143     3300  5.00   -1.669   -7.301   -4.777   -2.801   -1.613   -2.313    0.851
 144     3300  5.50   -1.742   -7.730   -5.166   -2.893   -1.659   -2.357    0.816
 145     3400  5.00   -1.502   -6.883   -4.421   -2.586   -1.461   -2.125    1.049
 146     3400  5.50   -1.554   -7.191   -4.725   -2.656   -1.495   -2.163    1.019
 147     3500  5.00   -1.356   -6.523   -4.109   -2.393   -1.326   -1.956    1.223
 148     3500  5.50   -1.393   -6.712   -4.335   -2.447   -1.352   -1.988    1.199
 149     3600  5.00   -1.232   -6.207   -3.835   -2.225   -1.209   -1.807    1.376
 150     3600  5.50   -1.255   -6.319   -4.003   -2.262   -1.226   -1.831    1.359
 151     3700  5.00   -1.121   -5.923   -3.597   -2.072   -1.102   -1.670    1.516
 152     3700  5.50   -1.138   -5.960   -3.714   -2.103   -1.117   -1.693    1.497
 153     3800  5.00   -1.025   -5.642   -3.383   -1.934   -1.008   -1.546    1.641
 154     3800  5.50   -1.036   -5.651   -3.466   -1.956   -1.018   -1.566    1.625
 155     3500  0.00   -1.718   -7.772   -5.048   -3.054   -1.700   -2.544    0.578
 156     3500  0.50   -1.617   -7.256   -4.661   -2.824   -1.586   -2.362    0.767
 157     3500  1.00   -1.530   -6.749   -4.317   -2.634   -1.489   -2.215    0.922
 158     3500  1.50   -1.451   -6.295   -4.025   -2.476   -1.401   -2.092    1.051
 159     3500  2.00   -1.376   -5.912   -3.786   -2.340   -1.320   -1.984    1.165
 160     3500  2.50   -1.308   -5.630   -3.617   -2.240   -1.248   -1.900    1.254
 161     3500  3.00   -1.247   -5.450   -3.535   -2.192   -1.189   -1.844    1.313
 162     3500  3.50   -1.194   -5.350   -3.509   -2.158   -1.141   -1.800    1.364
 163     3500  4.00   -1.175   -5.335   -3.543   -2.149   -1.124   -1.788    1.386
 164     3500  4.50   -1.182   -5.391   -3.635   -2.160   -1.127   -1.801    1.387
 165     3500  5.00   -1.214   -5.530   -3.794   -2.194   -1.150   -1.838    1.367
 166     3750  0.00   -1.292   -6.928   -4.405   -2.484   -1.278   -2.000    1.121
 167     3750  0.50   -1.239   -6.515   -4.126   -2.320   -1.213   -1.876    1.256
 168     3750  1.00   -1.198   -6.126   -3.886   -2.194   -1.164   -1.784    1.358
 169     3750  1.50   -1.161   -5.775   -3.677   -2.092   -1.119   -1.711    1.442
 170     3750  2.00   -1.122   -5.466   -3.495   -2.001   -1.073   -1.646    1.516
 171     3750  2.50   -1.082   -5.228   -3.350   -1.925   -1.029   -1.589    1.580
 172     3750  3.00   -1.047   -5.072   -3.259   -1.880   -0.991   -1.552    1.622
 173     3750  3.50   -1.014   -4.968   -3.214   -1.873   -0.961   -1.534    1.639
 174     3750  4.00   -0.984   -4.892   -3.189   -1.860   -0.932   -1.512    1.662
 175     3750  4.50   -0.974   -4.878   -3.211   -1.856   -0.921   -1.507    1.672
 176     3750  5.00   -0.981   -4.929   -3.288   -1.865   -0.923   -1.520    1.670
 177     4000  0.00   -0.946   -5.974   -3.709   -2.006   -0.936   -1.563    1.549
 178     4000  0.50   -0.906   -5.591   -3.465   -1.867   -0.888   -1.457    1.661
 179     4000  1.00   -0.885   -5.254   -3.276   -1.770   -0.861   -1.388    1.738
 180     4000  1.50   -0.877   -4.986   -3.137   -1.705   -0.846   -1.345    1.789
 181     4000  2.00   -0.874   -4.790   -3.038   -1.660   -0.835   -1.318    1.826
 182     4000  2.50   -0.869   -4.657   -2.968   -1.624   -0.823   -1.297    1.858
 183     4000  3.00   -0.857   -4.571   -2.914   -1.591   -0.804   -1.278    1.889
 184     4000  3.50   -0.842   -4.528   -2.884   -1.579   -0.786   -1.269    1.904
 185     4000  4.00   -0.825   -4.492   -2.868   -1.589   -0.771   -1.269    1.904
 186     4000  4.50   -0.806   -4.448   -2.852   -1.590   -0.753   -1.263    1.912
 187     4000  5.00   -0.799   -4.446   -2.871   -1.591   -0.743   -1.264    1.916
 188     4250  0.00   -0.695   -5.164   -3.127   -1.639   -0.685   -1.234    1.876
 189     4250  0.50   -0.659   -4.820   -2.913   -1.518   -0.645   -1.143    1.970
 190     4250  1.00   -0.640   -4.519   -2.747   -1.435   -0.623   -1.084    2.034
 191     4250  1.50   -0.634   -4.281   -2.627   -1.380   -0.613   -1.047    2.076
 192     4250  2.00   -0.635   -4.108   -2.545   -1.345   -0.610   -1.026    2.104
 193     4250  2.50   -0.640   -3.995   -2.493   -1.322   -0.609   -1.014    2.123
 194     4250  3.00   -0.646   -3.939   -2.465   -1.305   -0.607   -1.007    2.139
 195     4250  3.50   -0.651   -3.933   -2.459   -1.294   -0.604   -1.005    2.151
 196     4250  4.00   -0.654   -3.966   -2.477   -1.302   -0.602   -1.014    2.150
 197     4250  4.50   -0.651   -4.006   -2.499   -1.324   -0.599   -1.029    2.139
 198     4250  5.00   -0.644   -4.024   -2.514   -1.339   -0.591   -1.037    2.135
 199     4500  0.00   -0.509   -4.506   -2.636   -1.344   -0.496   -0.975    2.138
 200     4500  0.50   -0.480   -4.212   -2.465   -1.249   -0.466   -0.904    2.211
 201     4500  1.00   -0.465   -3.955   -2.333   -1.183   -0.449   -0.857    2.261
 202     4500  1.50   -0.459   -3.752   -2.238   -1.139   -0.442   -0.828    2.293
 203     4500  2.00   -0.459   -3.602   -2.173   -1.110   -0.440   -0.811    2.314
 204     4500  2.50   -0.463   -3.501   -2.130   -1.091   -0.441   -0.801    2.329
 205     4500  3.00   -0.468   -3.447   -2.107   -1.077   -0.441   -0.795    2.341
 206     4500  3.50   -0.474   -3.432   -2.097   -1.067   -0.440   -0.791    2.351
 207     4500  4.00   -0.481   -3.453   -2.101   -1.060   -0.439   -0.790    2.360
 208     4500  4.50   -0.487   -3.506   -2.124   -1.063   -0.439   -0.796    2.362
 209     4500  5.00   -0.490   -3.576   -2.161   -1.082   -0.439   -0.811    2.353
 210     4750  0.00   -0.359   -3.934   -2.179   -1.083   -0.345   -0.750    2.366
 211     4750  0.50   -0.343   -3.686   -2.058   -1.020   -0.328   -0.705    2.413
 212     4750  1.00   -0.334   -3.468   -1.963   -0.974   -0.319   -0.674    2.446
 213     4750  1.50   -0.331   -3.293   -1.895   -0.944   -0.315   -0.654    2.467
 214     4750  2.00   -0.332   -3.162   -1.850   -0.924   -0.315   -0.643    2.481
 215     4750  2.50   -0.334   -3.073   -1.823   -0.911   -0.316   -0.637    2.490
 216     4750  3.00   -0.337   -3.021   -1.808   -0.901   -0.317   -0.632    2.498
 217     4750  3.50   -0.340   -3.003   -1.802   -0.892   -0.317   -0.628    2.506
 218     4750  4.00   -0.344   -3.015   -1.805   -0.884   -0.315   -0.625    2.515
 219     4750  4.50   -0.348   -3.052   -1.815   -0.878   -0.313   -0.623    2.523
 220     4750  5.00   -0.353   -3.120   -1.840   -0.877   -0.311   -0.625    2.528
 221     5000  0.00   -0.236   -3.455   -1.763   -0.852   -0.220   -0.555    2.562
 222     5000  0.50   -0.233   -3.244   -1.688   -0.819   -0.217   -0.534    2.586
 223     5000  1.00   -0.233   -3.055   -1.629   -0.795   -0.217   -0.519    2.602
 224     5000  1.50   -0.235   -2.899   -1.588   -0.780   -0.219   -0.511    2.612
 225     5000  2.00   -0.238   -2.780   -1.562   -0.770   -0.223   -0.508    2.617
 226     5000  2.50   -0.242   -2.696   -1.549   -0.764   -0.226   -0.507    2.620
 227     5000  3.00   -0.245   -2.644   -1.545   -0.760   -0.228   -0.506    2.623
 228     5000  3.50   -0.246   -2.623   -1.548   -0.755   -0.227   -0.504    2.628
 229     5000  4.00   -0.247   -2.628   -1.555   -0.749   -0.225   -0.500    2.634
 230     5000  4.50   -0.247   -2.655   -1.566   -0.742   -0.222   -0.497    2.641
 231     5000  5.00   -0.248   -2.704   -1.582   -0.736   -0.218   -0.493    2.649
 232     5250  0.00   -0.138   -3.097   -1.413   -0.658   -0.122   -0.394    2.720
 233     5250  0.50   -0.145   -2.912   -1.372   -0.648   -0.129   -0.391    2.726
 234     5250  1.00   -0.153   -2.742   -1.343   -0.643   -0.137   -0.392    2.728
 235     5250  1.50   -0.161   -2.598   -1.325   -0.641   -0.145   -0.394    2.727
 236     5250  2.00   -0.169   -2.483   -1.317   -0.643   -0.153   -0.399    2.725
 237     5250  2.50   -0.175   -2.397   -1.318   -0.645   -0.159   -0.403    2.722
 238     5250  3.00   -0.180   -2.339   -1.324   -0.647   -0.163   -0.407    2.721
 239     5250  3.50   -0.182   -2.309   -1.333   -0.647   -0.165   -0.408    2.722
 240     5250  4.00   -0.181   -2.304   -1.346   -0.644   -0.163   -0.407    2.725
 241     5250  4.50   -0.179   -2.320   -1.360   -0.639   -0.159   -0.404    2.730
 242     5250  5.00   -0.177   -2.354   -1.375   -0.633   -0.154   -0.399    2.737
 243     5500  0.00   -0.063   -2.851   -1.128   -0.498   -0.046   -0.265    2.843
 244     5500  0.50   -0.076   -2.686   -1.113   -0.505   -0.060   -0.275    2.835
 245     5500  1.00   -0.090   -2.529   -1.104   -0.513   -0.073   -0.286    2.827
 246     5500  1.50   -0.103   -2.389   -1.104   -0.523   -0.086   -0.298    2.819
 247     5500  2.00   -0.115   -2.272   -1.111   -0.535   -0.099   -0.310    2.809
 248     5500  2.50   -0.126   -2.178   -1.123   -0.546   -0.109   -0.321    2.801
 249     5500  3.00   -0.134   -2.108   -1.138   -0.555   -0.117   -0.330    2.794
 250     5500  3.50   -0.138   -2.063   -1.154   -0.560   -0.121   -0.335    2.791
 251     5500  4.00   -0.139   -2.042   -1.171   -0.562   -0.121   -0.337    2.791
 252     5500  4.50   -0.136   -2.044   -1.188   -0.560   -0.118   -0.335    2.795
 253     5500  5.00   -0.132   -2.064   -1.205   -0.556   -0.112   -0.332    2.800
 254     5750  0.00   -0.005   -2.686   -0.892   -0.366    0.012   -0.162    2.938
 255     5750  0.50   -0.021   -2.542   -0.898   -0.384   -0.005   -0.180    2.921
 256     5750  1.00   -0.038   -2.396   -0.907   -0.402   -0.022   -0.198    2.906
 257     5750  1.50   -0.054   -2.259   -0.920   -0.421   -0.038   -0.217    2.890
 258     5750  2.00   -0.071   -2.138   -0.939   -0.441   -0.055   -0.236    2.874
 259     5750  2.50   -0.086   -2.035   -0.961   -0.460   -0.070   -0.253    2.860
 260     5750  3.00   -0.099   -1.952   -0.984   -0.477   -0.083   -0.269    2.848
 261     5750  3.50   -0.108   -1.888   -1.007   -0.490   -0.091   -0.280    2.839
 262     5750  4.00   -0.112   -1.847   -1.028   -0.497   -0.095   -0.286    2.836
 263     5750  4.50   -0.111   -1.830   -1.048   -0.499   -0.093   -0.287    2.837
 264     5750  5.00   -0.107   -1.833   -1.065   -0.497   -0.088   -0.284    2.841
 265     6000  0.00    0.038   -2.576   -0.689   -0.256    0.054   -0.079    3.012
 266     6000  0.50    0.022   -2.452   -0.717   -0.280    0.039   -0.101    2.990
 267     6000  1.00    0.005   -2.318   -0.740   -0.305    0.021   -0.124    2.968
 268     6000  1.50   -0.014   -2.186   -0.765   -0.330    0.002   -0.148    2.947
 269     6000  2.00   -0.033   -2.063   -0.794   -0.357   -0.017   -0.172    2.926
 270     6000  2.50   -0.052   -1.954   -0.825   -0.383   -0.036   -0.195    2.906
 271     6000  3.00   -0.069   -1.858   -0.856   -0.407   -0.053   -0.217    2.888
 272     6000  3.50   -0.084   -1.778   -0.886   -0.428   -0.068   -0.235    2.874
 273     6000  4.00   -0.093   -1.717   -0.913   -0.443   -0.077   -0.247    2.865
 274     6000  4.50   -0.096   -1.678   -0.935   -0.451   -0.079   -0.252    2.863
 275     6000  5.00   -0.094   -1.661   -0.954   -0.453   -0.077   -0.253    2.865
 276     6250  0.50    0.055   -2.395   -0.554   -0.191    0.071   -0.036    3.044
 277     6250  1.00    0.039   -2.273   -0.594   -0.219    0.055   -0.061    3.018
 278     6250  1.50    0.021   -2.148   -0.631   -0.249    0.037   -0.088    2.992
 279     6250  2.00    0.000   -2.025   -0.669   -0.280    0.016   -0.116    2.966
 280     6250  2.50   -0.022   -1.911   -0.708   -0.312   -0.006   -0.145    2.941
 281     6250  3.00   -0.043   -1.808   -0.747   -0.343   -0.027   -0.172    2.918
 282     6250  3.50   -0.062   -1.717   -0.784   -0.371   -0.046   -0.196    2.898
 283     6250  4.00   -0.077   -1.639   -0.817   -0.394   -0.061   -0.214    2.884
 284     6250  4.50   -0.087   -1.580   -0.845   -0.410   -0.070   -0.226    2.876
 285     6250  5.00   -0.089   -1.541   -0.867   -0.417   -0.072   -0.231    2.874
 286     6500  0.50    0.075   -2.356   -0.403   -0.114    0.090    0.017    3.084
 287     6500  1.00    0.065   -2.247   -0.460   -0.144    0.081   -0.008    3.057
 288     6500  1.50    0.049   -2.129   -0.511   -0.176    0.065   -0.036    3.028
 289     6500  2.00    0.028   -2.010   -0.557   -0.210    0.044   -0.067    2.998
 290     6500  2.50    0.005   -1.895   -0.603   -0.246    0.021   -0.100    2.968
 291     6500  3.00   -0.019   -1.786   -0.650   -0.282   -0.003   -0.131    2.940
 292     6500  3.50   -0.042   -1.686   -0.695   -0.317   -0.026   -0.161    2.915
 293     6500  4.00   -0.063   -1.598   -0.735   -0.347   -0.047   -0.186    2.895
 294     6500  4.50   -0.078   -1.522   -0.769   -0.371   -0.062   -0.205    2.881
 295     6500  5.00   -0.087   -1.465   -0.796   -0.386   -0.070   -0.216    2.874
 296     6750  0.50    0.092   -2.317   -0.293   -0.054    0.106    0.061    3.122
 297     6750  1.00    0.080   -2.230   -0.332   -0.077    0.095    0.034    3.086
 298     6750  1.50    0.069   -2.121   -0.397   -0.111    0.084    0.007    3.055
 299     6750  2.00    0.051   -2.007   -0.456   -0.147    0.067   -0.025    3.023
 300     6750  2.50    0.028   -1.893   -0.510   -0.186    0.044   -0.060    2.989
 301     6750  3.00    0.003   -1.782   -0.563   -0.225    0.019   -0.095    2.956
 302     6750  3.50   -0.024   -1.677   -0.614   -0.265   -0.008   -0.129    2.926
 303     6750  4.00   -0.049   -1.581   -0.662   -0.301   -0.033   -0.161    2.901
 304     6750  4.50   -0.070   -1.494   -0.703   -0.333   -0.053   -0.186    2.881
 305     6750  5.00   -0.085   -1.421   -0.737   -0.357   -0.068   -0.205    2.868
 306     7000  0.50    0.102   -2.268   -0.217   -0.012    0.116    0.094    3.156
 307     7000  1.00    0.091   -2.206   -0.241   -0.028    0.105    0.069    3.113
 308     7000  1.50    0.079   -2.115   -0.288   -0.054    0.094    0.041    3.074
 309     7000  2.00    0.067   -2.008   -0.359   -0.091    0.082    0.010    3.040
 310     7000  2.50    0.046   -1.897   -0.424   -0.131    0.062   -0.026    3.003
 311     7000  3.00    0.021   -1.787   -0.483   -0.173    0.037   -0.064    2.967
 312     7000  3.50   -0.007   -1.681   -0.541   -0.216    0.009   -0.102    2.932
 313     7000  4.00   -0.035   -1.579   -0.595   -0.257   -0.019   -0.138    2.901
