# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
  33     1000  5.50  -21.151  -45.144  -36.452  -30.184  -23.458  -28.279  -25.426
  34     1000  6.00  -20.198  -43.402  -34.896  -28.822  -22.342  -26.969  -24.103
  35     1100  3.50  -19.595  -40.661  -32.853  -27.338  -21.439  -25.627  -22.725
  36     1100  4.00  -19.329  -40.241  -32.476  -26.998  -21.142  -25.297  -22.392
  37     1100  4.50  -19.142  -40.244  -32.394  -26.863  -20.965  -25.150  -22.248
  38     1100  5.00  -18.642  -39.800  -31.898  -26.342  -20.442  -24.625  -21.724
  39     1100  5.50  -18.053  -39.131  -31.210  -25.665  -19.807  -23.955  -21.052
  40     1100  6.00  -23.043  -46.719  -38.193  -32.049  -25.393  -30.169  -27.311
  41     1200  3.50  -16.880  -35.578  -28.509  -23.572  -18.325  -22.018  -19.080
  42     1200  4.00  -16.880  -35.578  -28.509  -23.572  -18.325  -22.018  -19.080
  43     1200  4.50  -16.880  -35.578  -28.509  -23.572  -18.325  -22.018  -19.080
  44     1200  5.00  -16.749  -35.872  -28.639  -23.588  -18.234  -22.005  -19.072
  45     1200  6.00  -15.508  -34.227  -27.039  -22.076  -16.874  -20.525  -17.585
  46     1300  3.50  -14.478  -31.066  -24.704  -20.285  -15.606  -18.874  -15.905
  47     1300  4.00  -14.512  -31.094  -24.738  -20.322  -15.642  -18.911  -15.942
  48     1300  4.50  -14.879  -31.897  -25.394  -20.868  -16.068  -19.427  -16.463
  49     1300  5.00  -14.825  -31.926  -25.399  -20.849  -16.023  -19.400  -16.438
  50     1300  5.50  -14.600  -31.885  -25.258  -20.653  -15.796  -19.193  -16.234
  51     1300  6.00  -17.119  -35.706  -28.675  -23.766  -18.548  -22.220  -19.279
  52     1400  3.50  -12.481  -27.303  -21.547  -17.566  -13.371  -16.279  -13.285
  53     1400  4.00  -12.508  -27.344  -21.588  -17.603  -13.401  -16.314  -13.320
  54     1400  4.50  -12.726  -27.836  -21.999  -17.942  -13.653  -16.632  -13.642
  55     1400  5.00  -12.953  -28.357  -22.413  -18.280  -13.912  -16.949  -13.963
  56     1400  5.50  -12.709  -28.323  -22.253  -18.057  -13.654  -16.712  -13.728
  57     1400  6.00  -12.712  -28.341  -22.265  -18.064  -13.658  -16.718  -13.735
  58     1500  3.50  -10.953  -24.481  -19.186  -15.538  -11.692  -14.344  -11.332
  59     1500  4.00  -10.917  -24.364  -19.094  -15.464  -11.642  -14.275  -11.262
  60     1500  4.50  -11.130  -24.898  -19.516  -15.798  -11.886  -14.585  -11.576
  61     1500  5.00  -11.228  -25.132  -19.706  -15.947  -11.995  -14.723  -11.716
  62     1500  5.50  -11.297  -25.380  -19.880  -16.069  -12.070  -14.831  -11.827
  63     1500  6.00  -11.279  -25.460  -19.903  -16.060  -12.043  -14.816  -11.813
  64     1600  3.50   -9.634  -22.474  -17.431  -13.937  -10.264  -12.770   -9.766
  65     1600  4.00   -9.639  -22.228  -17.275  -13.859  -10.257  -12.722   -9.705
  66     1600  4.50   -9.690  -22.333  -17.351  -13.917  -10.311  -12.783   -9.761
  67     1600  5.00   -9.767  -22.441  -17.447  -14.004  -10.389  -12.868   -9.846
  68     1600  5.50   -9.836  -22.640  -17.589  -14.104  -10.459  -12.960   -9.938
  69     1600  6.00   -9.894  -22.820  -17.705  -14.179  -10.509  -13.026  -10.006
  70     1700  3.50   -8.431  -20.722  -15.547  -12.254   -8.877  -11.022   -8.170
  71     1700  4.00   -8.056  -20.320  -15.233  -11.830   -8.474  -10.642   -7.743
  72     1700  4.50   -7.331  -19.075  -14.032  -10.745   -7.642   -9.598   -6.743
  73     1700  5.00   -8.192  -20.116  -15.319  -11.967   -8.629  -10.834   -7.878
  74     1700  5.50   -8.520  -20.363  -15.645  -12.379   -9.009  -11.287   -8.272
  75     1700  6.00   -8.674  -20.567  -15.813  -12.549   -9.171  -11.470   -8.439
  76     1800  3.50   -7.719  -19.204  -13.880  -11.121   -8.032   -9.806   -7.159
  77     1800  4.00   -7.502  -18.788  -13.878  -10.812   -7.793   -9.600   -6.857
  78     1800  4.50   -6.906  -17.721  -13.030   -9.985   -7.137   -8.853   -6.069
  79     1800  5.00   -6.889  -17.562  -13.012   -9.919   -7.113   -8.813   -6.011
  80     1800  5.50   -7.371  -18.422  -13.861  -10.672   -7.678   -9.569   -6.665
  81     1800  6.00   -7.438  -18.538  -13.971  -10.805   -7.770   -9.718   -6.763
  82     1900  3.50   -6.963  -16.235  -11.567   -9.804   -7.137   -8.473   -6.027
  83     1900  4.00   -7.039  -17.553  -12.708   -9.998   -7.221   -8.711   -6.185
  84     1900  4.50   -7.413  -18.637  -13.786  -10.591   -7.649   -9.355   -6.691
  85     1900  5.00   -6.894  -17.522  -12.947   -9.825   -7.078   -8.660   -5.959
  86     1900  5.50   -7.060  -17.485  -13.098  -10.046   -7.290   -8.941   -6.115
  87     1900  6.00   -7.051  -17.449  -13.063  -10.093   -7.318   -9.044   -6.115
  88     2000  3.50   -6.560  -14.047  -10.003   -8.995   -6.632   -7.695   -5.346
  89     2000  4.00   -6.498  -15.543  -11.170   -9.067   -6.573   -7.774   -5.406
  90     2000  4.50   -6.469  -16.552  -11.990   -9.110   -6.549   -7.814   -5.433
  91     2000  5.00   -6.596  -17.108  -12.496   -9.286   -6.694   -8.022   -5.544
  92     2000  5.50   -6.870  -17.037  -12.745   -9.685   -7.043   -8.530   -5.818
  93     2000  6.00   -6.688  -16.528  -12.323   -9.464   -6.888   -8.405   -5.545
  94     2100  4.00   -6.043  -13.629   -9.809   -8.269   -6.038   -7.054   -4.708
  95     2100  5.00   -5.961  -15.747  -11.424   -8.312   -5.961   -7.028   -4.731
  96     2100  5.50   -6.396  -16.623  -12.202   -8.885   -6.447   -7.605   -5.157
  97     2100  6.00   -6.592  -16.404  -12.222   -9.200   -6.732   -7.987   -5.323
  98     2200  3.50   -5.558  -10.820   -7.634   -7.427   -5.505   -6.339   -3.865
  99     2200  4.00   -5.552  -11.925   -8.571   -7.494   -5.490   -6.393   -3.978
 100     2200  4.50   -5.601  -13.258   -9.698   -7.632   -5.534   -6.454   -4.179
 101     2200  5.00   -5.630  -14.646  -10.710   -7.753   -5.569   -6.505   -4.274
 102     2200  5.50   -5.862  -15.705  -11.463   -8.054   -5.825   -6.754   -4.458
 103     2200  6.00   -5.973  -15.873  -11.610   -8.190   -5.973   -6.820   -4.423
 104     2300  3.50   -5.052   -9.756   -6.826   -6.773   -4.971   -5.799   -3.208
 105     2300  4.00   -5.062  -10.701   -7.619   -6.829   -4.969   -5.843   -3.307
 106     2300  4.50   -5.168  -11.927   -8.678   -6.999   -5.064   -5.937   -3.559
 107     2300  5.00   -5.266  -13.430   -9.873   -7.191   -5.163   -6.036   -3.767
 108     2300  5.50   -5.419  -14.673  -10.775   -7.384   -5.321   -6.128   -3.879
 109     2300  6.00   -5.498  -15.102  -11.045   -7.489   -5.430   -6.138   -3.814
 110     2400  3.50   -4.559   -8.949   -6.200   -6.183   -4.468   -5.315   -2.609
 111     2400  4.00   -4.578   -9.715   -6.844   -6.219   -4.471   -5.344   -2.683
 112     2400  4.50   -4.704  -10.749   -7.745   -6.375   -4.580   -5.434   -2.919
 113     2400  5.50   -4.965  -13.394   -9.917   -6.732   -4.830   -5.581   -3.285
 114     2400  6.00   -5.142  -14.361  -10.585   -6.959   -5.027   -5.663   -3.331
 115     2500  3.50   -4.121   -8.421   -5.767   -5.687   -4.032   -4.908   -2.104
 116     2500  4.00   -4.124   -8.993   -6.257   -5.685   -4.018   -4.905   -2.132
 117     2500  4.50   -4.268   -9.850   -7.002   -5.829   -4.137   -4.995   -2.346
 118     2500  5.00   -4.378  -10.961   -7.982   -5.974   -4.235   -5.058   -2.549
 119     2500  5.50   -4.557  -12.316   -9.119   -6.190   -4.405   -5.145   -2.746
 120     2500  6.00   -4.746  -13.400   -9.944   -6.407   -4.599   -5.207   -2.808
 121     2600  3.50   -3.741   -8.008   -5.424   -5.256   -3.660   -4.546   -1.668
 122     2600  4.00   -3.722   -8.446   -5.805   -5.221   -3.624   -4.518   -1.658
 123     2600  4.50   -3.860   -9.145   -6.403   -5.342   -3.733   -4.598   -1.835
 124     2600  5.00   -3.945  -10.020   -7.187   -5.437   -3.803   -4.638   -1.980
 125     2600  5.50   -4.119  -11.220   -8.249   -5.629   -3.962   -4.718   -2.172
 126     2600  6.00   -4.347  -12.399   -9.209   -5.886   -4.184   -4.812   -2.301
 127     2700  3.50   -3.435   -7.676   -5.146   -4.899   -3.363   -4.240   -1.312
 128     2700  4.00   -3.373   -7.989   -5.432   -4.813   -3.283   -4.168   -1.246
 129     2700  4.50   -3.485   -8.547   -5.899   -4.897   -3.364   -4.226   -1.374
 130     2700  5.00   -3.548   -9.262   -6.534   -4.962   -3.415   -4.256   -1.475
 131     2700  5.50   -3.700  -10.264   -7.441   -5.117   -3.548   -4.327   -1.635
 132     2700  6.00   -3.926  -11.413   -8.427   -5.357   -3.757   -4.417   -1.772
 133     2800  5.00   -3.173   -8.595   -5.968   -4.515   -3.049   -3.884   -1.008
 134     2800  5.50   -3.307   -9.441   -6.733   -4.649   -3.166   -3.956   -1.144
 135     2900  5.00   -2.857   -8.048   -5.516   -4.140   -2.744   -3.564   -0.620
 136     2900  5.50   -2.949   -8.730   -6.124   -4.226   -2.819   -3.609   -0.702
 137     3000  5.00   -2.578   -7.572   -5.129   -3.806   -2.476   -3.272   -0.279
 138     3000  5.50   -2.636   -8.122   -5.614   -3.856   -2.519   -3.295   -0.320
 139     3100  5.00   -2.332   -7.155   -4.791   -3.505   -2.239   -3.006    0.024
 140     3100  5.50   -2.360   -7.589   -5.179   -3.529   -2.256   -3.012    0.013
 141     3200  5.00   -2.112   -6.791   -4.494   -3.234   -2.028   -2.763    0.292
 142     3200  5.50   -2.113   -7.121   -4.803   -3.235   -2.022   -2.753    0.304
 143     3300  5.00   -1.919   -6.473   -4.233   -2.992   -1.842   -2.545    0.531
 144     3300  5.50   -1.898   -6.720   -4.479   -2.975   -1.818   -2.522    0.565
 145     3400  5.00   -1.749   -6.211   -4.010   -2.776   -1.679   -2.347    0.749
 146     3400  5.50   -1.712   -6.375   -4.200   -2.746   -1.642   -2.311    0.798
 147     3500  5.00   -1.581   -5.956   -3.807   -2.575   -1.522   -2.161    0.954
 148     3500  5.50   -1.538   -6.050   -3.941   -2.535   -1.479   -2.121    1.009
 149     3600  5.00   -1.448   -5.779   -3.648   -2.402   -1.392   -2.002    1.127
 150     3600  5.50   -1.398   -5.813   -3.739   -2.358   -1.344   -1.956    1.184
 151     3700  5.00   -1.329   -5.639   -3.519   -2.244   -1.275   -1.858    1.288
 152     3700  5.50   -1.275   -5.616   -3.569   -2.200   -1.224   -1.809    1.343
 153     3800  5.00   -1.221   -5.526   -3.411   -2.099   -1.170   -1.725    1.435
 154     3800  5.50   -1.164   -5.449   -3.423   -2.055   -1.118   -1.675    1.490
 155     3500  0.00   -2.042   -7.946   -5.065   -3.284   -1.988   -2.798    0.240
 156     3500  0.50   -2.089   -7.609   -4.804   -3.259   -2.026   -2.806    0.218
 157     3500  1.00   -2.128   -7.268   -4.556   -3.241   -2.059   -2.814    0.196
 158     3500  1.50   -2.144   -6.919   -4.315   -3.207   -2.070   -2.804    0.194
 159     3500  2.00   -2.132   -6.566   -4.082   -3.150   -2.055   -2.769    0.221
 160     3500  2.50   -2.086   -6.230   -3.862   -3.060   -2.005   -2.702    0.286
 161     3500  3.00   -2.007   -5.920   -3.659   -2.940   -1.920   -2.605    0.388
 162     3500  3.50   -1.889   -5.654   -3.493   -2.794   -1.796   -2.478    0.529
 163     3500  4.00   -1.731   -5.428   -3.369   -2.630   -1.637   -2.322    0.708
 164     3500  4.50   -1.580   -5.275   -3.309   -2.486   -1.489   -2.178    0.881
 165     3500  5.00   -1.483   -5.253   -3.340   -2.402   -1.395   -2.095    0.996
 166     3750  0.00   -1.300   -7.372   -4.555   -2.457   -1.271   -1.964    1.143
 167     3750  0.50   -1.315   -7.056   -4.345   -2.408   -1.278   -1.951    1.161
 168     3750  1.00   -1.338   -6.756   -4.151   -2.378   -1.293   -1.954    1.163
 169     3750  1.50   -1.363   -6.469   -3.969   -2.355   -1.311   -1.962    1.157
 170     3750  2.00   -1.385   -6.185   -3.792   -2.332   -1.327   -1.968    1.151
 171     3750  2.50   -1.399   -5.917   -3.627   -2.305   -1.335   -1.967    1.151
 172     3750  3.00   -1.399   -5.665   -3.469   -2.267   -1.329   -1.952    1.165
 173     3750  3.50   -1.380   -5.447   -3.337   -2.218   -1.304   -1.923    1.196
 174     3750  4.00   -1.329   -5.272   -3.241   -2.164   -1.250   -1.875    1.250
 175     3750  4.50   -1.248   -5.084   -3.160   -2.094   -1.172   -1.797    1.335
 176     3750  5.00   -1.178   -4.967   -3.123   -2.032   -1.103   -1.730    1.414
 177     4000  0.00   -0.896   -6.486   -3.951   -1.946   -0.876   -1.458    1.648
 178     4000  0.50   -0.899   -6.203   -3.781   -1.890   -0.873   -1.435    1.679
 179     4000  1.00   -0.908   -5.947   -3.632   -1.851   -0.876   -1.426    1.696
 180     4000  1.50   -0.922   -5.718   -3.501   -1.824   -0.883   -1.425    1.706
 181     4000  2.00   -0.937   -5.507   -3.377   -1.799   -0.891   -1.427    1.714
 182     4000  2.50   -0.953   -5.326   -3.268   -1.781   -0.900   -1.435    1.717
 183     4000  3.00   -0.967   -5.175   -3.172   -1.764   -0.909   -1.443    1.718
 184     4000  3.50   -0.980   -5.053   -3.091   -1.752   -0.915   -1.453    1.716
 185     4000  4.00   -0.981   -4.957   -3.028   -1.742   -0.911   -1.458    1.718
 186     4000  4.50   -0.961   -4.850   -2.980   -1.734   -0.891   -1.448    1.731
 187     4000  5.00   -0.927   -4.725   -2.933   -1.716   -0.859   -1.421    1.760
 188     4250  0.00   -0.629   -5.552   -3.384   -1.583   -0.614   -1.118    1.986
 189     4250  0.50   -0.627   -5.311   -3.238   -1.527   -0.609   -1.091    2.016
 190     4250  1.00   -0.633   -5.096   -3.114   -1.489   -0.610   -1.079    2.034
 191     4250  1.50   -0.643   -4.898   -3.006   -1.462   -0.615   -1.075    2.045
 192     4250  2.00   -0.654   -4.727   -2.909   -1.435   -0.620   -1.072    2.057
 193     4250  2.50   -0.667   -4.586   -2.826   -1.414   -0.625   -1.071    2.068
 194     4250  3.00   -0.680   -4.493   -2.765   -1.398   -0.631   -1.076    2.075
 195     4250  3.50   -0.695   -4.439   -2.722   -1.389   -0.637   -1.086    2.078
 196     4250  4.00   -0.709   -4.423   -2.699   -1.387   -0.645   -1.103    2.076
 197     4250  4.50   -0.719   -4.417   -2.689   -1.394   -0.649   -1.121    2.069
 198     4250  5.00   -0.717   -4.385   -2.684   -1.412   -0.648   -1.135    2.060
 199     4500  0.00   -0.443   -4.819   -2.905   -1.304   -0.428   -0.872    2.231
 200     4500  0.50   -0.439   -4.622   -2.784   -1.256   -0.423   -0.846    2.259
 201     4500  1.00   -0.442   -4.449   -2.685   -1.223   -0.423   -0.834    2.274
 202     4500  1.50   -0.449   -4.293   -2.600   -1.199   -0.427   -0.830    2.282
 203     4500  2.00   -0.458   -4.152   -2.524   -1.178   -0.432   -0.829    2.289
 204     4500  2.50   -0.468   -4.032   -2.454   -1.158   -0.437   -0.826    2.299
 205     4500  3.00   -0.480   -3.947   -2.400   -1.141   -0.442   -0.827    2.308
 206     4500  3.50   -0.492   -3.900   -2.363   -1.127   -0.446   -0.830    2.316
 207     4500  4.00   -0.507   -3.892   -2.345   -1.121   -0.451   -0.840    2.320
 208     4500  4.50   -0.522   -3.917   -2.345   -1.121   -0.457   -0.855    2.319
 209     4500  5.00   -0.535   -3.956   -2.361   -1.129   -0.464   -0.874    2.314
 210     4750  0.00   -0.306   -4.254   -2.472   -1.069   -0.290   -0.682    2.422
 211     4750  0.50   -0.302   -4.076   -2.373   -1.032   -0.286   -0.659    2.446
 212     4750  1.00   -0.303   -3.924   -2.295   -1.006   -0.286   -0.648    2.459
 213     4750  1.50   -0.307   -3.792   -2.231   -0.988   -0.289   -0.644    2.465
 214     4750  2.00   -0.314   -3.675   -2.176   -0.974   -0.294   -0.643    2.469
 215     4750  2.50   -0.321   -3.574   -2.126   -0.959   -0.298   -0.642    2.475
 216     4750  3.00   -0.329   -3.496   -2.084   -0.943   -0.302   -0.641    2.482
 217     4750  3.50   -0.339   -3.448   -2.052   -0.930   -0.305   -0.641    2.490
 218     4750  4.00   -0.350   -3.431   -2.033   -0.919   -0.308   -0.643    2.498
 219     4750  4.50   -0.362   -3.446   -2.028   -0.912   -0.311   -0.649    2.503
 220     4750  5.00   -0.376   -3.488   -2.038   -0.910   -0.315   -0.660    2.505
 221     5000  0.00   -0.197   -3.807   -2.070   -0.860   -0.180   -0.520    2.584
 222     5000  0.50   -0.197   -3.636   -1.994   -0.835   -0.180   -0.505    2.600
 223     5000  1.00   -0.199   -3.486   -1.932   -0.818   -0.182   -0.497    2.609
 224     5000  1.50   -0.203   -3.359   -1.884   -0.808   -0.186   -0.495    2.612
 225     5000  2.00   -0.209   -3.252   -1.847   -0.801   -0.190   -0.496    2.614
 226     5000  2.50   -0.214   -3.162   -1.815   -0.793   -0.195   -0.497    2.616
 227     5000  3.00   -0.220   -3.093   -1.790   -0.784   -0.198   -0.497    2.620
 228     5000  3.50   -0.226   -3.045   -1.770   -0.773   -0.201   -0.497    2.625
 229     5000  4.00   -0.233   -3.023   -1.758   -0.762   -0.202   -0.496    2.632
 230     5000  4.50   -0.241   -3.027   -1.753   -0.752   -0.204   -0.497    2.639
 231     5000  5.00   -0.251   -3.054   -1.756   -0.745   -0.205   -0.500    2.646
 232     5250  0.00   -0.105   -3.443   -1.703   -0.673   -0.087   -0.375    2.727
 233     5250  0.50   -0.110   -3.285   -1.653   -0.662   -0.093   -0.371    2.732
 234     5250  1.00   -0.116   -3.139   -1.610   -0.655   -0.098   -0.371    2.733
 235     5250  1.50   -0.122   -3.013   -1.577   -0.652   -0.105   -0.373    2.732
 236     5250  2.00   -0.129   -2.905   -1.553   -0.652   -0.111   -0.377    2.730
 237     5250  2.50   -0.135   -2.817   -1.535   -0.651   -0.117   -0.381    2.728
 238     5250  3.00   -0.141   -2.748   -1.523   -0.649   -0.121   -0.384    2.728
 239     5250  3.50   -0.146   -2.699   -1.517   -0.645   -0.124   -0.386    2.731
 240     5250  4.00   -0.150   -2.673   -1.515   -0.638   -0.126   -0.386    2.735
 241     5250  4.50   -0.155   -2.669   -1.517   -0.630   -0.126   -0.385    2.742
 242     5250  5.00   -0.160   -2.686   -1.523   -0.620   -0.126   -0.384    2.749
 243     5500  0.00   -0.029   -3.150   -1.380   -0.508   -0.010   -0.247    2.853
 244     5500  0.50   -0.039   -3.009   -1.354   -0.511   -0.021   -0.254    2.845
 245     5500  1.00   -0.048   -2.871   -1.331   -0.514   -0.030   -0.262    2.839
 246     5500  1.50   -0.057   -2.745   -1.314   -0.519   -0.039   -0.270    2.832
 247     5500  2.00   -0.066   -2.635   -1.301   -0.524   -0.048   -0.279    2.825
 248     5500  2.50   -0.074   -2.543   -1.295   -0.530   -0.056   -0.287    2.819
 249     5500  3.00   -0.081   -2.468   -1.293   -0.535   -0.063   -0.293    2.815
 250     5500  3.50   -0.087   -2.412   -1.295   -0.537   -0.068   -0.298    2.814
 251     5500  4.00   -0.091   -2.378   -1.301   -0.536   -0.070   -0.300    2.815
 252     5500  4.50   -0.094   -2.363   -1.310   -0.531   -0.070   -0.300    2.819
 253     5500  5.00   -0.096   -2.371   -1.322   -0.524   -0.069   -0.298    2.826
 254     5750  0.00    0.032   -2.925   -1.101   -0.367    0.051   -0.137    2.957
 255     5750  0.50    0.019   -2.801   -1.098   -0.380    0.037   -0.154    2.940
 256     5750  1.00    0.007   -2.671   -1.093   -0.392    0.025   -0.169    2.925
 257     5750  1.50   -0.005   -2.547   -1.089   -0.404    0.013   -0.183    2.912
 258     5750  2.00   -0.016   -2.435   -1.089   -0.417    0.002   -0.197    2.900
 259     5750  2.50   -0.026   -2.337   -1.093   -0.428   -0.009   -0.209    2.890
 260     5750  3.00   -0.036   -2.254   -1.100   -0.438   -0.017   -0.220    2.882
 261     5750  3.50   -0.043   -2.188   -1.109   -0.446   -0.024   -0.228    2.877
 262     5750  4.00   -0.049   -2.141   -1.121   -0.450   -0.029   -0.233    2.875
 263     5750  4.50   -0.052   -2.113   -1.134   -0.451   -0.031   -0.235    2.877
 264     5750  5.00   -0.054   -2.107   -1.149   -0.447   -0.030   -0.235    2.881
 265     6000  0.00    0.076   -2.755   -0.852   -0.245    0.095   -0.048    3.039
 266     6000  0.50    0.064   -2.651   -0.878   -0.268    0.083   -0.069    3.016
 267     6000  1.00    0.051   -2.531   -0.889   -0.287    0.069   -0.090    2.995
 268     6000  1.50    0.037   -2.409   -0.898   -0.306    0.055   -0.110    2.976
 269     6000  2.00    0.024   -2.294   -0.909   -0.324    0.041   -0.128    2.958
 270     6000  2.50    0.011   -2.189   -0.923   -0.341    0.029   -0.145    2.944
 271     6000  3.00   -0.000   -2.098   -0.938   -0.357    0.018   -0.160    2.932
 272     6000  3.50   -0.010   -2.022   -0.954   -0.370    0.008   -0.172    2.923
 273     6000  4.00   -0.018   -1.961   -0.972   -0.380    0.001   -0.181    2.917
 274     6000  4.50   -0.023   -1.919   -0.989   -0.385   -0.003   -0.187    2.916
 275     6000  5.00   -0.026   -1.898   -1.007   -0.385   -0.004   -0.188    2.918
 276     6250  0.50    0.095   -2.541   -0.675   -0.170    0.113   -0.001    3.074
 277     6250  1.00    0.085   -2.433   -0.711   -0.196    0.103   -0.024    3.050
 278     6250  1.50    0.071   -2.316   -0.734   -0.220    0.089   -0.047    3.026
 279     6250  2.00    0.056   -2.200   -0.755   -0.243    0.074   -0.070    3.004
 280     6250  2.50    0.042   -2.090   -0.777   -0.266    0.059   -0.091    2.984
 281     6250  3.00    0.027   -1.990   -0.800   -0.287    0.045   -0.111    2.967
 282     6250  3.50    0.015   -1.903   -0.824   -0.305    0.033   -0.128    2.954
 283     6250  4.00    0.004   -1.829   -0.847   -0.321    0.023   -0.141    2.945
 284     6250  4.50   -0.004   -1.773   -0.869   -0.331    0.016   -0.150    2.940
 285     6250  5.00   -0.008   -1.735   -0.890   -0.336    0.012   -0.155    2.939
 286     6500  0.50    0.116   -2.455   -0.500   -0.088    0.133    0.055    3.121
 287     6500  1.00    0.107   -2.363   -0.543   -0.115    0.124    0.030    3.091
 288     6500  1.50    0.097   -2.253   -0.587   -0.143    0.114    0.006    3.065
 289     6500  2.00    0.082   -2.140   -0.620   -0.171    0.100   -0.020    3.038
 290     6500  2.50    0.066   -2.027   -0.650   -0.198    0.084   -0.046    3.014
 291     6500  3.00    0.050   -1.921   -0.681   -0.224    0.068   -0.070    2.992
 292     6500  3.50    0.034   -1.824   -0.712   -0.248    0.052   -0.091    2.974
 293     6500  4.00    0.020   -1.739   -0.742   -0.270    0.039   -0.110    2.960
 294     6500  4.50    0.009   -1.668   -0.769   -0.286    0.028   -0.123    2.951
 295     6500  5.00    0.002   -1.615   -0.794   -0.297    0.021   -0.132    2.947
 296     6750  0.50    0.130   -2.379   -0.369   -0.028    0.147    0.099    3.160
 297     6750  1.00    0.121   -2.308   -0.397   -0.047    0.137    0.074    3.123
 298     6750  1.50    0.113   -2.210   -0.447   -0.075    0.130    0.048    3.092
 299     6750  2.00    0.102   -2.100   -0.499   -0.106    0.119    0.022    3.064
 300     6750  2.50    0.086   -1.989   -0.540   -0.137    0.104   -0.007    3.035
 301     6750  3.00    0.069   -1.880   -0.578   -0.167    0.086   -0.035    3.008
 302     6750  3.50    0.050   -1.777   -0.616   -0.197    0.068   -0.061    2.985
 303     6750  4.00    0.033   -1.682   -0.652   -0.224    0.051   -0.084    2.966
 304     6750  4.50    0.018   -1.599   -0.686   -0.246    0.037   -0.103    2.952
 305     6750  5.00    0.007   -1.531   -0.715   -0.264    0.026   -0.117    2.944
 306     7000  0.50    0.137   -2.301   -0.270    0.013    0.153    0.130    3.193
 307     7000  1.00    0.129   -2.255   -0.289    0.001    0.145    0.108    3.152
 308     7000  1.50    0.121   -2.174   -0.325   -0.018    0.136    0.082    3.112
 309     7000  2.00    0.113   -2.073   -0.382   -0.049    0.129    0.055    3.079
 310     7000  2.50    0.100   -1.964   -0.440   -0.083    0.117    0.026    3.049
 311     7000  3.00    0.083   -1.856   -0.488   -0.117    0.100   -0.005    3.018
 312     7000  3.50    0.063   -1.750   -0.533   -0.150    0.081   -0.036    2.990
 313     7000  4.00    0.043   -1.650   -0.575   -0.182    0.061   -0.064    2.965
 314     7000  4.50    0.025   -1.558   -0.615   -0.210    0.043   -0.088    2.946
 315     7000  5.00    0.009   -1.477   -0.650   -0.234    0.028   -0.107    2.933
