# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 120     2500  6.00   -0.296    2.086    2.740    2.915
 121     2600  3.50   -0.217    2.066    2.549    2.898
 122     2600  4.00   -0.174    2.061    2.566    2.908
 123     2600  4.50   -0.166    2.080    2.595    2.911
 124     2600  5.00   -0.124    2.089    2.634    2.923
 125     2600  5.50   -0.101    2.088    2.674    2.923
 126     2600  6.00   -0.116    2.068    2.703    2.889
 127     2700  3.50   -0.090    2.025    2.507    2.840
 128     2700  4.00   -0.032    2.021    2.525    2.853
 129     2700  4.50   -0.014    2.043    2.556    2.859
 130     2700  5.00    0.023    2.051    2.590    2.872
 131     2700  5.50    0.049    2.055    2.631    2.879
 132     2700  6.00    0.047    2.046    2.665    2.860
 133     2800  5.00    0.156    2.015    2.552    2.826
 134     2800  5.50    0.174    2.018    2.588    2.833
 135     2900  5.00    0.251    1.973    2.509    2.776
 136     2900  5.50    0.277    1.978    2.545    2.788
 137     3000  5.00    0.329    1.933    2.471    2.728
 138     3000  5.50    0.357    1.939    2.504    2.742
 139     3100  5.00    0.395    1.898    2.436    2.684
 140     3100  5.50    0.421    1.899    2.461    2.696
 141     3200  5.00    0.452    1.866    2.408    2.646
 142     3200  5.50    0.476    1.863    2.423    2.654
 143     3300  5.00    0.500    1.836    2.387    2.615
 144     3300  5.50    0.523    1.829    2.389    2.614
 145     3400  5.00    0.541    1.809    2.370    2.590
 146     3400  5.50    0.563    1.799    2.358    2.578
 147     3500  5.00    0.569    1.770    2.344    2.563
 148     3500  5.50    0.592    1.764    2.324    2.543
 149     3600  5.00    0.598    1.742    2.329    2.542
 150     3600  5.50    0.619    1.734    2.298    2.511
 151     3700  5.00    0.618    1.712    2.312    2.517
 152     3700  5.50    0.640    1.704    2.271    2.480
 153     3800  5.00    0.634    1.681    2.298    2.490
 154     3800  5.50    0.657    1.673    2.245    2.447
 155     3500  0.00    0.201    1.798    2.644    2.908
 156     3500  0.50    0.164    1.801    2.673    2.919
 157     3500  1.00    0.132    1.807    2.695    2.923
 158     3500  1.50    0.107    1.817    2.713    2.922
 159     3500  2.00    0.097    1.829    2.726    2.914
 160     3500  2.50    0.110    1.844    2.730    2.895
 161     3500  3.00    0.152    1.864    2.723    2.862
 162     3500  3.50    0.229    1.886    2.695    2.810
 163     3500  4.00    0.336    1.907    2.636    2.735
 164     3500  4.50    0.457    1.916    2.543    2.644
 165     3500  5.00    0.557    1.906    2.443    2.562
 166     3750  0.00    0.456    1.721    2.473    2.703
 167     3750  0.50    0.447    1.716    2.501    2.716
 168     3750  1.00    0.440    1.714    2.524    2.724
 169     3750  1.50    0.433    1.714    2.542    2.730
 170     3750  2.00    0.426    1.718    2.560    2.732
 171     3750  2.50    0.420    1.724    2.573    2.731
 172     3750  3.00    0.419    1.735    2.582    2.725
 173     3750  3.50    0.429    1.748    2.583    2.711
 174     3750  4.00    0.459    1.767    2.563    2.679
 175     3750  4.50    0.515    1.781    2.509    2.621
 176     3750  5.00    0.585    1.785    2.426    2.547
 177     4000  0.00    0.573    1.663    2.316    2.510
 178     4000  0.50    0.567    1.653    2.341    2.523
 179     4000  1.00    0.562    1.645    2.362    2.533
 180     4000  1.50    0.559    1.637    2.378    2.539
 181     4000  2.00    0.556    1.632    2.394    2.543
 182     4000  2.50    0.554    1.629    2.407    2.546
 183     4000  3.00    0.553    1.631    2.419    2.549
 184     4000  3.50    0.556    1.637    2.429    2.549
 185     4000  4.00    0.565    1.648    2.430    2.543
 186     4000  4.50    0.587    1.661    2.411    2.520
 187     4000  5.00    0.626    1.666    2.358    2.474
 188     4250  0.00    0.648    1.606    2.169    2.331
 189     4250  0.50    0.642    1.598    2.190    2.343
 190     4250  1.00    0.638    1.589    2.208    2.352
 191     4250  1.50    0.634    1.580    2.223    2.358
 192     4250  2.00    0.629    1.570    2.235    2.363
 193     4250  2.50    0.625    1.561    2.247    2.366
 194     4250  3.00    0.623    1.556    2.258    2.370
 195     4250  3.50    0.624    1.555    2.268    2.374
 196     4250  4.00    0.628    1.558    2.276    2.376
 197     4250  4.50    0.637    1.565    2.277    2.374
 198     4250  5.00    0.657    1.572    2.257    2.356
 199     4500  0.00    0.700    1.541    2.031    2.165
 200     4500  0.50    0.694    1.535    2.048    2.175
 201     4500  1.00    0.690    1.529    2.062    2.183
 202     4500  1.50    0.687    1.522    2.073    2.189
 203     4500  2.00    0.681    1.513    2.083    2.193
 204     4500  2.50    0.677    1.504    2.092    2.196
 205     4500  3.00    0.673    1.496    2.102    2.199
 206     4500  3.50    0.672    1.492    2.111    2.203
 207     4500  4.00    0.673    1.490    2.120    2.207
 208     4500  4.50    0.677    1.492    2.127    2.210
 209     4500  5.00    0.685    1.497    2.128    2.210
 210     4750  0.00    0.735    1.468    1.899    2.007
 211     4750  0.50    0.729    1.463    1.913    2.017
 212     4750  1.00    0.724    1.458    1.923    2.023
 213     4750  1.50    0.721    1.454    1.932    2.028
 214     4750  2.00    0.716    1.447    1.939    2.032
 215     4750  2.50    0.710    1.440    1.946    2.034
 216     4750  3.00    0.705    1.433    1.954    2.037
 217     4750  3.50    0.702    1.427    1.962    2.040
 218     4750  4.00    0.702    1.425    1.969    2.044
 219     4750  4.50    0.705    1.424    1.977    2.048
 220     4750  5.00    0.709    1.426    1.983    2.052
 221     5000  0.00    0.755    1.389    1.768    1.854
 222     5000  0.50    0.748    1.385    1.781    1.864
 223     5000  1.00    0.742    1.381    1.790    1.871
 224     5000  1.50    0.738    1.377    1.797    1.875
 225     5000  2.00    0.733    1.372    1.803    1.879
 226     5000  2.50    0.727    1.367    1.807    1.881
 227     5000  3.00    0.722    1.362    1.813    1.883
 228     5000  3.50    0.717    1.357    1.819    1.886
 229     5000  4.00    0.716    1.354    1.826    1.889
 230     5000  4.50    0.716    1.353    1.832    1.893
 231     5000  5.00    0.719    1.354    1.839    1.898
 232     5250  0.00    0.756    1.306    1.633    1.704
 233     5250  0.50    0.749    1.303    1.648    1.716
 234     5250  1.00    0.744    1.299    1.658    1.724
 235     5250  1.50    0.739    1.296    1.665    1.729
 236     5250  2.00    0.734    1.292    1.670    1.732
 237     5250  2.50    0.728    1.288    1.674    1.734
 238     5250  3.00    0.723    1.284    1.678    1.736
 239     5250  3.50    0.719    1.280    1.683    1.739
 240     5250  4.00    0.716    1.278    1.688    1.741
 241     5250  4.50    0.716    1.277    1.694    1.745
 242     5250  5.00    0.717    1.278    1.700    1.749
 243     5500  0.00    0.738    1.216    1.494    1.556
 244     5500  0.50    0.733    1.217    1.513    1.571
 245     5500  1.00    0.729    1.215    1.525    1.580
 246     5500  1.50    0.724    1.212    1.533    1.586
 247     5500  2.00    0.720    1.209    1.539    1.590
 248     5500  2.50    0.715    1.205    1.543    1.593
 249     5500  3.00    0.711    1.202    1.547    1.595
 250     5500  3.50    0.707    1.200    1.552    1.598
 251     5500  4.00    0.705    1.198    1.556    1.600
 252     5500  4.50    0.704    1.197    1.562    1.603
 253     5500  5.00    0.705    1.198    1.567    1.607
 254     5750  0.00    0.702    1.119    1.353    1.408
 255     5750  0.50    0.701    1.125    1.376    1.428
 256     5750  1.00    0.700    1.126    1.391    1.440
 257     5750  1.50    0.697    1.125    1.401    1.448
 258     5750  2.00    0.694    1.124    1.409    1.453
 259     5750  2.50    0.691    1.121    1.414    1.457
 260     5750  3.00    0.687    1.119    1.419    1.459
 261     5750  3.50    0.685    1.117    1.424    1.462
 262     5750  4.00    0.683    1.115    1.429    1.464
 263     5750  4.50    0.682    1.115    1.434    1.467
 264     5750  5.00    0.684    1.116    1.439    1.471
 265     6000  0.00    0.652    1.015    1.211    1.261
 266     6000  0.50    0.657    1.028    1.240    1.285
 267     6000  1.00    0.660    1.034    1.258    1.301
 268     6000  1.50    0.660    1.036    1.271    1.311
 269     6000  2.00    0.659    1.036    1.280    1.319
 270     6000  2.50    0.658    1.035    1.287    1.324
 271     6000  3.00    0.656    1.034    1.293    1.328
 272     6000  3.50    0.654    1.032    1.299    1.331
 273     6000  4.00    0.652    1.031    1.304    1.334
 274     6000  4.50    0.652    1.031    1.309    1.337
 275     6000  5.00    0.654    1.032    1.315    1.340
 276     6250  0.50    0.603    0.926    1.103    1.144
 277     6250  1.00    0.610    0.938    1.126    1.164
 278     6250  1.50    0.615    0.944    1.142    1.178
 279     6250  2.00    0.617    0.947    1.153    1.187
 280     6250  2.50    0.618    0.948    1.162    1.194
 281     6250  3.00    0.617    0.948    1.169    1.200
 282     6250  3.50    0.617    0.947    1.176    1.204
 283     6250  4.00    0.616    0.947    1.182    1.207
 284     6250  4.50    0.616    0.947    1.189    1.211
 285     6250  5.00    0.618    0.948    1.195    1.214
 286     6500  0.50    0.543    0.824    0.971    1.007
 287     6500  1.00    0.552    0.839    0.996    1.029
 288     6500  1.50    0.563    0.850    1.015    1.046
 289     6500  2.00    0.569    0.856    1.028    1.059
 290     6500  2.50    0.572    0.859    1.039    1.068
 291     6500  3.00    0.574    0.861    1.048    1.075
 292     6500  3.50    0.575    0.862    1.056    1.080
 293     6500  4.00    0.575    0.862    1.063    1.085
 294     6500  4.50    0.576    0.862    1.071    1.089
 295     6500  5.00    0.578    0.863    1.077    1.092
 296     6750  0.50    0.481    0.722    0.845    0.876
 297     6750  1.00    0.491    0.739    0.870    0.899
 298     6750  1.50    0.503    0.753    0.889    0.917
 299     6750  2.00    0.514    0.764    0.906    0.933
 300     6750  2.50    0.522    0.770    0.919    0.944
 301     6750  3.00    0.526    0.774    0.929    0.953
 302     6750  3.50    0.529    0.776    0.938    0.960
 303     6750  4.00    0.531    0.777    0.947    0.965
 304     6750  4.50    0.532    0.777    0.955    0.970
 305     6750  5.00    0.534    0.779    0.963    0.974
 306     7000  0.50    0.421    0.624    0.727    0.752
 307     7000  1.00    0.430    0.643    0.750    0.775
 308     7000  1.50    0.441    0.657    0.769    0.793
 309     7000  2.00    0.454    0.669    0.785    0.809
 310     7000  2.50    0.467    0.680    0.800    0.823
 311     7000  3.00    0.475    0.686    0.813    0.834
 312     7000  3.50    0.480    0.690    0.823    0.842
 313     7000  4.00    0.483    0.692    0.833    0.849
 314     7000  4.50    0.485    0.693    0.842    0.855
 315     7000  5.00    0.487    0.694    0.851    0.860
 316     7250  0.50    0.368    0.533    0.618    0.637
 317     7250  1.00    0.370    0.548    0.637    0.656
 318     7250  1.50    0.380    0.563    0.655    0.674
 319     7250  2.00    0.392    0.575    0.670    0.690
 320     7250  2.50    0.405    0.587    0.684    0.704
 321     7250  3.00    0.419    0.597    0.698    0.718
 322     7250  3.50    0.427    0.603    0.710    0.728
 323     7250  4.00    0.432    0.607    0.721    0.736
 324     7250  4.50    0.435    0.609    0.732    0.742
 325     7250  5.00    0.438    0.610    0.742    0.748
 326     7500  0.50    0.334    0.456    0.526    0.537
 327     7500  1.00    0.313    0.458    0.531    0.545
 328     7500  1.50    0.320    0.472    0.546    0.561
 329     7500  2.00    0.331    0.485    0.560    0.576
 330     7500  2.50    0.343    0.496    0.573    0.590
 331     7500  3.00    0.358    0.507    0.587    0.604
 332     7500  3.50    0.371    0.517    0.600    0.616
 333     7500  4.00    0.378    0.522    0.612    0.625
 334     7500  4.50    0.384    0.525    0.623    0.633
 335     7500  5.00    0.387    0.527    0.635    0.639
 336     7750  1.00    0.261    0.374    0.434    0.442
 337     7750  1.50    0.262    0.385    0.444    0.454
 338     7750  2.00    0.272    0.397    0.456    0.468
 339     7750  2.50    0.283    0.408    0.468    0.481
 340     7750  3.00    0.295    0.418    0.479    0.493
 341     7750  3.50    0.309    0.428    0.492    0.506
 342     7750  4.00    0.322    0.437    0.505    0.517
 343     7750  4.50    0.329    0.442    0.518    0.526
 344     7750  5.00    0.334    0.444    0.530    0.533
 345     8000  1.00    0.217    0.296    0.345    0.347
 346     8000  1.50    0.206    0.300    0.348    0.353
 347     8000  2.00    0.213    0.311    0.358    0.365
 348     8000  2.50    0.224    0.322    0.368    0.377
 349     8000  3.00    0.235    0.332    0.378    0.389
 350     8000  3.50    0.246    0.341    0.388    0.400
 351     8000  4.00    0.261    0.351    0.401    0.411
 352     8000  4.50    0.272    0.358    0.414    0.421
 353     8000  5.00    0.279    0.362    0.427    0.429
 354     8250  1.00    0.176    0.220    0.264    0.260
 355     8250  1.50    0.153    0.219    0.258    0.257
 356     8250  2.00    0.154    0.227    0.263    0.266
 357     8250  2.50    0.163    0.238    0.271    0.277
 358     8250  3.00    0.174    0.248    0.280    0.288
 359     8250  3.50    0.186    0.256    0.290    0.299
 360     8250  4.00    0.198    0.265    0.300    0.309
 361     8250  4.50    0.212    0.274    0.313    0.319
 362     8250  5.00    0.222    0.280    0.327    0.328
 363     8500  1.50    0.101    0.141    0.173    0.167
 364     8500  2.00    0.096    0.146    0.174    0.172
 365     8500  2.50    0.102    0.154    0.179    0.181
 366     8500  3.00    0.112    0.164    0.187    0.191
 367     8500  3.50    0.124    0.173    0.195    0.201
 368     8500  4.00    0.135    0.181    0.204    0.210
 369     8500  4.50    0.148    0.189    0.215    0.220
 370     8500  5.00    0.163    0.198    0.229    0.229
 371     8750  1.50    0.051    0.066    0.091    0.081
 372     8750  2.00    0.040    0.067    0.088    0.081
 373     8750  2.50    0.042    0.073    0.091    0.088
 374     8750  3.00    0.050    0.082    0.096    0.097
 375     8750  3.50    0.061    0.090    0.103    0.106
 376     8750  4.00    0.073    0.099    0.111    0.115
 377     8750  4.50    0.085    0.106    0.121    0.124
 378     8750  5.00    0.099    0.114    0.133    0.133
 379     9000  1.50   -0.001   -0.009    0.012   -0.002
 380     9000  2.00   -0.015   -0.009    0.006   -0.006
 381     9000  2.50   -0.018   -0.006    0.005   -0.002
 382     9000  3.00   -0.013    0.000    0.008    0.005
 383     9000  3.50   -0.004    0.008    0.014    0.014
 384     9000  4.00    0.008    0.017    0.021    0.023
 385     9000  4.50    0.021    0.025    0.030    0.031
 386     9000  5.00    0.034    0.032    0.040    0.039
 387     9250  2.00   -0.069   -0.083   -0.073   -0.089
 388     9250  2.50   -0.076   -0.083   -0.077   -0.088
 389     9250  3.00   -0.075   -0.079   -0.076   -0.083
 390     9250  3.50   -0.068   -0.072   -0.072   -0.076
 391     9250  4.00   -0.057   -0.064   -0.067   -0.068
 392     9250  4.50   -0.044   -0.056   -0.059   -0.059
 393     9250  5.00   -0.031   -0.049   -0.049   -0.051
 394     9500  2.00   -0.122   -0.155   -0.149   -0.168
 395     9500  2.50   -0.133   -0.157   -0.156   -0.171
 396     9500  3.00   -0.135   -0.155   -0.158   -0.169
 397     9500  3.50   -0.131   -0.151   -0.156   -0.163
 398     9500  4.00   -0.123   -0.144   -0.152   -0.156
 399     9500  4.50   -0.110   -0.137   -0.145   -0.148
 400     9500  5.00   -0.097   -0.129   -0.136   -0.140
 401     9750  2.00   -0.175   -0.224   -0.223   -0.245
 402     9750  2.50   -0.188   -0.228   -0.232   -0.251
 403     9750  3.00   -0.194   -0.229   -0.237   -0.252
 404     9750  3.50   -0.193   -0.227   -0.238   -0.248
 405     9750  4.00   -0.187   -0.223   -0.235   -0.243
 406     9750  4.50   -0.176   -0.216   -0.229   -0.235
 407     9750  5.00   -0.163   -0.208   -0.221   -0.227
 408    10000  2.00   -0.228   -0.293   -0.296   -0.320
 409    10000  2.50   -0.242   -0.298   -0.305   -0.328
 410    10000  3.00   -0.251   -0.301   -0.312   -0.331
 411    10000  3.50   -0.253   -0.301   -0.316   -0.330
 412    10000  4.00   -0.250   -0.299   -0.315   -0.326
 413    10000  4.50   -0.242   -0.294   -0.311   -0.320
 414    10000  5.00   -0.229   -0.287   -0.304   -0.313
 415    10250  2.00   -0.281   -0.360   -0.366   -0.392
 416    10250  2.50   -0.295   -0.365   -0.377   -0.402
 417    10250  3.00   -0.306   -0.370   -0.386   -0.408
 418    10250  3.50   -0.311   -0.373   -0.391   -0.409
 419    10250  4.00   -0.311   -0.373   -0.393   -0.407
 420    10250  4.50   -0.305   -0.369   -0.391   -0.403
 421    10250  5.00   -0.295   -0.363   -0.385   -0.396
 422    10500  2.00   -0.335   -0.427   -0.436   -0.464
 423    10500  2.50   -0.348   -0.431   -0.447   -0.474
 424    10500  3.00   -0.360   -0.438   -0.457   -0.481
 425    10500  3.50   -0.368   -0.442   -0.464   -0.485
 426    10500  4.00   -0.370   -0.444   -0.468   -0.485
 427    10500  4.50   -0.367   -0.442   -0.468   -0.483
 428    10500  5.00   -0.359   -0.438   -0.464   -0.478
 429    10750  2.00   -0.388   -0.493   -0.505   -0.534
 430    10750  2.50   -0.400   -0.497   -0.515   -0.544
 431    10750  3.00   -0.413   -0.504   -0.526   -0.553
 432    10750  3.50   -0.422   -0.510   -0.535   -0.559
 433    10750  4.00   -0.427   -0.513   -0.541   -0.561
 434    10750  4.50   -0.427   -0.513   -0.543   -0.560
 435    10750  5.00   -0.421   -0.511   -0.540   -0.557
 436    11000  2.00   -0.443   -0.558   -0.574   -0.604
 437    11000  2.50   -0.453   -0.561   -0.583   -0.614
 438    11000  3.00   -0.466   -0.568   -0.594   -0.623
 439    11000  3.50   -0.476   -0.575   -0.604   -0.630
 440    11000  4.00   -0.483   -0.580   -0.611   -0.634
 441    11000  4.50   -0.485   -0.582   -0.615   -0.635
 442    11000  5.00   -0.482   -0.582   -0.614   -0.633
 443    11250  2.00   -0.497   -0.623   -0.641   -0.673
 444    11250  2.50   -0.506   -0.625   -0.649   -0.682
 445    11250  3.00   -0.518   -0.632   -0.660   -0.691
 446    11250  3.50   -0.529   -0.639   -0.671   -0.700
 447    11250  4.00   -0.537   -0.645   -0.679   -0.705
 448    11250  4.50   -0.541   -0.649   -0.685   -0.708
 449    11250  5.00   -0.540   -0.650   -0.686   -0.707
 450    11500  2.00   -0.552   -0.687   -0.708   -0.741
 451    11500  2.50   -0.559   -0.688   -0.715   -0.749
 452    11500  3.00   -0.570   -0.694   -0.725   -0.759
 453    11500  3.50   -0.581   -0.702   -0.736   -0.767
 454    11500  4.00   -0.591   -0.709   -0.746   -0.774
 455    11500  4.50   -0.596   -0.714   -0.752   -0.778
 456    11500  5.00   -0.597   -0.717   -0.755   -0.779
 457    11750  2.00   -0.606   -0.751   -0.774   -0.808
 458    11750  2.50   -0.612   -0.750   -0.780   -0.816
 459    11750  3.00   -0.622   -0.756   -0.790   -0.825
 460    11750  3.50   -0.633   -0.764   -0.801   -0.833
 461    11750  4.00   -0.643   -0.771   -0.811   -0.841
 462    11750  4.50   -0.650   -0.778   -0.818   -0.846
 463    11750  5.00   -0.653   -0.781   -0.823   -0.849
 464    12000  2.50   -0.664   -0.812   -0.844   -0.881
 465    12000  3.00   -0.674   -0.817   -0.853   -0.890
 466    12000  3.50   -0.685   -0.825   -0.864   -0.899
 467    12000  4.00   -0.695   -0.832   -0.874   -0.907
 468    12000  4.50   -0.702   -0.839   -0.883   -0.913
 469    12000  5.00   -0.707   -0.844   -0.888   -0.917
 470    12250  2.50   -0.717   -0.873   -0.907   -0.946
 471    12250  3.00   -0.726   -0.878   -0.916   -0.954
 472    12250  3.50   -0.736   -0.885   -0.926   -0.962
 473    12250  4.00   -0.746   -0.892   -0.936   -0.971
 474    12250  4.50   -0.754   -0.900   -0.945   -0.978
 475    12250  5.00   -0.759   -0.906   -0.952   -0.983
 476    12500  2.50   -0.768   -0.933   -0.969   -1.010
 477    12500  3.00   -0.777   -0.937   -0.978   -1.017
 478    12500  3.50   -0.787   -0.944   -0.988   -1.025
 479    12500  4.00   -0.796   -0.951   -0.998   -1.034
 480    12500  4.50   -0.805   -0.959   -1.007   -1.041
 481    12500  5.00   -0.811   -0.966   -1.014   -1.047
 482    12750  2.50   -0.820   -0.992   -1.031   -1.072
 483    12750  3.00   -0.828   -0.996   -1.039   -1.080
 484    12750  3.50   -0.837   -1.002   -1.048   -1.088
 485    12750  4.00   -0.846   -1.009   -1.058   -1.095
 486    12750  4.50   -0.855   -1.017   -1.067   -1.103
 487    12750  5.00   -0.862   -1.024   -1.075   -1.110
 488    13000  2.50   -0.870   -1.050   -1.091   -1.134
 489    13000  3.00   -0.878   -1.054   -1.099   -1.141
 490    13000  3.50   -0.887   -1.060   -1.108   -1.149
 491    13000  4.00   -0.896   -1.067   -1.117   -1.156
 492    13000  4.50   -0.904   -1.074   -1.126   -1.164
 493    13000  5.00   -0.911   -1.082   -1.134   -1.171
 494    14000  2.00   -1.059   -1.272   -1.314   -1.361
 495    14000  2.50   -1.066   -1.273   -1.321   -1.370
 496    14000  3.00   -1.075   -1.277   -1.330   -1.378
 497    14000  3.50   -1.082   -1.283   -1.338   -1.384
 498    14000  4.00   -1.089   -1.288   -1.346   -1.391
 499    14000  4.50   -1.096   -1.294   -1.354   -1.397
 500    14000  5.00   -1.104   -1.302   -1.362   -1.405
 501    15000  2.50   -1.249   -1.480   -1.536   -1.589
 502    15000  3.00   -1.260   -1.486   -1.546   -1.599
 503    15000  3.50   -1.269   -1.492   -1.554   -1.606
 504    15000  4.00   -1.275   -1.498   -1.561   -1.612
 505    15000  4.50   -1.281   -1.503   -1.568   -1.617
 506    15000  5.00   -1.287   -1.509   -1.575   -1.624
