# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        I        J        H       Ks
 120     2500  6.00   -0.296    2.086    2.740    2.915
 121     2600  3.50   -0.217    2.066    2.549    2.898
 122     2600  4.00   -0.174    2.061    2.566    2.908
 123     2600  4.50   -0.166    2.080    2.595    2.911
 124     2600  5.00   -0.124    2.089    2.634    2.923
 125     2600  5.50   -0.101    2.088    2.674    2.923
 126     2600  6.00   -0.116    2.068    2.703    2.889
 127     2700  3.50   -0.090    2.025    2.507    2.840
 128     2700  4.00   -0.032    2.021    2.525    2.853
 129     2700  4.50   -0.014    2.043    2.556    2.859
 130     2700  5.00    0.023    2.051    2.590    2.872
 131     2700  5.50    0.049    2.055    2.631    2.879
 132     2700  6.00    0.047    2.046    2.665    2.860
 133     2800  5.00    0.253    1.979    2.565    2.800
 134     2800  5.50    0.282    1.993    2.591    2.767
 135     2900  5.00    0.335    1.939    2.528    2.767
 136     2900  5.50    0.356    1.950    2.553    2.745
 137     3000  5.00    0.393    1.894    2.485    2.726
 138     3000  5.50    0.419    1.909    2.514    2.718
 139     3100  5.00    0.447    1.857    2.448    2.687
 140     3100  5.50    0.467    1.867    2.473    2.685
 141     3200  5.00    0.486    1.819    2.407    2.645
 142     3200  5.50    0.509    1.830    2.434    2.649
 143     3300  5.00    0.525    1.788    2.374    2.606
 144     3300  5.50    0.544    1.795    2.395    2.610
 145     3400  5.00    0.558    1.758    2.342    2.569
 146     3400  5.50    0.573    1.762    2.355    2.570
 147     3500  5.00    0.586    1.729    2.312    2.535
 148     3500  5.50    0.600    1.731    2.319    2.532
 149     3600  5.00    0.607    1.698    2.284    2.504
 150     3600  5.50    0.619    1.699    2.281    2.493
 151     3700  5.00    0.618    1.662    2.252    2.468
 152     3700  5.50    0.638    1.670    2.247    2.455
 153     3800  5.00    0.635    1.633    2.227    2.436
 154     3800  5.50    0.650    1.637    2.212    2.416
 155     3500  0.00    0.270    1.678    2.693    2.901
 156     3500  0.50    0.290    1.686    2.696    2.882
 157     3500  1.00    0.318    1.700    2.692    2.854
 158     3500  1.50    0.355    1.720    2.678    2.815
 159     3500  2.00    0.400    1.743    2.653    2.766
 160     3500  2.50    0.451    1.765    2.617    2.708
 161     3500  3.00    0.512    1.784    2.560    2.640
 162     3500  3.50    0.580    1.791    2.464    2.567
 163     3500  4.00    0.628    1.788    2.369    2.507
 164     3500  4.50    0.651    1.782    2.319    2.472
 165     3500  5.00    0.662    1.780    2.298    2.455
 166     3750  0.00    0.418    1.630    2.549    2.728
 167     3750  0.50    0.416    1.619    2.558    2.725
 168     3750  1.00    0.421    1.616    2.563    2.718
 169     3750  1.50    0.433    1.620    2.563    2.705
 170     3750  2.00    0.453    1.630    2.556    2.683
 171     3750  2.50    0.479    1.645    2.541    2.652
 172     3750  3.00    0.514    1.662    2.516    2.610
 173     3750  3.50    0.561    1.675    2.465    2.555
 174     3750  4.00    0.613    1.681    2.377    2.492
 175     3750  4.50    0.651    1.684    2.298    2.439
 176     3750  5.00    0.672    1.685    2.258    2.408
 177     4000  0.00    0.533    1.600    2.400    2.544
 178     4000  0.50    0.524    1.584    2.408    2.544
 179     4000  1.00    0.519    1.572    2.415    2.543
 180     4000  1.50    0.516    1.564    2.419    2.542
 181     4000  2.00    0.516    1.560    2.421    2.539
 182     4000  2.50    0.522    1.561    2.420    2.532
 183     4000  3.00    0.534    1.567    2.413    2.519
 184     4000  3.50    0.557    1.578    2.396    2.494
 185     4000  4.00    0.596    1.588    2.351    2.451
 186     4000  4.50    0.639    1.593    2.278    2.396
 187     4000  5.00    0.672    1.598    2.210    2.351
 188     4250  0.00    0.619    1.558    2.252    2.367
 189     4250  0.50    0.606    1.541    2.257    2.367
 190     4250  1.00    0.596    1.528    2.262    2.366
 191     4250  1.50    0.590    1.518    2.265    2.366
 192     4250  2.00    0.586    1.511    2.268    2.366
 193     4250  2.50    0.583    1.507    2.270    2.365
 194     4250  3.00    0.584    1.505    2.270    2.364
 195     4250  3.50    0.587    1.505    2.268    2.361
 196     4250  4.00    0.598    1.510    2.259    2.353
 197     4250  4.50    0.627    1.515    2.225    2.324
 198     4250  5.00    0.663    1.520    2.169    2.282
 199     4500  0.00    0.681    1.503    2.105    2.197
 200     4500  0.50    0.665    1.487    2.108    2.197
 201     4500  1.00    0.653    1.474    2.110    2.196
 202     4500  1.50    0.644    1.465    2.112    2.196
 203     4500  2.00    0.638    1.458    2.114    2.196
 204     4500  2.50    0.634    1.453    2.115    2.195
 205     4500  3.00    0.632    1.449    2.116    2.195
 206     4500  3.50    0.632    1.448    2.116    2.195
 207     4500  4.00    0.636    1.448    2.115    2.194
 208     4500  4.50    0.644    1.452    2.110    2.191
 209     4500  5.00    0.664    1.456    2.089    2.174
 210     4750  0.00    0.718    1.437    1.958    2.032
 211     4750  0.50    0.701    1.422    1.961    2.034
 212     4750  1.00    0.688    1.410    1.963    2.034
 213     4750  1.50    0.677    1.401    1.964    2.033
 214     4750  2.00    0.670    1.394    1.965    2.033
 215     4750  2.50    0.664    1.389    1.966    2.033
 216     4750  3.00    0.661    1.385    1.967    2.032
 217     4750  3.50    0.659    1.383    1.967    2.033
 218     4750  4.00    0.661    1.383    1.967    2.033
 219     4750  4.50    0.665    1.384    1.966    2.033
 220     4750  5.00    0.672    1.387    1.963    2.033
 221     5000  0.00    0.729    1.360    1.808    1.872
 222     5000  0.50    0.713    1.347    1.815    1.875
 223     5000  1.00    0.699    1.336    1.818    1.877
 224     5000  1.50    0.689    1.328    1.820    1.877
 225     5000  2.00    0.680    1.321    1.821    1.877
 226     5000  2.50    0.674    1.316    1.822    1.877
 227     5000  3.00    0.670    1.312    1.822    1.877
 228     5000  3.50    0.668    1.310    1.822    1.877
 229     5000  4.00    0.668    1.309    1.822    1.878
 230     5000  4.50    0.671    1.310    1.822    1.878
 231     5000  5.00    0.676    1.313    1.821    1.880
 232     5250  0.00    0.716    1.273    1.656    1.713
 233     5250  0.50    0.703    1.264    1.668    1.721
 234     5250  1.00    0.691    1.256    1.674    1.724
 235     5250  1.50    0.681    1.248    1.677    1.726
 236     5250  2.00    0.673    1.242    1.679    1.726
 237     5250  2.50    0.667    1.237    1.681    1.727
 238     5250  3.00    0.662    1.233    1.681    1.727
 239     5250  3.50    0.660    1.231    1.682    1.727
 240     5250  4.00    0.661    1.230    1.683    1.728
 241     5250  4.50    0.664    1.232    1.682    1.729
 242     5250  5.00    0.669    1.234    1.682    1.731
 243     5500  0.00    0.687    1.178    1.504    1.555
 244     5500  0.50    0.677    1.174    1.521    1.568
 245     5500  1.00    0.668    1.169    1.531    1.575
 246     5500  1.50    0.659    1.163    1.537    1.579
 247     5500  2.00    0.652    1.158    1.540    1.581
 248     5500  2.50    0.646    1.153    1.543    1.582
 249     5500  3.00    0.642    1.150    1.545    1.583
 250     5500  3.50    0.639    1.148    1.546    1.583
 251     5500  4.00    0.640    1.147    1.547    1.584
 252     5500  4.50    0.643    1.148    1.548    1.586
 253     5500  5.00    0.648    1.151    1.548    1.588
 254     5750  0.00    0.646    1.078    1.352    1.399
 255     5750  0.50    0.640    1.080    1.375    1.418
 256     5750  1.00    0.634    1.079    1.389    1.429
 257     5750  1.50    0.628    1.075    1.398    1.435
 258     5750  2.00    0.621    1.071    1.404    1.439
 259     5750  2.50    0.616    1.067    1.408    1.442
 260     5750  3.00    0.612    1.064    1.411    1.443
 261     5750  3.50    0.609    1.062    1.414    1.444
 262     5750  4.00    0.609    1.061    1.416    1.446
 263     5750  4.50    0.612    1.062    1.417    1.448
 264     5750  5.00    0.617    1.065    1.418    1.450
 265     6000  0.00    0.596    0.974    1.202    1.246
 266     6000  0.50    0.596    0.984    1.232    1.271
 267     6000  1.00    0.593    0.987    1.250    1.286
 268     6000  1.50    0.590    0.986    1.262    1.295
 269     6000  2.00    0.585    0.984    1.271    1.302
 270     6000  2.50    0.581    0.981    1.277    1.306
 271     6000  3.00    0.576    0.978    1.281    1.308
 272     6000  3.50    0.573    0.975    1.285    1.310
 273     6000  4.00    0.572    0.974    1.288    1.312
 274     6000  4.50    0.574    0.974    1.291    1.314
 275     6000  5.00    0.579    0.977    1.292    1.317
 276     6250  0.50    0.543    0.884    1.092    1.127
 277     6250  1.00    0.547    0.893    1.115    1.146
 278     6250  1.50    0.546    0.896    1.130    1.159
 279     6250  2.00    0.544    0.896    1.140    1.168
 280     6250  2.50    0.541    0.895    1.148    1.174
 281     6250  3.00    0.537    0.892    1.154    1.178
 282     6250  3.50    0.533    0.889    1.159    1.181
 283     6250  4.00    0.530    0.887    1.163    1.183
 284     6250  4.50    0.531    0.887    1.167    1.185
 285     6250  5.00    0.535    0.888    1.170    1.188
 286     6500  0.50    0.484    0.782    0.955    0.987
 287     6500  1.00    0.493    0.797    0.981    1.010
 288     6500  1.50    0.498    0.805    1.000    1.027
 289     6500  2.00    0.499    0.808    1.013    1.038
 290     6500  2.50    0.498    0.809    1.023    1.046
 291     6500  3.00    0.495    0.807    1.030    1.052
 292     6500  3.50    0.491    0.804    1.037    1.055
 293     6500  4.00    0.487    0.802    1.042    1.058
 294     6500  4.50    0.486    0.800    1.047    1.060
 295     6500  5.00    0.487    0.801    1.052    1.064
 296     6750  0.50    0.426    0.684    0.826    0.854
 297     6750  1.00    0.434    0.699    0.852    0.878
 298     6750  1.50    0.444    0.712    0.873    0.897
 299     6750  2.00    0.450    0.720    0.889    0.911
 300     6750  2.50    0.452    0.722    0.900    0.922
 301     6750  3.00    0.450    0.722    0.910    0.929
 302     6750  3.50    0.447    0.721    0.917    0.934
 303     6750  4.00    0.443    0.718    0.924    0.937
 304     6750  4.50    0.440    0.715    0.930    0.940
 305     6750  5.00    0.439    0.714    0.935    0.943
 306     7000  0.50    0.370    0.589    0.705    0.728
 307     7000  1.00    0.376    0.605    0.730    0.752
 308     7000  1.50    0.385    0.618    0.750    0.771
 309     7000  2.00    0.396    0.629    0.768    0.788
 310     7000  2.50    0.402    0.636    0.782    0.800
 311     7000  3.00    0.403    0.638    0.792    0.810
 312     7000  3.50    0.402    0.638    0.801    0.816
 313     7000  4.00    0.398    0.635    0.809    0.821
 314     7000  4.50    0.394    0.633    0.816    0.824
 315     7000  5.00    0.392    0.631    0.822    0.827
 316     7250  0.50    0.319    0.499    0.594    0.613
 317     7250  1.00    0.320    0.514    0.615    0.633
 318     7250  1.50    0.328    0.527    0.634    0.652
 319     7250  2.00    0.336    0.538    0.650    0.668
 320     7250  2.50    0.347    0.548    0.665    0.682
 321     7250  3.00    0.353    0.554    0.678    0.693
 322     7250  3.50    0.354    0.555    0.688    0.701
 323     7250  4.00    0.352    0.554    0.696    0.707
 324     7250  4.50    0.348    0.551    0.705    0.711
 325     7250  5.00    0.345    0.549    0.712    0.715
 326     7500  0.50    0.281    0.419    0.496    0.509
 327     7500  1.00    0.267    0.427    0.509    0.522
 328     7500  1.50    0.273    0.440    0.525    0.539
 329     7500  2.00    0.280    0.450    0.539    0.554
 330     7500  2.50    0.289    0.459    0.553    0.568
 331     7500  3.00    0.299    0.468    0.566    0.580
 332     7500  3.50    0.304    0.472    0.577    0.590
 333     7500  4.00    0.304    0.473    0.587    0.597
 334     7500  4.50    0.302    0.471    0.596    0.602
 335     7500  5.00    0.298    0.469    0.605    0.606
 336     7750  1.00    0.217    0.343    0.409    0.419
 337     7750  1.50    0.218    0.354    0.422    0.432
 338     7750  2.00    0.224    0.365    0.434    0.446
 339     7750  2.50    0.232    0.374    0.446    0.459
 340     7750  3.00    0.241    0.382    0.458    0.470
 341     7750  3.50    0.250    0.389    0.470    0.481
 342     7750  4.00    0.254    0.392    0.480    0.490
 343     7750  4.50    0.254    0.392    0.491    0.496
 344     7750  5.00    0.251    0.390    0.500    0.501
 345     8000  1.00    0.172    0.264    0.319    0.323
 346     8000  1.50    0.163    0.270    0.325    0.330
 347     8000  2.00    0.168    0.280    0.334    0.342
 348     8000  2.50    0.175    0.289    0.344    0.354
 349     8000  3.00    0.183    0.297    0.354    0.365
 350     8000  3.50    0.192    0.304    0.365    0.376
 351     8000  4.00    0.200    0.311    0.377    0.385
 352     8000  4.50    0.203    0.313    0.388    0.393
 353     8000  5.00    0.202    0.312    0.398    0.398
 354     8250  1.00    0.128    0.187    0.234    0.234
 355     8250  1.50    0.109    0.189    0.233    0.234
 356     8250  2.00    0.110    0.197    0.239    0.243
 357     8250  2.50    0.116    0.206    0.247    0.254
 358     8250  3.00    0.125    0.214    0.255    0.264
 359     8250  3.50    0.133    0.221    0.265    0.274
 360     8250  4.00    0.142    0.228    0.275    0.284
 361     8250  4.50    0.150    0.234    0.287    0.292
 362     8250  5.00    0.152    0.235    0.298    0.298
 363     8500  1.50    0.057    0.110    0.146    0.143
 364     8500  2.00    0.052    0.115    0.149    0.149
 365     8500  2.50    0.056    0.123    0.154    0.157
 366     8500  3.00    0.064    0.131    0.161    0.167
 367     8500  3.50    0.073    0.139    0.169    0.176
 368     8500  4.00    0.081    0.145    0.178    0.185
 369     8500  4.50    0.092    0.152    0.189    0.194
 370     8500  5.00    0.099    0.157    0.201    0.201
 371     8750  1.50    0.003    0.032    0.063    0.056
 372     8750  2.00   -0.005    0.035    0.062    0.058
 373     8750  2.50   -0.004    0.042    0.065    0.064
 374     8750  3.00    0.002    0.049    0.070    0.072
 375     8750  3.50    0.011    0.056    0.076    0.081
 376     8750  4.00    0.020    0.063    0.084    0.089
 377     8750  4.50    0.030    0.070    0.093    0.098
 378     8750  5.00    0.042    0.077    0.106    0.106
 379     9000  1.50   -0.052   -0.045   -0.019   -0.029
 380     9000  2.00   -0.062   -0.042   -0.022   -0.030
 381     9000  2.50   -0.064   -0.038   -0.021   -0.026
 382     9000  3.00   -0.060   -0.032   -0.019   -0.020
 383     9000  3.50   -0.053   -0.025   -0.014   -0.012
 384     9000  4.00   -0.044   -0.018   -0.007   -0.004
 385     9000  4.50   -0.033   -0.012    0.001    0.004
 386     9000  5.00   -0.021   -0.005    0.012    0.012
 387     9250  2.00   -0.118   -0.118   -0.102   -0.114
 388     9250  2.50   -0.123   -0.116   -0.104   -0.113
 389     9250  3.00   -0.122   -0.111   -0.104   -0.108
 390     9250  3.50   -0.116   -0.106   -0.101   -0.102
 391     9250  4.00   -0.108   -0.099   -0.096   -0.095
 392     9250  4.50   -0.098   -0.093   -0.089   -0.087
 393     9250  5.00   -0.087   -0.086   -0.079   -0.080
 394     9500  2.00   -0.175   -0.193   -0.181   -0.196
 395     9500  2.50   -0.181   -0.191   -0.184   -0.196
 396     9500  3.00   -0.182   -0.188   -0.185   -0.194
 397     9500  3.50   -0.179   -0.184   -0.185   -0.189
 398     9500  4.00   -0.172   -0.179   -0.181   -0.183
 399     9500  4.50   -0.162   -0.172   -0.175   -0.177
 400     9500  5.00   -0.151   -0.166   -0.167   -0.169
 401     9750  2.00   -0.231   -0.266   -0.258   -0.275
 402     9750  2.50   -0.239   -0.265   -0.262   -0.278
 403     9750  3.00   -0.242   -0.264   -0.265   -0.277
 404     9750  3.50   -0.241   -0.260   -0.266   -0.274
 405     9750  4.00   -0.235   -0.256   -0.264   -0.269
 406     9750  4.50   -0.227   -0.251   -0.260   -0.263
 407     9750  5.00   -0.216   -0.245   -0.252   -0.256
 408    10000  2.00   -0.288   -0.337   -0.333   -0.352
 409    10000  2.50   -0.296   -0.337   -0.338   -0.356
 410    10000  3.00   -0.301   -0.337   -0.342   -0.357
 411    10000  3.50   -0.301   -0.335   -0.344   -0.356
 412    10000  4.00   -0.297   -0.332   -0.344   -0.352
 413    10000  4.50   -0.290   -0.327   -0.341   -0.347
 414    10000  5.00   -0.280   -0.322   -0.335   -0.341
 415    10250  2.00   -0.344   -0.407   -0.406   -0.427
 416    10250  2.50   -0.353   -0.408   -0.412   -0.433
 417    10250  3.00   -0.359   -0.409   -0.417   -0.435
 418    10250  3.50   -0.361   -0.408   -0.421   -0.435
 419    10250  4.00   -0.359   -0.406   -0.422   -0.433
 420    10250  4.50   -0.352   -0.402   -0.420   -0.429
 421    10250  5.00   -0.343   -0.397   -0.415   -0.424
 422    10500  2.00   -0.400   -0.476   -0.478   -0.501
 423    10500  2.50   -0.409   -0.477   -0.485   -0.507
 424    10500  3.00   -0.416   -0.479   -0.491   -0.511
 425    10500  3.50   -0.419   -0.480   -0.495   -0.512
 426    10500  4.00   -0.419   -0.478   -0.497   -0.511
 427    10500  4.50   -0.414   -0.475   -0.497   -0.508
 428    10500  5.00   -0.406   -0.471   -0.493   -0.504
 429    10750  2.00   -0.456   -0.544   -0.549   -0.573
 430    10750  2.50   -0.464   -0.545   -0.556   -0.580
 431    10750  3.00   -0.472   -0.547   -0.562   -0.585
 432    10750  3.50   -0.477   -0.549   -0.568   -0.587
 433    10750  4.00   -0.478   -0.549   -0.571   -0.587
 434    10750  4.50   -0.474   -0.547   -0.572   -0.586
 435    10750  5.00   -0.467   -0.543   -0.569   -0.582
 436    11000  2.00   -0.512   -0.611   -0.619   -0.645
 437    11000  2.50   -0.520   -0.611   -0.625   -0.651
 438    11000  3.00   -0.528   -0.615   -0.632   -0.657
 439    11000  3.50   -0.534   -0.617   -0.638   -0.660
 440    11000  4.00   -0.536   -0.618   -0.643   -0.662
 441    11000  4.50   -0.534   -0.617   -0.644   -0.661
 442    11000  5.00   -0.528   -0.614   -0.643   -0.659
 443    11250  2.00   -0.567   -0.677   -0.688   -0.715
 444    11250  2.50   -0.575   -0.677   -0.694   -0.722
 445    11250  3.00   -0.583   -0.681   -0.701   -0.728
 446    11250  3.50   -0.590   -0.684   -0.708   -0.732
 447    11250  4.00   -0.593   -0.686   -0.713   -0.734
 448    11250  4.50   -0.592   -0.686   -0.715   -0.734
 449    11250  5.00   -0.587   -0.684   -0.715   -0.733
 450    11500  2.00   -0.623   -0.742   -0.755   -0.784
 451    11500  2.50   -0.630   -0.742   -0.761   -0.791
 452    11500  3.00   -0.638   -0.745   -0.769   -0.797
 453    11500  3.50   -0.645   -0.749   -0.776   -0.802
 454    11500  4.00   -0.649   -0.752   -0.781   -0.805
 455    11500  4.50   -0.650   -0.753   -0.785   -0.806
 456    11500  5.00   -0.646   -0.752   -0.785   -0.805
 457    11750  2.00   -0.678   -0.806   -0.822   -0.852
 458    11750  2.50   -0.684   -0.806   -0.828   -0.858
 459    11750  3.00   -0.693   -0.809   -0.835   -0.865
 460    11750  3.50   -0.700   -0.813   -0.842   -0.870
 461    11750  4.00   -0.705   -0.817   -0.849   -0.874
 462    11750  4.50   -0.706   -0.818   -0.852   -0.876
 463    11750  5.00   -0.703   -0.818   -0.854   -0.876
 464    12000  2.50   -0.739   -0.869   -0.893   -0.925
 465    12000  3.00   -0.747   -0.872   -0.900   -0.932
 466    12000  3.50   -0.754   -0.877   -0.908   -0.937
 467    12000  4.00   -0.759   -0.880   -0.914   -0.942
 468    12000  4.50   -0.761   -0.883   -0.919   -0.945
 469    12000  5.00   -0.760   -0.883   -0.921   -0.946
 470    12250  2.50   -0.792   -0.931   -0.957   -0.991
 471    12250  3.00   -0.800   -0.934   -0.965   -0.998
 472    12250  3.50   -0.808   -0.939   -0.972   -1.004
 473    12250  4.00   -0.813   -0.943   -0.979   -1.008
 474    12250  4.50   -0.816   -0.946   -0.984   -1.012
 475    12250  5.00   -0.815   -0.947   -0.987   -1.013
 476    12500  2.50   -0.845   -0.992   -1.021   -1.056
 477    12500  3.00   -0.854   -0.996   -1.028   -1.062
 478    12500  3.50   -0.861   -1.000   -1.036   -1.068
 479    12500  4.00   -0.867   -1.004   -1.043   -1.074
 480    12500  4.50   -0.870   -1.008   -1.048   -1.077
 481    12500  5.00   -0.870   -1.009   -1.051   -1.080
 482    12750  2.50   -0.898   -1.052   -1.083   -1.120
 483    12750  3.00   -0.906   -1.056   -1.091   -1.126
 484    12750  3.50   -0.913   -1.060   -1.098   -1.132
 485    12750  4.00   -0.919   -1.065   -1.105   -1.138
 486    12750  4.50   -0.923   -1.068   -1.111   -1.142
 487    12750  5.00   -0.923   -1.070   -1.114   -1.145
 488    13000  2.50   -0.950   -1.112   -1.145   -1.183
 489    13000  3.00   -0.958   -1.115   -1.152   -1.189
 490    13000  3.50   -0.966   -1.120   -1.160   -1.195
 491    13000  4.00   -0.971   -1.124   -1.167   -1.201
 492    13000  4.50   -0.975   -1.128   -1.172   -1.205
 493    13000  5.00   -0.976   -1.131   -1.176   -1.208
 494    14000  2.00   -1.141   -1.336   -1.371   -1.413
 495    14000  2.50   -1.150   -1.339   -1.380   -1.423
 496    14000  3.00   -1.160   -1.344   -1.388   -1.430
 497    14000  3.50   -1.168   -1.349   -1.396   -1.437
 498    14000  4.00   -1.174   -1.353   -1.402   -1.442
 499    14000  4.50   -1.177   -1.357   -1.408   -1.447
 500    14000  5.00   -1.179   -1.360   -1.413   -1.451
 501    15000  2.50   -1.337   -1.550   -1.598   -1.646
 502    15000  3.00   -1.350   -1.558   -1.609   -1.656
 503    15000  3.50   -1.360   -1.564   -1.617   -1.663
 504    15000  4.00   -1.366   -1.568   -1.624   -1.668
 505    15000  4.50   -1.370   -1.572   -1.630   -1.673
