# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        U        B        V        R        I        J        H        K
  70     1700  3.50  -17.481  -12.456   -8.506   -5.300   -2.795    1.312    2.579    3.515
  71     1700  4.00  -17.144  -12.072   -8.130   -5.007   -2.565    1.362    2.641    3.543
  72     1700  4.50  -15.931  -11.076   -7.399   -4.452   -2.046    1.732    2.864    3.639
  73     1700  5.00  -17.077  -12.235   -8.269   -5.081   -2.640    1.282    2.689    3.571
  74     1700  5.50  -17.350  -12.632   -8.599   -5.372   -2.967    0.971    2.562    3.532
  75     1700  6.00  -17.526  -12.797   -8.753   -5.542   -3.198    0.710    2.436    3.501
  76     1800  3.50  -15.888  -11.323   -7.784   -4.781   -2.259    1.600    2.624    3.428
  77     1800  4.00  -15.717  -11.107   -7.566   -4.633   -2.157    1.641    2.675    3.437
  78     1800  4.50  -14.792  -10.366   -6.968   -4.190   -1.793    1.829    2.804    3.476
  79     1800  5.00  -14.704  -10.336   -6.951   -4.150   -1.755    1.862    2.873    3.502
  80     1800  5.50  -15.525  -11.046   -7.439   -4.482   -2.094    1.569    2.763    3.453
  81     1800  6.00  -15.630  -11.161   -7.508   -4.513   -2.138    1.506    2.769    3.492
  82     1900  3.50  -13.433   -9.971   -7.013   -4.262   -1.718    1.888    2.688    3.362
  83     1900  4.00  -14.567  -10.283   -7.094   -4.308   -1.783    1.819    2.678    3.344
  84     1900  4.50  -15.605  -10.923   -7.474   -4.561   -2.049    1.623    2.616    3.297
  85     1900  5.00  -14.662  -10.244   -6.953   -4.167   -1.720    1.802    2.752    3.329
  86     1900  5.50  -14.705  -10.477   -7.122   -4.287   -1.883    1.681    2.733    3.291
  87     1900  6.00  -14.657  -10.515   -7.116   -4.290   -1.950    1.573    2.689    3.272
  88     2000  3.50  -11.686   -9.069   -6.597   -4.012   -1.426    2.003    2.684    3.284
  89     2000  4.00  -12.959   -9.328   -6.540   -3.943   -1.391    1.977    2.692    3.275
  90     2000  4.50  -13.759   -9.472   -6.515   -3.889   -1.360    1.972    2.714    3.255
  91     2000  5.00  -14.243   -9.718   -6.647   -3.943   -1.431    1.915    2.726    3.219
  92     2000  5.50  -14.319  -10.137   -6.927   -4.152   -1.702    1.737    2.692    3.171
  93     2000  6.00  -13.858   -9.930   -6.747   -4.043   -1.691    1.686    2.677    3.136
  94     2100  4.00  -11.439   -8.506   -6.076   -3.667   -1.112    2.058    2.681    3.204
  95     2100  5.00  -13.108   -8.773   -6.002   -3.500   -0.981    2.079    2.757    3.178
  96     2100  5.50  -13.873   -9.383   -6.444   -3.768   -1.250    1.908    2.716    3.103
  97     2100  6.00  -13.759   -9.683   -6.647   -3.931   -1.486    1.759    2.658    3.023
  98     2200  3.50   -8.915   -7.345   -5.579   -3.415   -0.890    2.123    2.654    3.143
  99     2200  4.00  -10.005   -7.690   -5.578   -3.373   -0.856    2.110    2.664    3.138
 100     2200  4.50  -11.242   -8.008   -5.630   -3.344   -0.810    2.119    2.691    3.128
 101     2200  5.00  -12.318   -8.239   -5.663   -3.287   -0.763    2.109    2.726    3.115
 102     2200  5.50  -13.104   -8.598   -5.900   -3.380   -0.855    2.040    2.738    3.063
 103     2200  6.00  -13.227   -8.736   -6.015   -3.416   -0.908    1.985    2.727    2.978
 104     2300  3.50   -7.944   -6.653   -5.071   -3.087   -0.654    2.133    2.628    3.082
 105     2300  4.00   -8.895   -6.987   -5.084   -3.058   -0.621    2.122    2.640    3.081
 106     2300  4.50  -10.098   -7.366   -5.193   -3.071   -0.595    2.127    2.663    3.072
 107     2300  5.00  -11.397   -7.702   -5.294   -3.053   -0.567    2.111    2.691    3.059
 108     2300  5.50  -12.347   -7.970   -5.450   -3.077   -0.578    2.089    2.724    3.024
 109     2300  6.00  -12.604   -8.087   -5.533   -3.069   -0.579    2.070    2.747    2.957
 110     2400  3.50   -7.187   -6.065   -4.578   -2.745   -0.433    2.124    2.598    3.025
 111     2400  4.00   -7.975   -6.355   -4.599   -2.729   -0.405    2.114    2.610    3.026
 112     2400  4.50   -9.030   -6.726   -4.726   -2.771   -0.387    2.125    2.634    3.017
 113     2400  5.50  -11.371   -7.361   -4.991   -2.776   -0.334    2.117    2.708    2.988
 114     2400  6.00  -12.075   -7.607   -5.172   -2.818   -0.368    2.083    2.724    2.925
 115     2500  3.50   -6.668   -5.611   -4.142   -2.423   -0.247    2.090    2.558    2.968
 116     2500  4.00   -7.276   -5.823   -4.145   -2.405   -0.213    2.087    2.574    2.973
 117     2500  4.50   -8.174   -6.166   -4.290   -2.476   -0.204    2.103    2.599    2.965
 118     2500  5.00   -9.277   -6.499   -4.401   -2.481   -0.166    2.109    2.635    2.966
 119     2500  5.50  -10.490   -6.843   -4.581   -2.509   -0.154    2.103    2.670    2.950
 120     2500  6.00  -11.349   -7.104   -4.773   -2.548   -0.169    2.088    2.702    2.903
 121     2600  3.50   -6.257   -5.230   -3.763   -2.139   -0.093    2.052    2.518    2.912
 122     2600  4.00   -6.736   -5.380   -3.745   -2.113   -0.054    2.048    2.535    2.919
 123     2600  4.50   -7.483   -5.674   -3.883   -2.191   -0.044    2.069    2.561    2.915
 124     2600  5.00   -8.381   -5.955   -3.968   -2.198   -0.006    2.080    2.598    2.919
 125     2600  5.50   -9.530   -6.299   -4.143   -2.233    0.012    2.082    2.636    2.912
 126     2600  6.00  -10.529   -6.622   -4.372   -2.290   -0.004    2.069    2.667    2.878
 127     2700  3.50   -5.926   -4.917   -3.458   -1.914    0.020    2.012    2.478    2.855
 128     2700  4.00   -6.284   -4.997   -3.396   -1.858    0.075    2.008    2.496    2.866
 129     2700  4.50   -6.891   -5.230   -3.508   -1.928    0.094    2.032    2.525    2.865
 130     2700  5.00   -7.636   -5.470   -3.572   -1.933    0.128    2.041    2.557    2.872
 131     2700  5.50   -8.637   -5.787   -3.724   -1.970    0.151    2.049    2.597    2.873
 132     2700  6.00   -9.673   -6.123   -3.951   -2.028    0.146    2.045    2.632    2.852
 133     2800  5.00   -7.980   -5.296   -3.245   -1.621    0.333    1.971    2.536    2.801
 134     2800  5.50   -8.939   -5.641   -3.448   -1.659    0.358    1.988    2.563    2.766
 135     2900  5.00   -7.228   -4.819   -2.853   -1.388    0.407    1.930    2.502    2.770
 136     2900  5.50   -8.122   -5.147   -3.040   -1.441    0.425    1.944    2.528    2.746
 137     3000  5.00   -6.592   -4.421   -2.527   -1.182    0.459    1.885    2.462    2.731
 138     3000  5.50   -7.354   -4.686   -2.663   -1.225    0.484    1.903    2.491    2.722
 139     3100  5.00   -6.035   -4.056   -2.234   -0.987    0.508    1.848    2.427    2.694
 140     3100  5.50   -6.669   -4.287   -2.344   -1.027    0.527    1.860    2.453    2.690
 141     3200  5.00   -5.585   -3.759   -1.998   -0.824    0.542    1.810    2.388    2.652
 142     3200  5.50   -6.074   -3.933   -2.065   -0.843    0.564    1.823    2.415    2.655
 143     3300  5.00   -5.192   -3.488   -1.787   -0.673    0.577    1.779    2.356    2.614
 144     3300  5.50   -5.570   -3.627   -1.830   -0.683    0.594    1.788    2.377    2.617
 145     3400  5.00   -4.867   -3.255   -1.609   -0.542    0.606    1.749    2.325    2.576
 146     3400  5.50   -5.143   -3.363   -1.634   -0.545    0.620    1.754    2.339    2.577
 147     3500  5.00   -4.591   -3.048   -1.453   -0.425    0.631    1.720    2.297    2.541
 148     3500  5.50   -4.779   -3.129   -1.465   -0.421    0.643    1.724    2.304    2.538
 149     3600  5.00   -4.353   -2.867   -1.317   -0.320    0.650    1.690    2.270    2.508
 150     3600  5.50   -4.464   -2.927   -1.324   -0.316    0.660    1.692    2.267    2.498
 151     3700  5.00   -4.147   -2.716   -1.204   -0.235    0.658    1.654    2.238    2.470
 152     3700  5.50   -4.211   -2.748   -1.199   -0.222    0.677    1.663    2.234    2.460
 153     3800  5.00   -3.950   -2.562   -1.090   -0.151    0.672    1.626    2.214    2.436
 154     3800  5.50   -3.967   -2.587   -1.091   -0.143    0.687    1.630    2.200    2.419
 155     3500  0.00   -5.976   -3.723   -1.853   -0.765    0.323    1.666    2.673    2.863
 156     3500  0.50   -5.564   -3.561   -1.821   -0.764    0.343    1.674    2.675    2.849
 157     3500  1.00   -5.170   -3.409   -1.788   -0.753    0.371    1.689    2.669    2.827
 158     3500  1.50   -4.811   -3.265   -1.747   -0.731    0.408    1.709    2.654    2.795
 159     3500  2.00   -4.494   -3.122   -1.695   -0.694    0.453    1.732    2.628    2.752
 160     3500  2.50   -4.225   -2.987   -1.630   -0.644    0.503    1.754    2.590    2.702
 161     3500  3.00   -4.015   -2.867   -1.550   -0.573    0.563    1.773    2.532    2.641
 162     3500  3.50   -3.863   -2.775   -1.451   -0.473    0.630    1.780    2.437    2.574
 163     3500  4.00   -3.783   -2.716   -1.362   -0.377    0.676    1.778    2.344    2.518
 164     3500  4.50   -3.800   -2.711   -1.314   -0.313    0.698    1.772    2.295    2.485
 165     3500  5.00   -3.900   -2.753   -1.305   -0.275    0.708    1.770    2.276    2.470
 166     3750  0.00   -5.357   -3.073   -1.294   -0.349    0.459    1.619    2.532    2.691
 167     3750  0.50   -5.006   -2.958   -1.275   -0.350    0.458    1.609    2.540    2.691
 168     3750  1.00   -4.691   -2.866   -1.266   -0.353    0.463    1.606    2.545    2.688
 169     3750  1.50   -4.412   -2.785   -1.260   -0.354    0.474    1.610    2.544    2.679
 170     3750  2.00   -4.164   -2.705   -1.250   -0.349    0.494    1.620    2.536    2.661
 171     3750  2.50   -3.948   -2.624   -1.231   -0.336    0.521    1.635    2.521    2.636
 172     3750  3.00   -3.777   -2.550   -1.205   -0.312    0.556    1.652    2.494    2.600
 173     3750  3.50   -3.649   -2.493   -1.168   -0.270    0.603    1.666    2.443    2.550
 174     3750  4.00   -3.535   -2.446   -1.117   -0.209    0.654    1.672    2.356    2.492
 175     3750  4.50   -3.466   -2.414   -1.072   -0.154    0.691    1.675    2.279    2.444
 176     3750  5.00   -3.471   -2.418   -1.053   -0.118    0.711    1.677    2.240    2.416
 177     4000  0.00   -4.559   -2.552   -0.926   -0.112    0.569    1.589    2.386    2.510
 178     4000  0.50   -4.241   -2.446   -0.909   -0.115    0.560    1.573    2.393    2.513
 179     4000  1.00   -3.972   -2.370   -0.905   -0.119    0.554    1.562    2.399    2.515
 180     4000  1.50   -3.756   -2.316   -0.909   -0.123    0.551    1.555    2.403    2.517
 181     4000  2.00   -3.588   -2.276   -0.916   -0.126    0.551    1.551    2.405    2.516
 182     4000  2.50   -3.463   -2.244   -0.922   -0.125    0.557    1.552    2.403    2.513
 183     4000  3.00   -3.370   -2.214   -0.924   -0.119    0.568    1.558    2.397    2.503
 184     4000  3.50   -3.307   -2.188   -0.919   -0.105    0.591    1.569    2.379    2.482
 185     4000  4.00   -3.252   -2.174   -0.906   -0.076    0.630    1.579    2.334    2.443
 186     4000  4.50   -3.182   -2.157   -0.883   -0.038    0.674    1.586    2.262    2.394
 187     4000  5.00   -3.128   -2.143   -0.862   -0.005    0.706    1.591    2.196    2.353
 188     4250  0.00   -3.809   -2.154   -0.670    0.051    0.650    1.548    2.239    2.337
 189     4250  0.50   -3.530   -2.053   -0.652    0.045    0.637    1.531    2.244    2.340
 190     4250  1.00   -3.294   -1.980   -0.646    0.038    0.627    1.519    2.248    2.342
 191     4250  1.50   -3.104   -1.929   -0.649    0.031    0.620    1.509    2.251    2.344
 192     4250  2.00   -2.958   -1.893   -0.658    0.025    0.616    1.503    2.254    2.346
 193     4250  2.50   -2.856   -1.868   -0.668    0.021    0.614    1.498    2.256    2.348
 194     4250  3.00   -2.795   -1.854   -0.680    0.020    0.614    1.497    2.256    2.349
 195     4250  3.50   -2.778   -1.850   -0.691    0.022    0.618    1.498    2.254    2.348
 196     4250  4.00   -2.790   -1.854   -0.699    0.030    0.628    1.502    2.245    2.342
 197     4250  4.50   -2.805   -1.870   -0.702    0.050    0.657    1.508    2.211    2.317
 198     4250  5.00   -2.794   -1.880   -0.696    0.076    0.692    1.514    2.156    2.280
 199     4500  0.00   -3.179   -1.837   -0.488    0.168    0.708    1.494    2.093    2.173
 200     4500  0.50   -2.948   -1.749   -0.471    0.160    0.691    1.478    2.096    2.175
 201     4500  1.00   -2.753   -1.685   -0.464    0.152    0.680    1.466    2.098    2.176
 202     4500  1.50   -2.597   -1.640   -0.465    0.144    0.671    1.457    2.100    2.177
 203     4500  2.00   -2.475   -1.607   -0.470    0.136    0.665    1.450    2.102    2.179
 204     4500  2.50   -2.386   -1.585   -0.479    0.131    0.661    1.445    2.103    2.181
 205     4500  3.00   -2.329   -1.569   -0.489    0.127    0.659    1.441    2.104    2.182
 206     4500  3.50   -2.307   -1.562   -0.500    0.127    0.659    1.440    2.104    2.184
 207     4500  4.00   -2.319   -1.564   -0.511    0.129    0.662    1.441    2.103    2.185
 208     4500  4.50   -2.356   -1.575   -0.523    0.136    0.670    1.445    2.098    2.184
 209     4500  5.00   -2.404   -1.597   -0.532    0.149    0.690    1.450    2.077    2.170
 210     4750  0.00   -2.631   -1.550   -0.347    0.248    0.741    1.430    1.948    2.015
 211     4750  0.50   -2.439   -1.481   -0.335    0.239    0.724    1.414    1.952    2.017
 212     4750  1.00   -2.278   -1.430   -0.331    0.230    0.711    1.403    1.953    2.018
 213     4750  1.50   -2.149   -1.394   -0.331    0.222    0.701    1.393    1.954    2.018
 214     4750  2.00   -2.051   -1.369   -0.334    0.214    0.693    1.387    1.955    2.019
 215     4750  2.50   -1.979   -1.352   -0.340    0.208    0.688    1.382    1.956    2.020
 216     4750  3.00   -1.931   -1.339   -0.346    0.203    0.684    1.378    1.956    2.022
 217     4750  3.50   -1.909   -1.331   -0.353    0.201    0.683    1.376    1.957    2.024
 218     4750  4.00   -1.914   -1.329   -0.361    0.202    0.684    1.376    1.956    2.026
 219     4750  4.50   -1.942   -1.332   -0.371    0.206    0.688    1.378    1.955    2.028
 220     4750  5.00   -1.995   -1.345   -0.381    0.213    0.695    1.381    1.952    2.029
 221     5000  0.00   -2.130   -1.276   -0.231    0.301    0.750    1.354    1.800    1.864
 222     5000  0.50   -1.977   -1.231   -0.228    0.290    0.733    1.341    1.807    1.866
 223     5000  1.00   -1.844   -1.195   -0.228    0.280    0.720    1.330    1.810    1.867
 224     5000  1.50   -1.737   -1.171   -0.230    0.271    0.709    1.321    1.811    1.867
 225     5000  2.00   -1.655   -1.155   -0.234    0.263    0.701    1.315    1.812    1.868
 226     5000  2.50   -1.596   -1.145   -0.239    0.256    0.695    1.310    1.813    1.868
 227     5000  3.00   -1.558   -1.139   -0.244    0.252    0.691    1.306    1.813    1.869
 228     5000  3.50   -1.542   -1.136   -0.248    0.249    0.688    1.304    1.813    1.870
 229     5000  4.00   -1.546   -1.135   -0.252    0.250    0.689    1.303    1.813    1.872
 230     5000  4.50   -1.570   -1.137   -0.257    0.253    0.692    1.304    1.813    1.874
 231     5000  5.00   -1.612   -1.142   -0.263    0.259    0.697    1.307    1.812    1.876
 232     5250  0.00   -1.689   -1.020   -0.134    0.333    0.735    1.268    1.649    1.712
 233     5250  0.50   -1.575   -0.997   -0.140    0.321    0.721    1.259    1.660    1.718
 234     5250  1.00   -1.471   -0.980   -0.145    0.310    0.710    1.251    1.667    1.721
 235     5250  1.50   -1.383   -0.969   -0.152    0.300    0.700    1.243    1.670    1.722
 236     5250  2.00   -1.315   -0.964   -0.159    0.291    0.692    1.236    1.672    1.723
 237     5250  2.50   -1.264   -0.962   -0.165    0.284    0.685    1.231    1.673    1.723
 238     5250  3.00   -1.232   -0.964   -0.170    0.279    0.681    1.228    1.674    1.723
 239     5250  3.50   -1.218   -0.967   -0.174    0.276    0.679    1.226    1.675    1.724
 240     5250  4.00   -1.221   -0.971   -0.176    0.277    0.679    1.225    1.675    1.725
 241     5250  4.50   -1.243   -0.975   -0.178    0.280    0.682    1.226    1.675    1.727
 242     5250  5.00   -1.279   -0.980   -0.179    0.286    0.687    1.229    1.674    1.729
 243     5500  0.00   -1.331   -0.793   -0.057    0.348    0.705    1.174    1.497    1.556
 244     5500  0.50   -1.246   -0.788   -0.068    0.335    0.694    1.170    1.514    1.568
 245     5500  1.00   -1.165   -0.786   -0.079    0.324    0.684    1.164    1.524    1.575
 246     5500  1.50   -1.094   -0.788   -0.090    0.314    0.676    1.159    1.530    1.578
 247     5500  2.00   -1.037   -0.793   -0.100    0.304    0.669    1.153    1.534    1.580
 248     5500  2.50   -0.992   -0.801   -0.109    0.296    0.663    1.149    1.536    1.581
 249     5500  3.00   -0.962   -0.810   -0.116    0.291    0.658    1.145    1.538    1.581
 250     5500  3.50   -0.945   -0.820   -0.121    0.287    0.656    1.143    1.540    1.582
 251     5500  4.00   -0.944   -0.829   -0.124    0.287    0.656    1.142    1.541    1.583
 252     5500  4.50   -0.959   -0.837   -0.125    0.290    0.659    1.143    1.541    1.585
 253     5500  5.00   -0.988   -0.845   -0.124    0.296    0.665    1.146    1.541    1.587
 254     5750  0.00   -1.050   -0.601    0.004    0.349    0.664    1.075    1.346    1.401
 255     5750  0.50   -0.994   -0.610   -0.011    0.339    0.657    1.077    1.369    1.419
 256     5750  1.00   -0.932   -0.618   -0.026    0.328    0.649    1.075    1.383    1.429
 257     5750  1.50   -0.874   -0.629   -0.040    0.317    0.643    1.071    1.392    1.436
 258     5750  2.00   -0.823   -0.643   -0.053    0.308    0.636    1.067    1.398    1.439
 259     5750  2.50   -0.782   -0.660   -0.065    0.299    0.631    1.063    1.403    1.442
 260     5750  3.00   -0.751   -0.677   -0.076    0.292    0.626    1.060    1.406    1.443
 261     5750  3.50   -0.730   -0.693   -0.084    0.287    0.624    1.057    1.408    1.444
 262     5750  4.00   -0.722   -0.707   -0.088    0.285    0.624    1.057    1.410    1.446
 263     5750  4.50   -0.727   -0.720   -0.090    0.287    0.626    1.058    1.412    1.448
 264     5750  5.00   -0.746   -0.730   -0.089    0.293    0.632    1.060    1.412    1.450
 265     6000  0.00   -0.818   -0.434    0.048    0.339    0.614    0.972    1.197    1.247
 266     6000  0.50   -0.795   -0.457    0.034    0.333    0.612    0.981    1.226    1.272
 267     6000  1.00   -0.755   -0.475    0.018    0.324    0.608    0.983    1.245    1.286
 268     6000  1.50   -0.710   -0.494    0.002    0.315    0.604    0.983    1.257    1.296
 269     6000  2.00   -0.667   -0.515   -0.014    0.305    0.599    0.980    1.266    1.302
 270     6000  2.50   -0.629   -0.538   -0.030    0.295    0.594    0.977    1.272    1.306
 271     6000  3.00   -0.596   -0.561   -0.044    0.286    0.589    0.974    1.276    1.308
 272     6000  3.50   -0.571   -0.584   -0.056    0.279    0.586    0.971    1.280    1.310
 273     6000  4.00   -0.555   -0.604   -0.064    0.275    0.585    0.970    1.283    1.312
 274     6000  4.50   -0.549   -0.622   -0.068    0.275    0.587    0.970    1.286    1.314
 275     6000  5.00   -0.556   -0.635   -0.068    0.280    0.592    0.973    1.287    1.317
 276     6250  0.50   -0.626   -0.321    0.067    0.317    0.560    0.882    1.086    1.128
 277     6250  1.00   -0.612   -0.350    0.054    0.314    0.561    0.890    1.109    1.147
 278     6250  1.50   -0.584   -0.377    0.037    0.307    0.560    0.893    1.125    1.160
 279     6250  2.00   -0.552   -0.405    0.019    0.297    0.557    0.893    1.136    1.168
 280     6250  2.50   -0.519   -0.433    0.001    0.287    0.553    0.891    1.144    1.174
 281     6250  3.00   -0.487   -0.463   -0.017    0.277    0.548    0.888    1.150    1.178
 282     6250  3.50   -0.459   -0.491   -0.033    0.267    0.544    0.885    1.155    1.181
 283     6250  4.00   -0.434   -0.517   -0.046    0.260    0.542    0.883    1.159    1.183
 284     6250  4.50   -0.418   -0.539   -0.054    0.257    0.542    0.883    1.163    1.185
 285     6250  5.00   -0.412   -0.557   -0.057    0.259    0.546    0.885    1.166    1.188
 286     6500  0.50   -0.473   -0.198    0.088    0.292    0.501    0.781    0.950    0.987
 287     6500  1.00   -0.487   -0.237    0.078    0.295    0.508    0.795    0.977    1.011
 288     6500  1.50   -0.480   -0.274    0.065    0.293    0.511    0.803    0.995    1.027
 289     6500  2.00   -0.461   -0.308    0.047    0.286    0.511    0.806    1.009    1.038
 290     6500  2.50   -0.437   -0.342    0.027    0.276    0.509    0.806    1.019    1.046
 291     6500  3.00   -0.409   -0.377    0.006    0.265    0.505    0.804    1.027    1.052
 292     6500  3.50   -0.380   -0.412   -0.014    0.254    0.501    0.801    1.033    1.055
 293     6500  4.00   -0.352   -0.444   -0.031    0.244    0.497    0.798    1.038    1.058
 294     6500  4.50   -0.328   -0.471   -0.044    0.237    0.496    0.796    1.043    1.060
 295     6500  5.00   -0.310   -0.493   -0.052    0.235    0.498    0.797    1.048    1.064
 296     6750  0.50   -0.348   -0.106    0.105    0.267    0.444    0.683    0.821    0.854
 297     6750  1.00   -0.372   -0.134    0.093    0.267    0.449    0.698    0.847    0.878
 298     6750  1.50   -0.388   -0.178    0.084    0.271    0.457    0.710    0.869    0.897
 299     6750  2.00   -0.386   -0.222    0.069    0.269    0.462    0.717    0.885    0.911
