# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        U        B        V        R        I        J        H        K
  70     1700  3.50  -17.481  -12.456   -8.506   -5.300   -2.795    1.312    2.579    3.515
  71     1700  4.00  -17.144  -12.072   -8.130   -5.007   -2.565    1.362    2.641    3.543
  72     1700  4.50  -15.931  -11.076   -7.399   -4.452   -2.046    1.732    2.864    3.639
  73     1700  5.00  -17.077  -12.235   -8.269   -5.081   -2.640    1.282    2.689    3.571
  74     1700  5.50  -17.350  -12.632   -8.599   -5.372   -2.967    0.971    2.562    3.532
  75     1700  6.00  -17.526  -12.797   -8.753   -5.542   -3.198    0.710    2.436    3.501
  76     1800  3.50  -15.888  -11.323   -7.784   -4.781   -2.259    1.600    2.624    3.428
  77     1800  4.00  -15.717  -11.107   -7.566   -4.633   -2.157    1.641    2.675    3.437
  78     1800  4.50  -14.792  -10.366   -6.968   -4.190   -1.793    1.829    2.804    3.476
  79     1800  5.00  -14.704  -10.336   -6.951   -4.150   -1.755    1.862    2.873    3.502
  80     1800  5.50  -15.525  -11.046   -7.439   -4.482   -2.094    1.569    2.763    3.453
  81     1800  6.00  -15.630  -11.161   -7.508   -4.513   -2.138    1.506    2.769    3.492
  82     1900  3.50  -13.433   -9.971   -7.013   -4.262   -1.718    1.888    2.688    3.362
  83     1900  4.00  -14.567  -10.283   -7.094   -4.308   -1.783    1.819    2.678    3.344
  84     1900  4.50  -15.605  -10.923   -7.474   -4.561   -2.049    1.623    2.616    3.297
  85     1900  5.00  -14.662  -10.244   -6.953   -4.167   -1.720    1.802    2.752    3.329
  86     1900  5.50  -14.705  -10.477   -7.122   -4.287   -1.883    1.681    2.733    3.291
  87     1900  6.00  -14.657  -10.515   -7.116   -4.290   -1.950    1.573    2.689    3.272
  88     2000  3.50  -11.686   -9.069   -6.597   -4.012   -1.426    2.003    2.684    3.284
  89     2000  4.00  -12.959   -9.328   -6.540   -3.943   -1.391    1.977    2.692    3.275
  90     2000  4.50  -13.759   -9.472   -6.515   -3.889   -1.360    1.972    2.714    3.255
  91     2000  5.00  -14.243   -9.718   -6.647   -3.943   -1.431    1.915    2.726    3.219
  92     2000  5.50  -14.319  -10.137   -6.927   -4.152   -1.702    1.737    2.692    3.171
  93     2000  6.00  -13.858   -9.930   -6.747   -4.043   -1.691    1.686    2.677    3.136
  94     2100  4.00  -11.439   -8.506   -6.076   -3.667   -1.112    2.058    2.681    3.204
  95     2100  5.00  -13.108   -8.773   -6.002   -3.500   -0.981    2.079    2.757    3.178
  96     2100  5.50  -13.873   -9.383   -6.444   -3.768   -1.250    1.908    2.716    3.103
  97     2100  6.00  -13.759   -9.683   -6.647   -3.931   -1.486    1.759    2.658    3.023
  98     2200  3.50   -8.915   -7.345   -5.579   -3.415   -0.890    2.123    2.654    3.143
  99     2200  4.00  -10.005   -7.690   -5.578   -3.373   -0.856    2.110    2.664    3.138
 100     2200  4.50  -11.242   -8.008   -5.630   -3.344   -0.810    2.119    2.691    3.128
 101     2200  5.00  -12.318   -8.239   -5.663   -3.287   -0.763    2.109    2.726    3.115
 102     2200  5.50  -13.104   -8.598   -5.900   -3.380   -0.855    2.040    2.738    3.063
 103     2200  6.00  -13.227   -8.736   -6.015   -3.416   -0.908    1.985    2.727    2.978
 104     2300  3.50   -7.944   -6.653   -5.071   -3.087   -0.654    2.133    2.628    3.082
 105     2300  4.00   -8.895   -6.987   -5.084   -3.058   -0.621    2.122    2.640    3.081
 106     2300  4.50  -10.098   -7.366   -5.193   -3.071   -0.595    2.127    2.663    3.072
 107     2300  5.00  -11.397   -7.702   -5.294   -3.053   -0.567    2.111    2.691    3.059
 108     2300  5.50  -12.347   -7.970   -5.450   -3.077   -0.578    2.089    2.724    3.024
 109     2300  6.00  -12.604   -8.087   -5.533   -3.069   -0.579    2.070    2.747    2.957
 110     2400  3.50   -7.187   -6.065   -4.578   -2.745   -0.433    2.124    2.598    3.025
 111     2400  4.00   -7.975   -6.355   -4.599   -2.729   -0.405    2.114    2.610    3.026
 112     2400  4.50   -9.030   -6.726   -4.726   -2.771   -0.387    2.125    2.634    3.017
 113     2400  5.50  -11.371   -7.361   -4.991   -2.776   -0.334    2.117    2.708    2.988
 114     2400  6.00  -12.075   -7.607   -5.172   -2.818   -0.368    2.083    2.724    2.925
 115     2500  3.50   -6.668   -5.611   -4.142   -2.423   -0.247    2.090    2.558    2.968
 116     2500  4.00   -7.276   -5.823   -4.145   -2.405   -0.213    2.087    2.574    2.973
 117     2500  4.50   -8.174   -6.166   -4.290   -2.476   -0.204    2.103    2.599    2.965
 118     2500  5.00   -9.277   -6.499   -4.401   -2.481   -0.166    2.109    2.635    2.966
 119     2500  5.50  -10.490   -6.843   -4.581   -2.509   -0.154    2.103    2.670    2.950
 120     2500  6.00  -11.349   -7.104   -4.773   -2.548   -0.169    2.088    2.702    2.903
 121     2600  3.50   -6.257   -5.230   -3.763   -2.139   -0.093    2.052    2.518    2.912
 122     2600  4.00   -6.736   -5.380   -3.745   -2.113   -0.054    2.048    2.535    2.919
 123     2600  4.50   -7.483   -5.674   -3.883   -2.191   -0.044    2.069    2.561    2.915
 124     2600  5.00   -8.381   -5.955   -3.968   -2.198   -0.006    2.080    2.598    2.919
 125     2600  5.50   -9.530   -6.299   -4.143   -2.233    0.012    2.082    2.636    2.912
 126     2600  6.00  -10.529   -6.622   -4.372   -2.290   -0.004    2.069    2.667    2.878
 127     2700  3.50   -5.926   -4.917   -3.458   -1.914    0.020    2.012    2.478    2.855
 128     2700  4.00   -6.284   -4.997   -3.396   -1.858    0.075    2.008    2.496    2.866
 129     2700  4.50   -6.891   -5.230   -3.508   -1.928    0.094    2.032    2.525    2.865
 130     2700  5.00   -7.636   -5.470   -3.572   -1.933    0.128    2.041    2.557    2.872
 131     2700  5.50   -8.637   -5.787   -3.724   -1.970    0.151    2.049    2.597    2.873
 132     2700  6.00   -9.673   -6.123   -3.951   -2.028    0.146    2.045    2.632    2.852
 133     2800  5.00   -6.978   -5.016   -3.197   -1.679    0.249    2.005    2.523    2.830
 134     2800  5.50   -7.843   -5.309   -3.332   -1.722    0.265    2.011    2.557    2.831
 135     2900  5.00   -6.438   -4.636   -2.882   -1.465    0.336    1.963    2.483    2.782
 136     2900  5.50   -7.146   -4.871   -2.974   -1.492    0.358    1.971    2.518    2.789
 137     3000  5.00   -5.971   -4.299   -2.603   -1.276    0.406    1.923    2.447    2.735
 138     3000  5.50   -6.551   -4.486   -2.662   -1.290    0.431    1.931    2.479    2.745
 139     3100  5.00   -5.564   -3.997   -2.357   -1.107    0.465    1.888    2.414    2.692
 140     3100  5.50   -6.027   -4.144   -2.386   -1.104    0.489    1.891    2.439    2.701
 141     3200  5.00   -5.209   -3.726   -2.137   -0.955    0.516    1.856    2.388    2.654
 142     3200  5.50   -5.569   -3.837   -2.139   -0.936    0.538    1.854    2.403    2.660
 143     3300  5.00   -4.905   -3.487   -1.944   -0.819    0.560    1.827    2.368    2.622
 144     3300  5.50   -5.179   -3.566   -1.924   -0.786    0.580    1.821    2.371    2.620
 145     3400  5.00   -4.651   -3.277   -1.774   -0.699    0.596    1.799    2.353    2.595
 146     3400  5.50   -4.848   -3.329   -1.738   -0.654    0.615    1.791    2.341    2.584
 147     3500  5.00   -4.402   -3.079   -1.606   -0.575    0.620    1.762    2.327    2.566
 148     3500  5.50   -4.532   -3.107   -1.564   -0.527    0.641    1.756    2.309    2.547
 149     3600  5.00   -4.233   -2.920   -1.473   -0.477    0.645    1.734    2.314    2.541
 150     3600  5.50   -4.305   -2.928   -1.424   -0.425    0.664    1.726    2.283    2.514
 151     3700  5.00   -4.100   -2.782   -1.355   -0.389    0.662    1.704    2.298    2.513
 152     3700  5.50   -4.118   -2.772   -1.301   -0.333    0.683    1.696    2.257    2.480
 153     3800  5.00   -3.992   -2.658   -1.247   -0.307    0.675    1.673    2.284    2.483
 154     3800  5.50   -3.960   -2.633   -1.190   -0.249    0.697    1.666    2.231    2.445
 155     3500  0.00   -6.093   -3.862   -2.067   -0.957    0.295    1.709    2.661    2.875
 156     3500  0.50   -5.748   -3.780   -2.113   -1.009    0.292    1.716    2.677    2.876
 157     3500  1.00   -5.408   -3.695   -2.150   -1.047    0.295    1.728    2.687    2.871
 158     3500  1.50   -5.077   -3.594   -2.165   -1.064    0.309    1.745    2.689    2.857
 159     3500  2.00   -4.759   -3.474   -2.152   -1.057    0.336    1.765    2.683    2.833
 160     3500  2.50   -4.468   -3.337   -2.106   -1.023    0.376    1.786    2.666    2.799
 161     3500  3.00   -4.210   -3.189   -2.027   -0.961    0.431    1.809    2.634    2.752
 162     3500  3.50   -3.998   -3.041   -1.909   -0.863    0.504    1.829    2.574    2.689
 163     3500  4.00   -3.827   -2.900   -1.752   -0.725    0.592    1.839    2.475    2.611
 164     3500  4.50   -3.726   -2.799   -1.603   -0.587    0.658    1.834    2.380    2.545
 165     3500  5.00   -3.743   -2.771   -1.507   -0.484    0.695    1.824    2.321    2.502
 166     3750  0.00   -5.611   -3.128   -1.326   -0.378    0.471    1.649    2.505    2.685
 167     3750  0.50   -5.292   -3.058   -1.341   -0.401    0.468    1.642    2.522    2.692
 168     3750  1.00   -4.995   -2.999   -1.363   -0.428    0.469    1.640    2.536    2.696
 169     3750  1.50   -4.719   -2.940   -1.388   -0.456    0.473    1.643    2.545    2.696
 170     3750  2.00   -4.459   -2.878   -1.409   -0.480    0.481    1.651    2.550    2.691
 171     3750  2.50   -4.226   -2.812   -1.423   -0.496    0.495    1.663    2.550    2.680
 172     3750  3.00   -4.015   -2.738   -1.422   -0.499    0.516    1.678    2.541    2.660
 173     3750  3.50   -3.840   -2.664   -1.403   -0.481    0.549    1.696    2.518    2.628
 174     3750  4.00   -3.702   -2.596   -1.352   -0.427    0.600    1.712    2.461    2.574
 175     3750  4.50   -3.564   -2.523   -1.272   -0.344    0.657    1.717    2.372    2.511
 176     3750  5.00   -3.484   -2.474   -1.203   -0.268    0.699    1.716    2.297    2.458
 177     4000  0.00   -4.910   -2.593   -0.919   -0.101    0.576    1.609    2.355    2.501
 178     4000  0.50   -4.627   -2.527   -0.921   -0.111    0.570    1.596    2.370    2.508
 179     4000  1.00   -4.371   -2.475   -0.931   -0.121    0.567    1.587    2.383    2.514
 180     4000  1.50   -4.144   -2.432   -0.945   -0.132    0.565    1.580    2.393    2.519
 181     4000  2.00   -3.942   -2.390   -0.960   -0.143    0.566    1.576    2.400    2.521
 182     4000  2.50   -3.774   -2.354   -0.976   -0.154    0.568    1.576    2.406    2.522
 183     4000  3.00   -3.638   -2.321   -0.991   -0.165    0.574    1.580    2.408    2.519
 184     4000  3.50   -3.533   -2.294   -1.003   -0.172    0.587    1.588    2.405    2.511
 185     4000  4.00   -3.453   -2.271   -1.005   -0.164    0.611    1.601    2.386    2.490
 186     4000  4.50   -3.368   -2.249   -0.986   -0.131    0.652    1.611    2.333    2.447
 187     4000  5.00   -3.272   -2.219   -0.952   -0.085    0.694    1.615    2.258    2.396
 188     4250  0.00   -4.133   -2.187   -0.649    0.070    0.651    1.562    2.209    2.326
 189     4250  0.50   -3.892   -2.121   -0.647    0.061    0.643    1.550    2.222    2.334
 190     4250  1.00   -3.676   -2.071   -0.652    0.052    0.638    1.540    2.232    2.340
 191     4250  1.50   -3.481   -2.031   -0.662    0.044    0.634    1.531    2.241    2.344
 192     4250  2.00   -3.314   -1.993   -0.674    0.037    0.631    1.524    2.248    2.348
 193     4250  2.50   -3.180   -1.963   -0.687    0.031    0.629    1.518    2.253    2.351
 194     4250  3.00   -3.091   -1.943   -0.701    0.026    0.628    1.515    2.258    2.353
 195     4250  3.50   -3.038   -1.933   -0.716    0.022    0.630    1.515    2.261    2.354
 196     4250  4.00   -3.020   -1.933   -0.732    0.021    0.637    1.518    2.261    2.354
 197     4250  4.50   -3.013   -1.940   -0.742    0.028    0.654    1.525    2.247    2.342
 198     4250  5.00   -2.982   -1.948   -0.741    0.050    0.685    1.530    2.203    2.311
 199     4500  0.00   -3.460   -1.869   -0.461    0.191    0.706    1.505    2.068    2.162
 200     4500  0.50   -3.266   -1.808   -0.457    0.182    0.695    1.494    2.077    2.169
 201     4500  1.00   -3.093   -1.763   -0.459    0.173    0.688    1.485    2.085    2.174
 202     4500  1.50   -2.939   -1.728   -0.466    0.164    0.684    1.477    2.091    2.178
 203     4500  2.00   -2.802   -1.697   -0.475    0.156    0.680    1.471    2.097    2.181
 204     4500  2.50   -2.688   -1.668   -0.485    0.149    0.676    1.464    2.101    2.184
 205     4500  3.00   -2.608   -1.648   -0.498    0.145    0.674    1.460    2.106    2.187
 206     4500  3.50   -2.565   -1.636   -0.511    0.142    0.673    1.457    2.110    2.189
 207     4500  4.00   -2.557   -1.636   -0.526    0.141    0.676    1.457    2.113    2.192
 208     4500  4.50   -2.578   -1.645   -0.542    0.143    0.681    1.460    2.114    2.194
 209     4500  5.00   -2.612   -1.664   -0.556    0.150    0.693    1.464    2.106    2.188
 210     4750  0.00   -2.896   -1.593   -0.323    0.275    0.742    1.439    1.930    2.006
 211     4750  0.50   -2.732   -1.541   -0.318    0.265    0.730    1.428    1.938    2.012
 212     4750  1.00   -2.590   -1.503   -0.319    0.256    0.721    1.420    1.943    2.016
 213     4750  1.50   -2.466   -1.474   -0.323    0.248    0.715    1.413    1.948    2.020
 214     4750  2.00   -2.358   -1.449   -0.329    0.240    0.710    1.408    1.952    2.022
 215     4750  2.50   -2.266   -1.427   -0.336    0.232    0.705    1.402    1.955    2.025
 216     4750  3.00   -2.197   -1.408   -0.345    0.227    0.702    1.397    1.958    2.027
 217     4750  3.50   -2.157   -1.395   -0.355    0.223    0.699    1.394    1.962    2.029
 218     4750  4.00   -2.145   -1.390   -0.366    0.222    0.700    1.393    1.966    2.032
 219     4750  4.50   -2.161   -1.393   -0.380    0.223    0.702    1.394    1.968    2.035
 220     4750  5.00   -2.200   -1.405   -0.395    0.227    0.708    1.397    1.970    2.039
 221     5000  0.00   -2.410   -1.337   -0.211    0.330    0.757    1.365    1.790    1.855
 222     5000  0.50   -2.266   -1.298   -0.211    0.319    0.745    1.355    1.799    1.862
 223     5000  1.00   -2.140   -1.267   -0.213    0.310    0.735    1.347    1.805    1.866
 224     5000  1.50   -2.032   -1.245   -0.217    0.302    0.727    1.341    1.809    1.869
 225     5000  2.00   -1.943   -1.227   -0.222    0.294    0.721    1.336    1.812    1.871
 226     5000  2.50   -1.870   -1.213   -0.228    0.287    0.716    1.331    1.815    1.873
 227     5000  3.00   -1.815   -1.201   -0.234    0.281    0.712    1.327    1.817    1.875
 228     5000  3.50   -1.781   -1.192   -0.240    0.277    0.708    1.324    1.820    1.877
 229     5000  4.00   -1.770   -1.187   -0.247    0.275    0.707    1.322    1.823    1.879
 230     5000  4.50   -1.780   -1.186   -0.256    0.276    0.709    1.322    1.826    1.882
 231     5000  5.00   -1.810   -1.191   -0.267    0.279    0.713    1.324    1.828    1.886
 232     5250  0.00   -1.973   -1.095   -0.118    0.363    0.751    1.283    1.646    1.708
 233     5250  0.50   -1.858   -1.072   -0.122    0.352    0.740    1.276    1.659    1.716
 234     5250  1.00   -1.751   -1.053   -0.128    0.342    0.730    1.269    1.667    1.722
 235     5250  1.50   -1.658   -1.038   -0.134    0.333    0.723    1.263    1.672    1.725
 236     5250  2.00   -1.580   -1.028   -0.141    0.325    0.716    1.258    1.675    1.727
 237     5250  2.50   -1.517   -1.022   -0.147    0.318    0.711    1.254    1.678    1.728
 238     5250  3.00   -1.472   -1.017   -0.153    0.313    0.706    1.250    1.680    1.730
 239     5250  3.50   -1.444   -1.015   -0.158    0.309    0.703    1.247    1.683    1.731
 240     5250  4.00   -1.435   -1.014   -0.162    0.307    0.702    1.246    1.685    1.733
 241     5250  4.50   -1.444   -1.016   -0.167    0.308    0.703    1.246    1.688    1.736
 242     5250  5.00   -1.470   -1.019   -0.173    0.311    0.706    1.248    1.690    1.739
 243     5500  0.00   -1.583   -0.870   -0.039    0.380    0.726    1.192    1.498    1.560
 244     5500  0.50   -1.500   -0.863   -0.049    0.369    0.718    1.190    1.516    1.573
 245     5500  1.00   -1.417   -0.856   -0.059    0.359    0.710    1.186    1.528    1.580
 246     5500  1.50   -1.340   -0.852   -0.068    0.350    0.703    1.181    1.535    1.585
 247     5500  2.00   -1.273   -0.851   -0.077    0.342    0.697    1.176    1.540    1.587
 248     5500  2.50   -1.218   -0.852   -0.085    0.334    0.692    1.172    1.544    1.589
 249     5500  3.00   -1.177   -0.854   -0.092    0.328    0.688    1.169    1.547    1.591
 250     5500  3.50   -1.150   -0.858   -0.098    0.324    0.685    1.167    1.549    1.592
 251     5500  4.00   -1.140   -0.863   -0.102    0.323    0.684    1.165    1.552    1.594
 252     5500  4.50   -1.146   -0.869   -0.105    0.324    0.685    1.166    1.555    1.596
 253     5500  5.00   -1.169   -0.875   -0.108    0.327    0.688    1.167    1.557    1.599
 254     5750  0.00   -1.256   -0.668    0.023    0.382    0.687    1.095    1.350    1.408
 255     5750  0.50   -1.202   -0.675    0.010    0.373    0.682    1.098    1.374    1.427
 256     5750  1.00   -1.139   -0.680   -0.002    0.364    0.677    1.097    1.389    1.438
 257     5750  1.50   -1.078   -0.686   -0.014    0.356    0.672    1.095    1.399    1.445
 258     5750  2.00   -1.022   -0.693   -0.025    0.347    0.668    1.091    1.406    1.450
 259     5750  2.50   -0.974   -0.702   -0.036    0.340    0.663    1.088    1.411    1.453
 260     5750  3.00   -0.935   -0.712   -0.045    0.333    0.659    1.085    1.416    1.455
 261     5750  3.50   -0.908   -0.722   -0.053    0.328    0.657    1.083    1.419    1.456
 262     5750  4.00   -0.894   -0.732   -0.059    0.326    0.655    1.082    1.423    1.458
 263     5750  4.50   -0.893   -0.742   -0.062    0.326    0.656    1.082    1.426    1.460
 264     5750  5.00   -0.909   -0.751   -0.064    0.329    0.660    1.084    1.429    1.463
 265     6000  0.00   -0.979   -0.488    0.069    0.371    0.637    0.991    1.202    1.256
 266     6000  0.50   -0.961   -0.511    0.056    0.367    0.638    1.001    1.233    1.281
 267     6000  1.00   -0.919   -0.526    0.043    0.361    0.636    1.005    1.252    1.296
 268     6000  1.50   -0.871   -0.540    0.029    0.353    0.634    1.006    1.265    1.306
 269     6000  2.00   -0.824   -0.555    0.016    0.345    0.631    1.004    1.274    1.313
 270     6000  2.50   -0.782   -0.571    0.003    0.337    0.627    1.003    1.281    1.318
 271     6000  3.00   -0.745   -0.587   -0.009    0.330    0.624    1.000    1.287    1.322
 272     6000  3.50   -0.717   -0.604   -0.019    0.324    0.622    0.998    1.292    1.324
 273     6000  4.00   -0.698   -0.620   -0.027    0.320    0.621    0.997    1.296    1.326
 274     6000  4.50   -0.690   -0.634   -0.032    0.319    0.621    0.997    1.300    1.329
 275     6000  5.00   -0.695   -0.646   -0.035    0.322    0.624    0.999    1.304    1.332
 276     6250  0.50   -0.754   -0.362    0.089    0.349    0.585    0.901    1.093    1.137
 277     6250  1.00   -0.741   -0.390    0.078    0.349    0.588    0.911    1.117    1.157
 278     6250  1.50   -0.709   -0.412    0.064    0.343    0.589    0.915    1.133    1.170
 279     6250  2.00   -0.672   -0.434    0.049    0.337    0.588    0.916    1.144    1.180
 280     6250  2.50   -0.635   -0.456    0.034    0.329    0.586    0.916    1.154    1.187
 281     6250  3.00   -0.600   -0.479    0.020    0.321    0.584    0.915    1.161    1.192
 282     6250  3.50   -0.570   -0.501    0.007    0.314    0.582    0.913    1.167    1.195
 283     6250  4.00   -0.546   -0.523   -0.004    0.309    0.581    0.912    1.173    1.198
 284     6250  4.50   -0.531   -0.542   -0.012    0.306    0.581    0.912    1.178    1.201
 285     6250  5.00   -0.526   -0.558   -0.016    0.307    0.584    0.913    1.182    1.204
 286     6500  0.50   -0.575   -0.233    0.111    0.324    0.526    0.799    0.957    0.997
 287     6500  1.00   -0.586   -0.265    0.102    0.327    0.533    0.813    0.984    1.020
 288     6500  1.50   -0.578   -0.299    0.091    0.327    0.539    0.823    1.004    1.037
 289     6500  2.00   -0.553   -0.328    0.076    0.323    0.541    0.827    1.018    1.049
 290     6500  2.50   -0.524   -0.356    0.060    0.316    0.541    0.829    1.029    1.058
 291     6500  3.00   -0.493   -0.384    0.044    0.308    0.540    0.829    1.038    1.065
 292     6500  3.50   -0.462   -0.412    0.028    0.300    0.538    0.828    1.045    1.070
 293     6500  4.00   -0.434   -0.439    0.014    0.293    0.537    0.827    1.052    1.074
 294     6500  4.50   -0.412   -0.463    0.002    0.288    0.537    0.826    1.058    1.077
 295     6500  5.00   -0.397   -0.484   -0.005    0.287    0.539    0.827    1.064    1.080
 296     6750  0.50   -0.425   -0.133    0.126    0.296    0.467    0.699    0.829    0.864
 297     6750  1.00   -0.448   -0.156    0.116    0.298    0.473    0.715    0.856    0.888
 298     6750  1.50   -0.461   -0.194    0.108    0.303    0.482    0.728    0.877    0.907
 299     6750  2.00   -0.456   -0.234    0.097    0.304    0.489    0.737    0.894    0.922
