# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        U        B        V        R        I        J        H        K
  70     1700  3.50  -17.481  -12.456   -8.506   -5.300   -2.795    1.312    2.579    3.515
  71     1700  4.00  -17.144  -12.072   -8.130   -5.007   -2.565    1.362    2.641    3.543
  72     1700  4.50  -15.931  -11.076   -7.399   -4.452   -2.046    1.732    2.864    3.639
  73     1700  5.00  -17.077  -12.235   -8.269   -5.081   -2.640    1.282    2.689    3.571
  74     1700  5.50  -17.350  -12.632   -8.599   -5.372   -2.967    0.971    2.562    3.532
  75     1700  6.00  -17.526  -12.797   -8.753   -5.542   -3.198    0.710    2.436    3.501
  76     1800  3.50  -15.888  -11.323   -7.784   -4.781   -2.259    1.600    2.624    3.428
  77     1800  4.00  -15.717  -11.107   -7.566   -4.633   -2.157    1.641    2.675    3.437
  78     1800  4.50  -14.792  -10.366   -6.968   -4.190   -1.793    1.829    2.804    3.476
  79     1800  5.00  -14.704  -10.336   -6.951   -4.150   -1.755    1.862    2.873    3.502
  80     1800  5.50  -15.525  -11.046   -7.439   -4.482   -2.094    1.569    2.763    3.453
  81     1800  6.00  -15.630  -11.161   -7.508   -4.513   -2.138    1.506    2.769    3.492
  82     1900  3.50  -13.433   -9.971   -7.013   -4.262   -1.718    1.888    2.688    3.362
  83     1900  4.00  -14.567  -10.283   -7.094   -4.308   -1.783    1.819    2.678    3.344
  84     1900  4.50  -15.605  -10.923   -7.474   -4.561   -2.049    1.623    2.616    3.297
  85     1900  5.00  -14.662  -10.244   -6.953   -4.167   -1.720    1.802    2.752    3.329
  86     1900  5.50  -14.705  -10.477   -7.122   -4.287   -1.883    1.681    2.733    3.291
  87     1900  6.00  -14.657  -10.515   -7.116   -4.290   -1.950    1.573    2.689    3.272
  88     2000  3.50  -11.686   -9.069   -6.597   -4.012   -1.426    2.003    2.684    3.284
  89     2000  4.00  -12.959   -9.328   -6.540   -3.943   -1.391    1.977    2.692    3.275
  90     2000  4.50  -13.759   -9.472   -6.515   -3.889   -1.360    1.972    2.714    3.255
  91     2000  5.00  -14.243   -9.718   -6.647   -3.943   -1.431    1.915    2.726    3.219
  92     2000  5.50  -14.319  -10.137   -6.927   -4.152   -1.702    1.737    2.692    3.171
  93     2000  6.00  -13.858   -9.930   -6.747   -4.043   -1.691    1.686    2.677    3.136
  94     2100  4.00  -11.439   -8.506   -6.076   -3.667   -1.112    2.058    2.681    3.204
  95     2100  5.00  -13.108   -8.773   -6.002   -3.500   -0.981    2.079    2.757    3.178
  96     2100  5.50  -13.873   -9.383   -6.444   -3.768   -1.250    1.908    2.716    3.103
  97     2100  6.00  -13.759   -9.683   -6.647   -3.931   -1.486    1.759    2.658    3.023
  98     2200  3.50   -8.915   -7.345   -5.579   -3.415   -0.890    2.123    2.654    3.143
  99     2200  4.00  -10.005   -7.690   -5.578   -3.373   -0.856    2.110    2.664    3.138
 100     2200  4.50  -11.242   -8.008   -5.630   -3.344   -0.810    2.119    2.691    3.128
 101     2200  5.00  -12.318   -8.239   -5.663   -3.287   -0.763    2.109    2.726    3.115
 102     2200  5.50  -13.104   -8.598   -5.900   -3.380   -0.855    2.040    2.738    3.063
 103     2200  6.00  -13.227   -8.736   -6.015   -3.416   -0.908    1.985    2.727    2.978
 104     2300  3.50   -7.944   -6.653   -5.071   -3.087   -0.654    2.133    2.628    3.082
 105     2300  4.00   -8.895   -6.987   -5.084   -3.058   -0.621    2.122    2.640    3.081
 106     2300  4.50  -10.098   -7.366   -5.193   -3.071   -0.595    2.127    2.663    3.072
 107     2300  5.00  -11.397   -7.702   -5.294   -3.053   -0.567    2.111    2.691    3.059
 108     2300  5.50  -12.347   -7.970   -5.450   -3.077   -0.578    2.089    2.724    3.024
 109     2300  6.00  -12.604   -8.087   -5.533   -3.069   -0.579    2.070    2.747    2.957
 110     2400  3.50   -7.187   -6.065   -4.578   -2.745   -0.433    2.124    2.598    3.025
 111     2400  4.00   -7.975   -6.355   -4.599   -2.729   -0.405    2.114    2.610    3.026
 112     2400  4.50   -9.030   -6.726   -4.726   -2.771   -0.387    2.125    2.634    3.017
 113     2400  5.50  -11.371   -7.361   -4.991   -2.776   -0.334    2.117    2.708    2.988
 114     2400  6.00  -12.075   -7.607   -5.172   -2.818   -0.368    2.083    2.724    2.925
 115     2500  3.50   -6.668   -5.611   -4.142   -2.423   -0.247    2.090    2.558    2.968
 116     2500  4.00   -7.276   -5.823   -4.145   -2.405   -0.213    2.087    2.574    2.973
 117     2500  4.50   -8.174   -6.166   -4.290   -2.476   -0.204    2.103    2.599    2.965
 118     2500  5.00   -9.277   -6.499   -4.401   -2.481   -0.166    2.109    2.635    2.966
 119     2500  5.50  -10.490   -6.843   -4.581   -2.509   -0.154    2.103    2.670    2.950
 120     2500  6.00  -11.349   -7.104   -4.773   -2.548   -0.169    2.088    2.702    2.903
 121     2600  3.50   -6.257   -5.230   -3.763   -2.139   -0.093    2.052    2.518    2.912
 122     2600  4.00   -6.736   -5.380   -3.745   -2.113   -0.054    2.048    2.535    2.919
 123     2600  4.50   -7.483   -5.674   -3.883   -2.191   -0.044    2.069    2.561    2.915
 124     2600  5.00   -8.381   -5.955   -3.968   -2.198   -0.006    2.080    2.598    2.919
 125     2600  5.50   -9.530   -6.299   -4.143   -2.233    0.012    2.082    2.636    2.912
 126     2600  6.00  -10.529   -6.622   -4.372   -2.290   -0.004    2.069    2.667    2.878
 127     2700  3.50   -5.926   -4.917   -3.458   -1.914    0.020    2.012    2.478    2.855
 128     2700  4.00   -6.284   -4.997   -3.396   -1.858    0.075    2.008    2.496    2.866
 129     2700  4.50   -6.891   -5.230   -3.508   -1.928    0.094    2.032    2.525    2.865
 130     2700  5.00   -7.636   -5.470   -3.572   -1.933    0.128    2.041    2.557    2.872
 131     2700  5.50   -8.637   -5.787   -3.724   -1.970    0.151    2.049    2.597    2.873
 132     2700  6.00   -9.673   -6.123   -3.951   -2.028    0.146    2.045    2.632    2.852
 133     2800  5.00   -9.553   -5.202   -2.858   -1.206    0.569    1.987    2.401    2.429
 134     2800  5.50  -10.458   -5.381   -2.995   -1.161    0.647    2.025    2.313    2.250
 135     2900  5.00   -8.677   -4.811   -2.539   -1.045    0.573    1.933    2.402    2.477
 136     2900  5.50   -9.524   -4.990   -2.670   -1.025    0.643    1.972    2.330    2.316
 137     3000  5.00   -7.880   -4.452   -2.259   -0.889    0.578    1.882    2.396    2.509
 138     3000  5.50   -8.664   -4.631   -2.380   -0.889    0.640    1.920    2.338    2.369
 139     3100  5.00   -7.155   -4.128   -2.018   -0.745    0.583    1.836    2.383    2.527
 140     3100  5.50   -7.850   -4.300   -2.122   -0.758    0.636    1.869    2.337    2.411
 141     3200  5.00   -6.521   -3.836   -1.814   -0.616    0.589    1.793    2.363    2.529
 142     3200  5.50   -7.111   -3.992   -1.896   -0.632    0.635    1.823    2.329    2.437
 143     3300  5.00   -5.967   -3.567   -1.639   -0.499    0.599    1.756    2.339    2.521
 144     3300  5.50   -6.433   -3.706   -1.699   -0.516    0.636    1.781    2.316    2.451
 145     3400  5.00   -5.487   -3.322   -1.488   -0.394    0.611    1.721    2.312    2.504
 146     3400  5.50   -5.819   -3.438   -1.531   -0.409    0.639    1.741    2.296    2.451
 147     3500  5.00   -5.069   -3.095   -1.356   -0.302    0.623    1.689    2.280    2.481
 148     3500  5.50   -5.269   -3.189   -1.385   -0.313    0.644    1.705    2.270    2.440
 149     3600  5.00   -4.686   -2.887   -1.241   -0.224    0.633    1.657    2.246    2.453
 150     3600  5.50   -4.798   -2.961   -1.261   -0.231    0.649    1.669    2.239    2.419
 151     3700  5.00   -4.329   -2.692   -1.136   -0.159    0.642    1.625    2.210    2.422
 152     3700  5.50   -4.421   -2.762   -1.158   -0.166    0.653    1.634    2.202    2.390
 153     3800  5.00   -4.009   -2.510   -1.040   -0.107    0.650    1.595    2.175    2.387
 154     3800  5.50   -4.109   -2.567   -1.051   -0.100    0.668    1.607    2.170    2.361
 155     3500  0.00   -5.982   -3.925   -1.835   -0.625    0.361    1.665    2.687    2.845
 156     3500  0.50   -5.441   -3.551   -1.618   -0.505    0.422    1.670    2.651    2.795
 157     3500  1.00   -4.908   -3.219   -1.438   -0.400    0.482    1.682    2.602    2.734
 158     3500  1.50   -4.438   -2.953   -1.299   -0.312    0.539    1.694    2.543    2.668
 159     3500  2.00   -4.108   -2.801   -1.224   -0.252    0.586    1.696    2.473    2.610
 160     3500  2.50   -3.920   -2.734   -1.188   -0.214    0.619    1.696    2.382    2.560
 161     3500  3.00   -3.830   -2.700   -1.169   -0.190    0.638    1.698    2.320    2.523
 162     3500  3.50   -3.834   -2.705   -1.167   -0.177    0.648    1.703    2.294    2.496
 163     3500  4.00   -3.921   -2.749   -1.179   -0.168    0.657    1.710    2.283    2.468
 164     3500  4.50   -4.078   -2.817   -1.198   -0.158    0.668    1.721    2.271    2.427
 165     3500  5.00   -4.311   -2.896   -1.220   -0.142    0.690    1.739    2.243    2.363
 166     3750  0.00   -5.274   -3.403   -1.490   -0.421    0.459    1.631    2.572    2.712
 167     3750  0.50   -4.854   -3.129   -1.356   -0.366    0.465    1.611    2.558    2.698
 168     3750  1.00   -4.420   -2.882   -1.243   -0.313    0.480    1.603    2.536    2.675
 169     3750  1.50   -4.012   -2.669   -1.147   -0.258    0.508    1.605    2.504    2.640
 170     3750  2.00   -3.681   -2.505   -1.069   -0.205    0.545    1.613    2.460    2.594
 171     3750  2.50   -3.477   -2.418   -1.023   -0.160    0.588    1.617    2.399    2.544
 172     3750  3.00   -3.350   -2.371   -0.994   -0.124    0.626    1.621    2.326    2.496
 173     3750  3.50   -3.300   -2.354   -0.982   -0.103    0.647    1.623    2.269    2.461
 174     3750  4.00   -3.310   -2.357   -0.977   -0.086    0.664    1.629    2.239    2.432
 175     3750  4.50   -3.389   -2.388   -0.982   -0.071    0.677    1.637    2.224    2.402
 176     3750  5.00   -3.530   -2.443   -0.992   -0.055    0.693    1.649    2.208    2.357
 177     4000  0.00   -4.436   -2.840   -1.126   -0.192    0.591    1.612    2.424    2.536
 178     4000  0.50   -4.052   -2.610   -1.024   -0.162    0.578    1.584    2.413    2.528
 179     4000  1.00   -3.682   -2.418   -0.953   -0.145    0.565    1.563    2.400    2.521
 180     4000  1.50   -3.368   -2.273   -0.907   -0.133    0.557    1.549    2.385    2.512
 181     4000  2.00   -3.131   -2.168   -0.875   -0.120    0.556    1.541    2.366    2.499
 182     4000  2.50   -2.977   -2.100   -0.849   -0.097    0.571    1.542    2.336    2.475
 183     4000  3.00   -2.898   -2.067   -0.829   -0.067    0.605    1.547    2.287    2.438
 184     4000  3.50   -2.848   -2.045   -0.808   -0.033    0.643    1.553    2.228    2.392
 185     4000  4.00   -2.823   -2.033   -0.795   -0.008    0.671    1.557    2.180    2.357
 186     4000  4.50   -2.846   -2.039   -0.792    0.009    0.688    1.562    2.151    2.333
 187     4000  5.00   -2.921   -2.065   -0.797    0.023    0.702    1.569    2.135    2.308
 188     4250  0.00   -3.588   -2.333   -0.833   -0.016    0.680    1.571    2.270    2.365
 189     4250  0.50   -3.269   -2.155   -0.760   -0.001    0.662    1.544    2.260    2.357
 190     4250  1.00   -2.966   -2.005   -0.707    0.006    0.644    1.521    2.249    2.349
 191     4250  1.50   -2.710   -1.890   -0.673    0.008    0.629    1.504    2.236    2.342
 192     4250  2.00   -2.519   -1.810   -0.653    0.008    0.619    1.492    2.222    2.335
 193     4250  2.50   -2.398   -1.759   -0.641    0.012    0.616    1.484    2.205    2.326
 194     4250  3.00   -2.339   -1.732   -0.634    0.021    0.622    1.482    2.182    2.311
 195     4250  3.50   -2.334   -1.730   -0.629    0.040    0.645    1.485    2.145    2.285
 196     4250  4.00   -2.352   -1.735   -0.624    0.060    0.671    1.488    2.104    2.256
 197     4250  4.50   -2.375   -1.741   -0.621    0.078    0.692    1.492    2.068    2.231
 198     4250  5.00   -2.414   -1.750   -0.622    0.092    0.709    1.495    2.045    2.212
 199     4500  0.00   -2.777   -1.863   -0.592    0.112    0.726    1.505    2.113    2.199
 200     4500  0.50   -2.543   -1.749   -0.552    0.114    0.707    1.482    2.107    2.192
 201     4500  1.00   -2.325   -1.652   -0.521    0.113    0.689    1.462    2.098    2.185
 202     4500  1.50   -2.143   -1.576   -0.500    0.110    0.673    1.446    2.087    2.177
 203     4500  2.00   -2.006   -1.521   -0.487    0.107    0.661    1.434    2.074    2.170
 204     4500  2.50   -1.921   -1.487   -0.479    0.106    0.655    1.426    2.060    2.163
 205     4500  3.00   -1.880   -1.469   -0.474    0.109    0.655    1.421    2.044    2.154
 206     4500  3.50   -1.876   -1.463   -0.472    0.118    0.663    1.421    2.024    2.142
 207     4500  4.00   -1.899   -1.469   -0.470    0.131    0.680    1.422    1.997    2.123
 208     4500  4.50   -1.938   -1.480   -0.469    0.146    0.699    1.425    1.968    2.104
 209     4500  5.00   -1.982   -1.490   -0.468    0.159    0.716    1.428    1.943    2.086
 210     4750  0.00   -2.103   -1.452   -0.405    0.198    0.736    1.422    1.955    2.032
 211     4750  0.50   -1.920   -1.384   -0.389    0.190    0.716    1.403    1.954    2.029
 212     4750  1.00   -1.760   -1.331   -0.380    0.181    0.698    1.386    1.948    2.024
 213     4750  1.50   -1.629   -1.291   -0.373    0.173    0.683    1.372    1.941    2.018
 214     4750  2.00   -1.536   -1.265   -0.368    0.167    0.672    1.361    1.931    2.012
 215     4750  2.50   -1.481   -1.251   -0.365    0.164    0.666    1.354    1.919    2.006
 216     4750  3.00   -1.461   -1.245   -0.361    0.166    0.665    1.350    1.905    1.998
 217     4750  3.50   -1.469   -1.246   -0.358    0.172    0.670    1.348    1.890    1.989
 218     4750  4.00   -1.492   -1.251   -0.355    0.181    0.681    1.349    1.872    1.979
 219     4750  4.50   -1.529   -1.261   -0.354    0.192    0.695    1.351    1.852    1.965
 220     4750  5.00   -1.574   -1.271   -0.352    0.204    0.710    1.354    1.832    1.953
 221     5000  0.00   -1.608   -1.129   -0.268    0.250    0.724    1.332    1.798    1.866
 222     5000  0.50   -1.462   -1.090   -0.269    0.236    0.704    1.316    1.801    1.866
 223     5000  1.00   -1.334   -1.062   -0.272    0.222    0.687    1.302    1.800    1.864
 224     5000  1.50   -1.230   -1.046   -0.276    0.210    0.672    1.289    1.796    1.861
 225     5000  2.00   -1.154   -1.040   -0.281    0.200    0.661    1.279    1.791    1.857
 226     5000  2.50   -1.109   -1.041   -0.283    0.195    0.654    1.272    1.782    1.853
 227     5000  3.00   -1.095   -1.047   -0.283    0.195    0.653    1.268    1.772    1.848
 228     5000  3.50   -1.106   -1.056   -0.279    0.200    0.658    1.268    1.759    1.841
 229     5000  4.00   -1.133   -1.066   -0.275    0.209    0.668    1.269    1.745    1.834
 230     5000  4.50   -1.168   -1.076   -0.271    0.219    0.680    1.271    1.730    1.825
 231     5000  5.00   -1.208   -1.086   -0.268    0.230    0.693    1.274    1.715    1.816
 232     5250  0.00   -1.246   -0.878   -0.167    0.279    0.699    1.238    1.642    1.703
 233     5250  0.50   -1.136   -0.862   -0.178    0.262    0.681    1.226    1.651    1.708
 234     5250  1.00   -1.037   -0.853   -0.190    0.246    0.664    1.214    1.654    1.709
 235     5250  1.50   -0.954   -0.853   -0.203    0.231    0.650    1.203    1.653    1.707
 236     5250  2.00   -0.889   -0.860   -0.215    0.218    0.637    1.193    1.651    1.705
 237     5250  2.50   -0.844   -0.871   -0.224    0.208    0.628    1.186    1.647    1.703
 238     5250  3.00   -0.821   -0.884   -0.230    0.204    0.625    1.181    1.641    1.700
 239     5250  3.50   -0.821   -0.898   -0.229    0.207    0.628    1.180    1.631    1.696
 240     5250  4.00   -0.841   -0.911   -0.225    0.215    0.636    1.182    1.620    1.692
 241     5250  4.50   -0.872   -0.924   -0.219    0.226    0.649    1.185    1.608    1.685
 242     5250  5.00   -0.907   -0.935   -0.214    0.238    0.663    1.189    1.596    1.679
 243     5500  0.00   -0.975   -0.676   -0.092    0.292    0.664    1.142    1.488    1.543
 244     5500  0.50   -0.898   -0.678   -0.108    0.276    0.649    1.135    1.503    1.554
 245     5500  1.00   -0.825   -0.685   -0.125    0.259    0.635    1.126    1.510    1.558
 246     5500  1.50   -0.760   -0.698   -0.143    0.243    0.621    1.117    1.513    1.559
 247     5500  2.00   -0.707   -0.715   -0.161    0.228    0.608    1.108    1.514    1.559
 248     5500  2.50   -0.664   -0.735   -0.177    0.215    0.598    1.099    1.512    1.557
 249     5500  3.00   -0.634   -0.755   -0.189    0.205    0.591    1.093    1.509    1.556
 250     5500  3.50   -0.620   -0.772   -0.195    0.202    0.589    1.090    1.504    1.554
 251     5500  4.00   -0.622   -0.787   -0.194    0.206    0.595    1.091    1.497    1.552
 252     5500  4.50   -0.641   -0.801   -0.189    0.216    0.606    1.095    1.488    1.549
 253     5500  5.00   -0.667   -0.812   -0.182    0.229    0.620    1.099    1.477    1.545
 254     5750  0.00   -0.766   -0.508   -0.033    0.294    0.623    1.044    1.336    1.387
 255     5750  0.50   -0.718   -0.525   -0.052    0.280    0.612    1.043    1.357    1.403
 256     5750  1.00   -0.668   -0.544   -0.072    0.265    0.600    1.038    1.369    1.412
 257     5750  1.50   -0.620   -0.567   -0.093    0.249    0.588    1.031    1.376    1.416
 258     5750  2.00   -0.577   -0.594   -0.115    0.232    0.576    1.023    1.379    1.418
 259     5750  2.50   -0.540   -0.622   -0.135    0.217    0.565    1.015    1.380    1.417
 260     5750  3.00   -0.509   -0.649   -0.154    0.203    0.555    1.007    1.379    1.416
 261     5750  3.50   -0.485   -0.672   -0.166    0.195    0.550    1.003    1.377    1.416
 262     5750  4.00   -0.472   -0.691   -0.172    0.193    0.550    1.001    1.374    1.415
 263     5750  4.50   -0.474   -0.705   -0.170    0.199    0.558    1.003    1.368    1.415
 264     5750  5.00   -0.487   -0.717   -0.164    0.210    0.571    1.008    1.361    1.413
 265     6000  0.00   -0.596   -0.363    0.011    0.286    0.574    0.944    1.186    1.234
 266     6000  0.50   -0.578   -0.392   -0.007    0.276    0.569    0.950    1.214    1.257
 267     6000  1.00   -0.548   -0.421   -0.028    0.264    0.561    0.949    1.231    1.270
 268     6000  1.50   -0.516   -0.453   -0.050    0.249    0.552    0.945    1.242    1.278
 269     6000  2.00   -0.483   -0.487   -0.074    0.233    0.542    0.939    1.247    1.281
 270     6000  2.50   -0.452   -0.523   -0.098    0.216    0.530    0.932    1.251    1.283
 271     6000  3.00   -0.423   -0.557   -0.121    0.200    0.520    0.924    1.252    1.283
 272     6000  3.50   -0.396   -0.588   -0.140    0.187    0.511    0.917    1.252    1.282
 273     6000  4.00   -0.374   -0.613   -0.153    0.179    0.507    0.914    1.251    1.282
 274     6000  4.50   -0.360   -0.631   -0.157    0.180    0.510    0.914    1.249    1.283
 275     6000  5.00   -0.359   -0.644   -0.155    0.187    0.519    0.917    1.245    1.283
 276     6250  0.50   -0.459   -0.274    0.028    0.265    0.520    0.854    1.074    1.113
 277     6250  1.00   -0.451   -0.312    0.010    0.257    0.518    0.860    1.096    1.131
 278     6250  1.50   -0.434   -0.350   -0.013    0.245    0.512    0.859    1.110    1.143
 279     6250  2.00   -0.413   -0.391   -0.038    0.230    0.504    0.856    1.119    1.149
 280     6250  2.50   -0.389   -0.433   -0.065    0.213    0.494    0.850    1.124    1.153
 281     6250  3.00   -0.363   -0.475   -0.091    0.196    0.483    0.842    1.128    1.154
 282     6250  3.50   -0.336   -0.513   -0.116    0.179    0.473    0.835    1.130    1.154
 283     6250  4.00   -0.309   -0.545   -0.135    0.167    0.466    0.829    1.131    1.154
 284     6250  4.50   -0.286   -0.570   -0.146    0.161    0.464    0.827    1.131    1.155
 285     6250  5.00   -0.271   -0.586   -0.149    0.162    0.468    0.828    1.129    1.156
 286     6500  0.50   -0.347   -0.164    0.052    0.244    0.465    0.756    0.937    0.973
 287     6500  1.00   -0.366   -0.212    0.039    0.244    0.469    0.768    0.964    0.996
 288     6500  1.50   -0.366   -0.258    0.018    0.237    0.468    0.773    0.981    1.011
 289     6500  2.00   -0.356   -0.304   -0.006    0.224    0.463    0.772    0.993    1.020
 290     6500  2.50   -0.340   -0.351   -0.034    0.208    0.455    0.768    1.001    1.026
 291     6500  3.00   -0.319   -0.399   -0.064    0.190    0.445    0.762    1.006    1.029
 292     6500  3.50   -0.294   -0.444   -0.092    0.171    0.435    0.755    1.010    1.030
 293     6500  4.00   -0.266   -0.483   -0.116    0.155    0.425    0.748    1.012    1.030
 294     6500  4.50   -0.238   -0.515   -0.135    0.143    0.419    0.743    1.014    1.031
 295     6500  5.00   -0.213   -0.538   -0.145    0.139    0.420    0.742    1.015    1.033
 296     6750  0.50   -0.253   -0.079    0.070    0.222    0.410    0.660    0.807    0.840
 297     6750  1.00   -0.282   -0.118    0.057    0.221    0.414    0.674    0.835    0.864
 298     6750  1.50   -0.303   -0.172    0.042    0.221    0.419    0.684    0.856    0.882
 299     6750  2.00   -0.307   -0.224    0.020    0.213    0.419    0.688    0.870    0.895
